subcategory	category
#event_feed_subcategories_tables;1;db/event_feed_subcategories_tables/data__	
wh_event_subcategory_agent_action	wh_event_category_agent
wh_event_subcategory_agent_recruited	wh_event_category_agent
wh_event_subcategory_character_ancillaries	wh_event_category_traits_ancillaries
wh_event_subcategory_character_deaths	wh_event_category_character
wh_event_subcategory_character_development	wh_event_category_character
wh_event_subcategory_character_traits	wh_event_category_traits_ancillaries
wh_event_subcategory_conquest_battle	wh_event_category_conquest
wh_event_subcategory_conquest_enemy_raids	wh_event_category_conquest
wh_event_subcategory_conquest_occupation	wh_event_category_conquest
wh_event_subcategory_conquest_siege_blockade	wh_event_category_conquest
wh_event_subcategory_conquest_territorial_disputes	wh_event_category_conquest
wh_event_subcategory_diplomacy_manipulation	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_state_matters	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_treaty_broken	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_treaty_broken_manipulated	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_treaty_negotiated	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_war_coordination	wh_event_category_diplomacy
wh_event_subcategory_diplomacy_war_peace	wh_event_category_diplomacy
wh_event_subcategory_faction_crises	wh_event_category_faction
wh_event_subcategory_faction_developments	wh_event_category_faction
wh_event_subcategory_faction_event_dilemma_incident	wh_event_category_faction
wh_event_subcategory_faction_missions_objectives	wh_event_category_faction
wh_event_subcategory_faction_rituals	wh_event_category_faction
wh_event_subcategory_military_ambushes	wh_event_category_military
wh_event_subcategory_military_army_developments	wh_event_category_military
wh_event_subcategory_military_attrition	wh_event_category_military
wh_event_subcategory_military_unit_recruited	wh_event_category_military
wh_event_subcategory_provinces_buildings	wh_event_category_provinces
wh_event_subcategory_provinces_crises	wh_event_category_provinces
wh_event_subcategory_provinces_developments	wh_event_category_provinces
wh_event_subcategory_world_climate	wh_event_category_provinces
