context	priority	profile
#cai_personalities_personality_variable_profile_context_overrides_junctions_tables;0;db/cai_personalities_personality_variable_profile_context_overrides_junctions_tables/data__		
cai_difficulty_context_type_easy	1	wh3_chaos_personality_profile_chaos
cai_difficulty_context_type_hard	2	wh3_chaos_personality_profile_chaos
cai_difficulty_context_type_very_hard	3	wh3_chaos_personality_profile_chaos
cai_difficulty_context_type_legendary	4	wh3_chaos_personality_profile_chaos
cai_difficulty_context_type_easy	1	wh3_chaos_personality_profile_default
cai_difficulty_context_type_hard	2	wh3_chaos_personality_profile_default
cai_difficulty_context_type_very_hard	3	wh3_chaos_personality_profile_default
cai_difficulty_context_type_legendary	4	wh3_chaos_personality_profile_default
cai_difficulty_context_type_easy	1	wh3_chaos_personality_profile_ogre
cai_difficulty_context_type_hard	2	wh3_chaos_personality_profile_ogre
cai_difficulty_context_type_very_hard	3	wh3_chaos_personality_profile_ogre
cai_difficulty_context_type_legendary	4	wh3_chaos_personality_profile_ogre
cai_difficulty_context_type_easy	1	wh3_combi_personality_profile_chaos
cai_difficulty_context_type_hard	2	wh3_combi_personality_profile_chaos
cai_difficulty_context_type_very_hard	3	wh3_combi_personality_profile_chaos
cai_difficulty_context_type_legendary	4	wh3_combi_personality_profile_chaos
cai_difficulty_context_type_easy	1	wh3_combi_personality_profile_default
cai_difficulty_context_type_hard	2	wh3_combi_personality_profile_default
cai_difficulty_context_type_very_hard	3	wh3_combi_personality_profile_default
cai_difficulty_context_type_legendary	4	wh3_combi_personality_profile_default
cai_difficulty_context_type_easy	1	wh3_combi_personality_profile_ogre
cai_difficulty_context_type_hard	2	wh3_combi_personality_profile_ogre
cai_difficulty_context_type_very_hard	3	wh3_combi_personality_profile_ogre
cai_difficulty_context_type_legendary	4	wh3_combi_personality_profile_ogre
