campaign_group	resource	initial_amount
#campaign_group_pooled_resources_tables;1;db/campaign_group_pooled_resources_tables/data__		
wh2_dlc09_feature_tomb_kings	tmb_canopic_jars	0
wh2_dlc11_infamy_factions	cst_infamy	0
wh2_dlc12_lzd_cult_of_sotek	lzd_sacrificial_offerings	0
wh2_dlc12_skv_clan_skryre	skv_nuke	1
wh2_dlc12_skv_clan_skryre	skv_reactor_core	5
wh2_dlc13_emp_the_huntmarshals_expedition	emp_progress	0
wh2_dlc13_emp_the_huntmarshals_expedition	emp_wanted	0
wh2_dlc13_feature_lizardmen_nakai	lzd_old_ones_favour	0
wh2_dlc13_lzd_spirits_of_the_jungle	lzd_old_ones_favour	0
wh2_dlc15_feature_eltharion	wardens_supply	5
wh2_dlc15_feature_eltharion	yvresse_defence	0
wh2_dlc16_forge_rites	wef_forge_daiths_favour	0
wh2_dlc16_skv_clan_moulder	skv_growth_vat	0
wh2_dlc16_skv_clan_moulder	skv_mutagen	100
wh2_dlc17_bst_taurox	bst_momentum	3
wh2_dlc17_bst_taurox	bst_rampage	0
wh2_dlc17_silent_sanctum_gems	lzd_sanctum_gems	0
wh2_dlc17_silent_sanctum_ritual	lzd_sanctum_points	0
wh2_feature_thorek	dwf_thorek_artifact_part_1a	0
wh2_feature_thorek	dwf_thorek_artifact_part_1b	0
wh2_feature_thorek	dwf_thorek_artifact_part_2a	0
wh2_feature_thorek	dwf_thorek_artifact_part_2b	0
wh2_feature_thorek	dwf_thorek_artifact_part_3a	0
wh2_feature_thorek	dwf_thorek_artifact_part_3b	0
wh2_feature_thorek	dwf_thorek_artifact_part_4a	0
wh2_feature_thorek	dwf_thorek_artifact_part_4b	0
wh2_feature_thorek	dwf_thorek_artifact_part_5a	0
wh2_feature_thorek	dwf_thorek_artifact_part_5b	0
wh2_feature_thorek	dwf_thorek_artifact_part_6a	0
wh2_feature_thorek	dwf_thorek_artifact_part_6b	0
wh2_feature_thorek	dwf_thorek_artifact_part_7a	0
wh2_feature_thorek	dwf_thorek_artifact_part_7b	0
wh2_feature_thorek	dwf_thorek_artifact_part_8a	0
wh2_feature_thorek	dwf_thorek_artifact_part_8b	0
wh2_main_feature_dark_elves_malus	def_malus_sanity	0
wh2_main_feature_dark_elves	def_slaves	200
wh2_main_feature_skaven_snikch	skv_clan_mors	0
wh2_main_feature_skaven_snikch	skv_clan_moulder	0
wh2_main_feature_skaven_snikch	skv_clan_pestilens	0
wh2_main_feature_skaven_snikch	skv_clan_skryre	0
wh2_main_feature_skaven_snikch	skv_dust	1
wh2_main_feature_skaven	skaven_food	52
wh3_dlc20_champions_chaos_campaign	wh3_dlc20_chs_champions_campaign_progress	0
wh3_dlc20_feature_azazel	wh3_dlc20_chs_authority_slaanesh	0
wh3_dlc20_feature_azazel	wh3_dlc20_chs_souls_spent_sla	0
wh3_dlc20_feature_azazel	wh3_dlc20_chs_teleport_network_rift_resource	0
wh3_dlc20_feature_azazel	wh3_dlc20_chs_teleport_network_traversal_azazel	1
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_authority_khorne	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_authority_nurgle	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_authority_slaanesh	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_authority_tzeentch	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_souls_spent_kho	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_souls_spent_nur	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_souls_spent_sla	0
wh3_dlc20_feature_chaos_warriors	wh3_dlc20_chs_souls_spent_tze	0
