mercenary_set	province
#province_to_mercenary_set_junctions_tables;0;db/province_to_mercenary_set_junctions_tables/data__	
wh3_dlc20_chs_province_pool	wh3_dlc20_chaos_province_albion
wh_main_vmp_province_pool	wh3_dlc20_chaos_province_albion
wh3_dlc20_chs_province_pool	wh3_dlc20_chaos_province_marches_of_couronne
wh_main_vmp_province_pool	wh3_dlc20_chaos_province_marches_of_couronne
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_dlc20_chaos_province_middle_mountains
wh2_dlc16_wef_drycha_province_merc_pool	wh3_dlc20_chaos_province_middle_mountains
wh3_dlc20_chs_province_pool	wh3_dlc20_chaos_province_middle_mountains
wh_main_vmp_province_pool	wh3_dlc20_chaos_province_middle_mountains
wh3_dlc20_chs_province_pool	wh3_dlc20_chaos_province_northern_wasteland
wh_main_vmp_province_pool	wh3_dlc20_chaos_province_northern_wasteland
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_dlc20_combi_province_frigid_wasteland
wh2_dlc16_wef_drycha_province_merc_pool	wh3_dlc20_combi_province_frigid_wasteland
wh3_dlc20_chs_province_pool	wh3_dlc20_combi_province_frigid_wasteland
wh_main_vmp_province_pool	wh3_dlc20_combi_province_frigid_wasteland
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_dlc20_combi_province_middle_mountains
wh2_dlc16_wef_drycha_province_merc_pool	wh3_dlc20_combi_province_middle_mountains
wh3_dlc20_chs_province_pool	wh3_dlc20_combi_province_middle_mountains
wh_main_vmp_province_pool	wh3_dlc20_combi_province_middle_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ancient_giant_lands
wh_main_vmp_province_pool	wh3_main_chaos_province_ancient_giant_lands
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_black_blood_pass
wh_main_vmp_province_pool	wh3_main_chaos_province_black_blood_pass
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_black_water
wh_main_vmp_province_pool	wh3_main_chaos_province_black_water
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_bloodfire_falls
wh_main_vmp_province_pool	wh3_main_chaos_province_bloodfire_falls
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_bone_road
wh_main_vmp_province_pool	wh3_main_chaos_province_bone_road
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_broken_lands_of_tian_li
wh_main_vmp_province_pool	wh3_main_chaos_province_broken_lands_of_tian_li
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_celestial_riverlands
wh_main_vmp_province_pool	wh3_main_chaos_province_celestial_riverlands
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_central_great_bastion
wh_main_vmp_province_pool	wh3_main_chaos_province_central_great_bastion
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_dukhlys_forest
wh_main_vmp_province_pool	wh3_main_chaos_province_dukhlys_forest
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_eastern_great_bastion
wh_main_vmp_province_pool	wh3_main_chaos_province_eastern_great_bastion
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_eastern_oblast
wh_main_vmp_province_pool	wh3_main_chaos_province_eastern_oblast
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_eastern_steppes
wh_main_vmp_province_pool	wh3_main_chaos_province_eastern_steppes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_forests_of_the_moon
wh_main_vmp_province_pool	wh3_main_chaos_province_forests_of_the_moon
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_gash_kadrak
wh_main_vmp_province_pool	wh3_main_chaos_province_gash_kadrak
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_gianthome_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_gianthome_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_gunpowder_road
wh_main_vmp_province_pool	wh3_main_chaos_province_gunpowder_road
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_helspire_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_helspire_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_hochland
wh_main_vmp_province_pool	wh3_main_chaos_province_hochland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ice_pass
wh_main_vmp_province_pool	wh3_main_chaos_province_ice_pass
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ice_tooth_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_ice_tooth_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_imperial_road
wh_main_vmp_province_pool	wh3_main_chaos_province_imperial_road
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ivory_road
wh_main_vmp_province_pool	wh3_main_chaos_province_ivory_road
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_kdatha
wh_main_vmp_province_pool	wh3_main_chaos_province_kdatha
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_lands_of_stone_and_steel
wh_main_vmp_province_pool	wh3_main_chaos_province_lands_of_stone_and_steel
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_middenland
wh_main_vmp_province_pool	wh3_main_chaos_province_middenland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_mountains_of_hel
wh_main_vmp_province_pool	wh3_main_chaos_province_mountains_of_hel
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_mountains_of_mourn
wh_main_vmp_province_pool	wh3_main_chaos_province_mountains_of_mourn
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_nordland
wh_main_vmp_province_pool	wh3_main_chaos_province_nordland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_northern_grey_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_northern_grey_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_northern_oblast
wh_main_vmp_province_pool	wh3_main_chaos_province_northern_oblast
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_northern_wastes
wh_main_vmp_province_pool	wh3_main_chaos_province_northern_wastes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ostermark
wh_main_vmp_province_pool	wh3_main_chaos_province_ostermark
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_ostland
wh_main_vmp_province_pool	wh3_main_chaos_province_ostland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_path_to_the_east
wh_main_vmp_province_pool	wh3_main_chaos_province_path_to_the_east
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_peak_pass
wh_main_vmp_province_pool	wh3_main_chaos_province_peak_pass
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_plain_of_bone
wh_main_vmp_province_pool	wh3_main_chaos_province_plain_of_bone
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_plain_of_illusions
wh_main_vmp_province_pool	wh3_main_chaos_province_plain_of_illusions
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_reikland
wh_main_vmp_province_pool	wh3_main_chaos_province_reikland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_river_lynsk
wh_main_vmp_province_pool	wh3_main_chaos_province_river_lynsk
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_river_urskoy
wh_main_vmp_province_pool	wh3_main_chaos_province_river_urskoy
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_road_of_skulls
wh_main_vmp_province_pool	wh3_main_chaos_province_road_of_skulls
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_road_to_damnation
wh_main_vmp_province_pool	wh3_main_chaos_province_road_to_damnation
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_southern_grey_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_southern_grey_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_stirland
