key	value
#custom_battle_settings_tables;0;db/custom_battle_settings_tables/data__	
ai_level_easy	1.0
ai_level_hard	-1.0
ai_level_normal	0.0
ai_level_very_hard	-2.0
escalation_level_0	0.0
escalation_level_1	7.0
escalation_level_2	8.0
filter_all_funds	-3.0
funds_custom	5.0
funds_large	2.0
settlement_level_1	3.0
settlement_level_2	4.0
settlement_level_3	5.0
settlement_level_4	6.0
time_limit_long	3600.0
time_limit_medium	2400.0
time_limit_short	1200.0
time_limit_unlimited	-1.0
time_of_day_day	0.0
time_of_day_night	1.0
unit_scale_large	2.0
unit_scale_normal	1.0
unit_scale_small	0.0
unit_scale_ultra	3.0
