battle_result_type	unit_xp_gain
#battle_result_types_tables;2;db/battle_result_types_tables/data__	
close_defeat	30
close_victory	55
crushing_defeat	5
decisive_defeat	10
decisive_victory	85
draw	45
error_unknown	0
heroic_victory	100
pyrrhic_victory	50
valiant_defeat	35
wh3_demo_defeat	0
wh3_demo_victory	0
wh3_dlc20_survival_altar_of_battle_defeat	0
wh3_dlc20_survival_altar_of_battle_victory	0
wh3_survival_belakor_defeat	0
wh3_survival_belakor_victory	0
wh3_survival_khorne_defeat	0
wh3_survival_khorne_victory	0
wh3_survival_nurgle_defeat	0
wh3_survival_nurgle_victory	0
wh3_survival_slaanesh_defeat	0
wh3_survival_slaanesh_victory	0
wh3_survival_tzeentch_defeat	0
wh3_survival_tzeentch_victory	0
