key	faction_offset_x	faction_offset_y	faction_scale_x	faction_scale_y	unitcat_offset_x	unitcat_offset_y	unitcat_scale_x	unitcat_scale_y	command_star_offset_x	command_star_offset_y	army_id_offset_y	animation_name	unit_id_offset_y
#unit_banners_tables;3;db/unit_banners_tables/data__													
default	0.25	0.15	0.5	0.5	0.25	0.15	0.5	0.5	-1.0	0.0	4.0	banner_ver_01	6.6
wh2_dlc09_tmb_tomb_kings	0.5149999	0.14	0.5	0.5	0.5849999	0.18	0.35	0.35	-1.0	0.0	4.3	banner_ver_01	6.6
wh2_dlc11_cst_vampire_coast	0.08500001	0.155	0.45	0.45	0.149	0.19	0.33	0.33	-1.5	0.0	4.3	banner_ver_01	6.6
wh2_main_def_cult_of_pleasure	0.42	0.08500001	0.67	0.67	0.57	0.22000001	0.36	0.36	-1.0	0.0	4.6	banner_ver_01	6.6
wh2_main_def_dark_elves	0.42	0.08500001	0.67	0.67	0.57	0.22000001	0.36	0.36	-1.0	0.0	4.6	banner_ver_01	6.6
wh2_main_hef_high_elves	0.0	0.0	1.0	1.0	0.120000005	0.4	0.3	0.3	-1.0	0.0	4.3	banner_ver_01	6.6
wh2_main_lzd_lizardmen	0.32	0.415	0.6	0.6	0.44	0.5199999	0.38	0.38	-1.0	0.0	4.8	banner_lzd_01	7.2
wh2_main_rogue_armies	0.4	0.28	0.4	0.4	0.4	0.28	0.4	0.4	-1.0	0.0	4.7	banner_ver_01	6.6
wh2_main_skv_skaven	0.02	0.13499999	0.45	0.45	0.120000005	0.28	0.25	0.25	-1.0	0.0	4.3	banner_ver_01	6.6
wh3_dlc20_coc_champions	0.39000002	0.1	0.63	0.63	0.5199999	0.15	0.37	0.42	-1.5	0.0	4.3	banner_ver_01	6.6
wh3_main_cth_cathay	0.02	0.1	0.75	0.75	0.07000001	0.2	0.5	0.5	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_dae_daemons	0.065000005	0.17000002	0.55	0.55	0.15	0.2	0.4	0.4	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_kho_khorne	-0.010000002	0.120000005	0.48000002	0.48000002	0.08000001	0.23	0.3	0.3	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_ksl_kislev	0.07000001	0.26	0.55	0.55	0.07000001	0.26	0.55	0.55	-1.0	0.0	4.3	banner_hor_01	6.8
wh3_main_nur_nurgle	0.04	0.1	0.5199999	0.5199999	0.13	0.18	0.35	0.35	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_ogr_ogre_kingdoms	0.1	0.3	0.46	0.33	0.1	0.3	0.46	0.33	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_sla_slaanesh	0.11000001	0.2	0.45	0.45	0.11000001	0.2	0.45	0.45	-1.0	0.0	4.3	banner_ver_01	6.8
wh3_main_tze_tzeentch	-0.030000001	0.19	0.55	0.55	0.1	0.26	0.35	0.35	-1.0	0.0	4.3	banner_ver_01	6.8
wh_dlc03_bst_beastmen	0.51	0.39000002	0.47	0.43	0.57	0.47	0.34	0.34	-1.0	0.0	4.7	banner_ver_01	6.6
wh_dlc03_bst_beastmen_brayherd	0.2	0.465	0.45	0.45	0.2	0.465	0.45	0.45	-1.0	0.0	4.6	banner_hor_01	6.8
wh_dlc05_wef_wood_elves	0.1	0.16	0.4	0.4	0.1	0.16	0.4	0.4	-1.0	0.0	4.0	banner_wef_01	6.6
wh_dlc08_nor_norsca	0.432	0.2	0.6	0.6	0.5199999	0.23	0.44	0.44	-1.0	0.0	4.3	banner_ver_01	6.6
wh_dlc13_chd_chaos_dwarfs	0.5	0.3	0.27	0.27	0.5	0.3	0.27	0.27	-1.0	0.0	4.0	banner_ver_01	6.6
wh_main_brt_bretonnia	0.08000001	0.1	0.47	0.47	0.120000005	0.15	0.4	0.35	-0.8	0.0	4.3	banner_hor_01	6.6
wh_main_chs_chaos	0.39000002	0.1	0.63	0.63	0.5199999	0.15	0.37	0.42	-1.5	0.0	4.3	banner_ver_01	6.6
wh_main_dwf_dwarfs	0.120000005	0.18	0.51	0.51	0.17000002	0.23	0.4	0.4	-1.5	0.0	4.6	banner_ver_01	6.6
wh_main_emp_empire	0.18	0.15	0.45	0.45	0.22000001	0.22000001	0.35	0.3	-0.8	0.0	4.3	banner_hor_01	6.6
wh_main_grn_greenskins	0.27	0.2	0.28	0.28	0.27	0.17000002	0.38	0.38	-1.0	0.0	4.6	banner_hor_01	6.8
wh_main_grn_greenskins_vertical	0.5	0.35	0.32	0.32	0.5	0.3	0.32	0.32	-1.0	0.0	4.3	banner_ver_01	6.8
wh_main_vmp_vampire_counts	0.47	0.1	0.4	0.4	0.47	0.11000001	0.4	0.3	-1.5	0.0	4.3	banner_ver_01	6.6
