army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;0;db/battle_set_piece_armies_units_junctions_tables/data__			
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	wh2_main_skv_inf_skavenslaves_0_tier_3	enemy_army_north	9
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_main_skv_art_plagueclaw_catapult_tier_4	south_3	1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_main_skv_inf_death_globe_bombardiers_tier_3	south_3	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_main_skv_inf_skavenslaves_0_tier_3	south_1	4
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_main_skv_mon_rat_ogres_tier_3	south_2	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_main_skv_inf_clanrats_0_tier_3	west_3	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_main_skv_inf_clanrats_0_tier_3	west_4	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_main_skv_inf_gutter_runners_0_tier_3	west_1	3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_main_skv_inf_stormvermin_0_tier_4	west_2	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_main_skv_inf_stormvermin_0_tier_4	west_5	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_main_skv_inf_clanrats_0_tier_3	north_2	3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_main_skv_inf_stormvermin_1_tier_3	north_1	2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_main_skv_veh_doomwheel_tier_4	north_2	1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_art_screaming_skull_catapult_0_tier_6		2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_cav_nehekhara_horsemen_0_tier_4		2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_inf_nehekhara_warriors_0_tier_4		1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_inf_skeleton_archers_0_tier_6		3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_inf_skeleton_spearmen_0_tier_6		1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_inf_tomb_guard_0_tier_6		4
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_mon_necrosphinx_0_tier_4		1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_mon_tomb_scorpion_0_tier_3		1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_tmb_mon_ushabti_0_tier_5		2
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_main_lzd_inf_temple_guards_tier_3	First	2
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_main_lzd_mon_bastiladon_0_tier_3	First	1
