key	building_level	factorial_effect	value	scope
#campaign_building_level_factorial_effect_junctions_tables;2;db/campaign_building_level_factorial_effect_junctions_tables/data__				
1002159254	wh2_main_foreign_slot_discovery_brt_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
101154537	wh3_dlc20_foreign_slot_discovery_woc_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1012095569	wh2_main_foreign_slot_discovery_def_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1048134695	wh3_main_foreign_slot_discovery_ksl_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1058891513	wh2_main_foreign_slot_discovery_vmp_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1090620921	wh_dlc05_wef_oak_of_ages_2	skaven_discoverability_buildings_settlement	60	EFS_ONLY_OTHERS
1106288792	wh2_main_foreign_slot_discovery_vmp_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1110530305	wh3_main_foreign_slot_discovery_tze_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1125425532	wh2_main_special_fortress_gate_griffon_hef_2	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1126219610	wh2_dlc12_under_empire_warpstone_refinery_1	skaven_discoverability_buildings	40	EFS_ONLY_OWNER
1139352261	wh_dlc05_wef_agent_protection_2	skaven_discoverability_buildings_settlement	50	EFS_ONLY_OTHERS
1143198275	wh3_main_foreign_slot_discovery_ogr_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1144062937	wh2_main_special_fortress_gate_griffon_hef_5	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
117641269	wh2_dlc12_under_empire_warpstone_strip_mine_1	skaven_discoverability_buildings	80	EFS_ONLY_OWNER
1189669412	wh2_main_foreign_slot_discovery_tmb_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1221272807	wh2_dlc12_under_empire_money_thieves_3	skaven_discoverability_buildings	80	EFS_ONLY_OWNER
1221534574	wh_dlc05_wef_agent_protection_1	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1259715786	wh3_main_foreign_slot_discovery_nur_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1259717112	wh2_main_foreign_slot_discovery_wef_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1289026811	wh3_main_foreign_slot_discovery_dae_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1289854350	wh2_main_foreign_slot_discovery_cst_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1353563206	wh2_main_foreign_slot_discovery_dwf_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
136401351	wh3_main_foreign_slot_discovery_sla_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1395681267	wh2_main_foreign_slot_discovery_lzd_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
1408326897	wh3_main_foreign_slot_discovery_kho_3	skaven_discoverability_buildings_settlement	40	EFS_ONLY_OTHERS
141934845	wh2_dlc12_under_empire_food_kidnappers_1	skaven_discoverability_buildings	20	EFS_ONLY_OWNER
1434735883	wh3_main_foreign_slot_discovery_dae_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1459030286	wh2_dlc12_under_empire_warpstone_mine_1	skaven_discoverability_buildings	20	EFS_ONLY_OWNER
1463117316	wh2_main_special_fortress_gate_phoenix_hef_2	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
146795722	wh3_dlc20_foreign_slot_discovery_woc_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
1495918092	wh2_main_foreign_slot_discovery_dwf_1	skaven_discoverability_buildings_settlement	10	EFS_ONLY_OTHERS
1511419573	wh3_main_foreign_slot_discovery_nur_2	skaven_discoverability_buildings_settlement	30	EFS_ONLY_OTHERS
