name	deep_water	forest	grass	mud	rock	road	sand	scrub	shallow_water	snow	wooden_floor	effect_frequency	footstep_camera_shake
#battle_entity_effects_tables;2;db/battle_entity_effects_tables/data__													
entity_artillery_footstep	wh_main_terrain_entity_move_large_water	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_mud	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_sand	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_wake	wh_main_terrain_entity_move_large_snow	wh_main_terrain_entity_move_large_rock	1.0	wh_main_unit_artillery_footstep
entity_cavalry_footstep	wh_main_terrain_entity_move_medium_water	wh_main_terrain_entity_move_medium_grass	wh_main_terrain_entity_move_medium_grass	wh_main_terrain_entity_move_medium_mud	wh_main_terrain_entity_move_medium_rock	wh_main_terrain_entity_move_medium_rock	wh_main_terrain_entity_move_medium_sand	wh_main_terrain_entity_move_medium_grass	wh_main_terrain_entity_move_medium_wake	wh_main_terrain_entity_move_medium_snow	wh_main_terrain_entity_move_medium_rock	0.2	wh_main_unit_cavalry_footstep
entity_giant_footstep	wh_main_terrain_entity_move_large_water	wh_main_terrain_entity_move_giant_grass	wh_main_terrain_entity_move_giant_grass	wh_main_terrain_entity_move_giant_mud	wh_main_terrain_entity_move_giant_rock	wh_main_terrain_entity_move_giant_rock	wh_main_terrain_entity_move_giant_sand	wh_main_terrain_entity_move_giant_grass	wh_main_terrain_entity_move_large_water	wh_main_terrain_entity_move_giant_snow	wh_main_terrain_entity_move_giant_grass	1.0	wh_main_unit_giant_footstep
entity_infantry_footstep	wh_main_terrain_entity_move_small_water	wh_main_terrain_entity_move_small_grass	wh_main_terrain_entity_move_small_grass	wh_main_terrain_entity_move_small_mud	wh_main_terrain_entity_move_small_rock	wh_main_terrain_entity_move_small_rock	wh_main_terrain_entity_move_small_sand	wh_main_terrain_entity_move_small_grass	wh_main_terrain_entity_move_small_wake	wh_main_terrain_entity_move_small_snow	wh_main_terrain_entity_move_small_rock	0.1	wh_main_unit_infantry_footstep
entity_monstrous_infantry_footstep	wh_main_terrain_entity_move_large_water	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_mud	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_sand	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_wake	wh_main_terrain_entity_move_large_snow	wh_main_terrain_entity_move_large_rock	0.2	wh_main_unit_infantry_footstep
entity_war_beast_footstep	wh_main_terrain_entity_move_large_water	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_mud	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_rock	wh_main_terrain_entity_move_large_sand	wh_main_terrain_entity_move_large_grass	wh_main_terrain_entity_move_large_wake	wh_main_terrain_entity_move_large_snow	wh_main_terrain_entity_move_large_rock	1.0	wh_main_unit_monster_footstep
unit_artillery_combat	wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.0	
unit_artillery_running	wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.2	
unit_artillery_walking	wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.1	
unit_cavalry_combat	wh_main_terrain_unit_move_medium_water	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_mud	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_sand	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_wake	wh_main_terrain_unit_move_medium_snow	wh_main_terrain_unit_move_medium_rock	0.0	
unit_cavalry_impact	wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_mud	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_sand	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_snow	wh_main_terrain_unit_impact_medium_rock	1.0	
unit_cavalry_running	wh_main_terrain_unit_move_medium_water	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_mud	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_sand	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_wake	wh_main_terrain_unit_move_medium_snow	wh_main_terrain_unit_move_medium_rock	0.2	
