key	steam_id	game_expansion_key	awarded_via_script
#achievements_tables;0;db/achievements_tables/data__			
WH3_ACHIEVEMENT_BATTLE_MULTIPLAYER_1			true
WH3_ACHIEVEMENT_BATTLE_MULTIPLAYER_VIRAL			true
WH3_ACHIEVEMENT_BATTLE_OUTNUMBERED			true
WH3_ACHIEVEMENT_BATTLE_QUEST			true
WH3_ACHIEVEMENT_BATTLE_WINS_10			false
WH3_ACHIEVEMENT_BATTLE_WINS_50			false
WH3_ACHIEVEMENT_BATTLE_WINS_AMBUSH_5			false
WH3_ACHIEVEMENT_BATTLE_WINS_SIEGE_ATTACK_25			false
WH3_ACHIEVEMENT_BORIS_UNLOCK			true
WH3_ACHIEVEMENT_CATHAY_COMPLETE_CARAVAN			true
WH3_ACHIEVEMENT_CATHAY_CONSTRUCT_OBSERVATORY			false
WH3_ACHIEVEMENT_CATHAY_OCCUPY_GREAT_BASTION			false
WH3_ACHIEVEMENT_CATHAY_OCCUPY_WEI_JIN			false
WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL			false
WH3_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_1			false
WH3_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_2			false
WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1			false
WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2			false
WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3			false
WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_1			false
WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_2			false
WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_3			false
WH3_ACHIEVEMENT_COMPLETE_KHORNE_REALM			true
WH3_ACHIEVEMENT_COMPLETE_NURGLE_REALM			true
WH3_ACHIEVEMENT_COMPLETE_SLAANESH_REALM			true
WH3_ACHIEVEMENT_COMPLETE_TZEENTCH_REALM			true
WH3_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_1			false
WH3_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_30			false
WH3_ACHIEVEMENT_CONSTRUCT_ALLIED_OUTPOST			true
WH3_ACHIEVEMENT_DAEMON_PRINCE_ASCEND			true
WH3_ACHIEVEMENT_DAEMON_PRINCE_ASCEND_UNDIVIDED			true
WH3_ACHIEVEMENT_DAEMON_PRINCE_GIFTS_15			true
WH3_ACHIEVEMENT_DAEMON_PRINCE_GIFTS_5			true
