id	trigger_events	needs_tracking	refund_on_cancel	active_cooldown_can_be_increased
#ritual_categories_tables;0;db/ritual_categories_tables/data__				
ASCENSION_RITUAL	false	false	true	true
ATHEL_TAMARHA_RITUAL	false	false	true	true
BEASTMEN_RITUAL_ITEMS	false	false	true	true
BEASTMEN_RITUAL_LORDS	false	false	true	true
BEASTMEN_RITUAL_UNITS	false	false	true	true
BEASTMEN_RITUAL_UPGRADES	false	false	true	true
BEASTMEN_RITUAL_UPGRADES_GLOBAL_LORD_HERO	false	false	true	true
BEASTMEN_RITUAL_UPGRADES_GLOBAL_UNIT	false	false	true	true
BEASTMEN_RITUAL_UPGRADES_HERDSTONE	false	false	true	true
BELAKOR_GREAT_GAME_USES	false	false	true	true
BLOODLINE_RITUAL	false	false	true	true
BUILDINGS_RITUAL	false	false	true	true
CRAFTING_RITUAL	false	false	true	true
CULT_RITUAL	false	false	true	true
DAITH_BUFF_RITUAL	false	false	true	true
DAITH_CRAFTING_ITEM	false	false	true	true
DAITH_DRAGON_ITEM_RITUAL	false	false	true	true
DAITH_DRAGON_REFORGED_ITEM_RITUAL	false	false	true	true
DAITH_DREAMING_ITEM_RITUAL	false	false	true	true
DAITH_DREAMING_REFORGED_ITEM_RITUAL	false	false	true	true
DAITH_EAGLE_ITEM_RITUAL	false	false	true	true
DAITH_EAGLE_REFORGED_ITEM_RITUAL	false	false	true	true
DAITH_TWILIGHT_ITEM_RITUAL	false	false	true	true
DAITH_TWILIGHT_REFORGED_ITEM_RITUAL	false	false	true	true
DEVOTEES_RITUAL	false	false	true	true
ESHIN_MORS_RITUAL	false	false	true	true
ESHIN_MOULDER_RITUAL	false	false	true	true
ESHIN_PESTILENS_RITUAL	false	false	true	true
ESHIN_RITUAL	false	false	true	true
ESHIN_RITUAL_DELAYED	false	false	true	true
ESHIN_SKYRE_RITUAL	false	false	true	true
ESHIN_VORTEX_RITUAL	false	false	true	true
EYE_OF_THE_GODS	true	false	true	false
FLASH_LAB_BOOSTER	false	false	true	true
FLASH_LAB_MONSTER	false	false	true	true
FLASH_LAB_RITUAL	false	false	true	true
FLASH_LAB_RITUAL_TIER2	false	false	true	true
FLASH_LAB_RITUAL_TIER3	false	false	true	true
FORCE_VASSAL	false	false	true	true
GREAT_GAME_1	false	false	true	true
GREAT_GAME_2	false	false	true	true
GREAT_GAME_3	false	false	true	true
GREAT_GAME_4	false	false	true	true
INTERVENTION_RITUAL	false	false	true	true
KISLEV_RITUAL	false	false	true	true
MALUS_RITUAL	false	false	true	true
MEAT_RITUAL	false	false	true	true
MOTHERLAND_RITUAL	false	false	false	true
NURGLE_RITUAL	false	false	true	true
OXYOTL_TELEPORTATION	false	false	true	false
SACRIFICE_RITUAL	false	false	true	true
SKULLS_RITUAL	false	false	true	true
SLAVE_RITUAL	false	false	true	true
STANDARD_RITUAL	false	false	true	false
TAUROX_RAMPAGE_TIER1	false	false	true	true
TAUROX_RAMPAGE_TIER2	false	false	true	true
TAUROX_RAMPAGE_TIER3	false	false	true	true
TZEENTCH_RITUAL	false	true	true	true
VORTEX_RITUAL	true	false	true	true
WAAAGH_RITUAL	false	false	true	true
WORKSHOP_RITUAL	false	false	true	true
WORLDROOTS_HEALING	false	false	true	true
WORLDROOTS_TELEPORTATION	false	false	true	false
