key	default_value
#cai_query_variables_tables;1;db/cai_query_variables_tables/data__	
agent_subtype	 
allow_land_sea_transition	yes
compass_direction	 
decision_item	 
decision_profile	 
default_query_result	0
faction_feature	 
force_stance	 
force_type	 
history_specificity	any
ignore_abandoned_regions	yes
ignore_armed_citizenry	yes
ignore_rebels	yes
max	INFINITY
max_random_extension	0
min	-INFINITY
min_max_behaviour	none
min_random_extension	0
owned_by	self
personality_region_group_identifier	0
plague_recipe	 
point_of_interest_type	 
pooled_resource	 
queried_domain	most_specific
queried_domain_2	third_party
region_group	 
region_hint	 
region_lost_recently_time_horizon	10
region_range	0
shared_state	 
spawnable_force	 
subculture	 
teleportation_network	 
trespass_warning_round_horizon	0
