stat_key	unit_class	filter	list_order	base_value
#ui_unit_stat_to_classes_tables;4;db/ui_unit_stat_to_classes_tables/data__				
scalar_missile_range	art_fix	none	10	600.0
scalar_missile_range	art_fld	none	10	600.0
scalar_missile_range	art_siege	none	10	600.0
scalar_missile_range	cav_mel	none	10	600.0
scalar_missile_range	cav_mis	none	10	600.0
scalar_missile_range	cav_shk	none	10	600.0
scalar_missile_range	chariot	none	10	600.0
scalar_missile_range	com	none	10	600.0
scalar_missile_range	inf_mel	none	10	600.0
scalar_missile_range	inf_mis	none	10	600.0
scalar_missile_range	inf_spr	none	10	600.0
scalar_missile_range	spcl	none	10	600.0
scalar_speed	art_fix	none	4	100.0
scalar_speed	art_fld	none	4	100.0
scalar_speed	art_siege	none	4	100.0
scalar_speed	cav_mel	none	4	100.0
scalar_speed	cav_mis	none	4	100.0
scalar_speed	cav_shk	none	4	100.0
scalar_speed	chariot	none	4	100.0
scalar_speed	com	none	4	100.0
scalar_speed	inf_mel	none	4	100.0
scalar_speed	inf_mis	none	4	100.0
scalar_speed	inf_spr	none	4	100.0
scalar_speed	shp_art	none	10	5.0
scalar_speed	shp_mel	none	10	5.0
scalar_speed	shp_mis	none	10	5.0
scalar_speed	shp_trn	none	10	5.0
scalar_speed	spcl	none	4	100.0
stat_ammo	art_fix	none	9	50.0
stat_ammo	art_fld	none	9	50.0
stat_ammo	art_siege	none	9	50.0
stat_ammo	cav_mel	none	9	50.0
stat_ammo	cav_mis	none	9	50.0
stat_ammo	cav_shk	none	9	50.0
stat_ammo	chariot	none	9	50.0
stat_ammo	com	none	9	50.0
stat_ammo	inf_mel	none	9	50.0
stat_ammo	inf_mis	none	9	50.0
stat_ammo	inf_spr	none	9	50.0
stat_ammo	shp_art	none	13	14.0
stat_ammo	shp_mel	none	13	2.0
stat_ammo	shp_mis	none	13	14.0
stat_ammo	shp_trn	none	13	2.0
stat_ammo	spcl	none	9	100.0
stat_armour	art_fix	none	2	200.0
