army_special_ablility	faction
#army_special_abilities_for_faction_junctions_tables;0;db/army_special_abilities_for_faction_junctions_tables/data__	
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_lybaras
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_numas
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh3_main_tmb_deserters_of_khatep
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_lybaras
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_numas
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh3_main_tmb_deserters_of_khatep
wh2_dlc15_army_abilities_waaagh	wh2_dlc15_grn_bonerattlaz
wh2_dlc15_army_abilities_waaagh	wh2_dlc15_grn_broken_axe
wh2_dlc15_army_abilities_waaagh	wh_main_grn_crooked_moon
wh2_dlc15_army_abilities_waaagh	wh_main_grn_greenskins
wh2_dlc15_army_abilities_waaagh	wh_main_grn_orcs_of_the_bloody_hand
wh3_main_army_abilities_arcane_surge	wh3_dlc20_tze_apostles_of_change
wh3_main_army_abilities_arcane_surge	wh3_dlc20_tze_the_sightless
wh3_main_army_abilities_arcane_surge	wh3_main_dae_daemon_prince
wh3_main_army_abilities_arcane_surge	wh3_main_tze_all_seeing_eye
wh3_main_army_abilities_arcane_surge	wh3_main_tze_broken_wheel
wh3_main_army_abilities_arcane_surge	wh3_main_tze_flaming_scribes
wh3_main_army_abilities_arcane_surge	wh3_main_tze_sarthoraels_watchers
wh3_main_army_abilities_arcane_surge	wh3_main_tze_tzeentch
wh3_main_army_abilities_blade_of_khorne	wh3_dlc20_kho_blood_keepers
wh3_main_army_abilities_blade_of_khorne	wh3_main_dae_daemon_prince
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_bloody_sword
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_brazen_throne
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_crimson_skull
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_exiles_of_khorne
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_karneths_sons
wh3_main_army_abilities_blade_of_khorne	wh3_main_kho_khorne
wh3_main_army_abilities_bolt_of_change	wh3_dlc20_tze_apostles_of_change
wh3_main_army_abilities_bolt_of_change	wh3_dlc20_tze_the_sightless
wh3_main_army_abilities_bolt_of_change	wh3_main_dae_daemon_prince
wh3_main_army_abilities_bolt_of_change	wh3_main_tze_all_seeing_eye
wh3_main_army_abilities_bolt_of_change	wh3_main_tze_broken_wheel
wh3_main_army_abilities_bolt_of_change	wh3_main_tze_flaming_scribes
wh3_main_army_abilities_bolt_of_change	wh3_main_tze_sarthoraels_watchers
wh3_main_army_abilities_bolt_of_change	wh3_main_tze_tzeentch
wh3_main_army_abilities_curse_of_the_slug	wh3_dlc20_nur_pallid_nurslings
wh3_main_army_abilities_curse_of_the_slug	wh3_main_dae_daemon_prince
wh3_main_army_abilities_curse_of_the_slug	wh3_main_nur_bubonic_swarm
wh3_main_army_abilities_curse_of_the_slug	wh3_main_nur_maggoth_kin
wh3_main_army_abilities_curse_of_the_slug	wh3_main_nur_nurgle
wh3_main_army_abilities_curse_of_the_slug	wh3_main_nur_septic_claw
wh3_main_army_abilities_fascination	wh3_dlc20_sla_keepers_of_bliss
wh3_main_army_abilities_fascination	wh3_main_dae_daemon_prince
wh3_main_army_abilities_fascination	wh3_main_sla_exquisite_pain
wh3_main_army_abilities_fascination	wh3_main_sla_rapturous_excess
wh3_main_army_abilities_fascination	wh3_main_sla_slaanesh
wh3_main_army_abilities_fascination	wh3_main_sla_subtle_torture
wh3_main_army_abilities_fecundity	wh3_dlc20_nur_pallid_nurslings
wh3_main_army_abilities_fecundity	wh3_main_dae_daemon_prince
wh3_main_army_abilities_fecundity	wh3_main_nur_bubonic_swarm
wh3_main_army_abilities_fecundity	wh3_main_nur_maggoth_kin
wh3_main_army_abilities_fecundity	wh3_main_nur_nurgle
wh3_main_army_abilities_fecundity	wh3_main_nur_septic_claw
wh3_main_army_abilities_horn_of_khorne	wh3_dlc20_kho_blood_keepers
wh3_main_army_abilities_horn_of_khorne	wh3_main_dae_daemon_prince
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_bloody_sword
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_brazen_throne
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_crimson_skull
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_exiles_of_khorne
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_karneths_sons
wh3_main_army_abilities_horn_of_khorne	wh3_main_kho_khorne
wh3_main_army_abilities_narcissism	wh3_dlc20_sla_keepers_of_bliss
wh3_main_army_abilities_narcissism	wh3_main_dae_daemon_prince
wh3_main_army_abilities_narcissism	wh3_main_sla_exquisite_pain
wh3_main_army_abilities_narcissism	wh3_main_sla_rapturous_excess
wh3_main_army_abilities_narcissism	wh3_main_sla_slaanesh
wh3_main_army_abilities_narcissism	wh3_main_sla_subtle_torture
wh3_main_army_abilities_relentless_rage	wh3_dlc20_kho_blood_keepers
wh3_main_army_abilities_relentless_rage	wh3_main_dae_daemon_prince
wh3_main_army_abilities_relentless_rage	wh3_main_kho_bloody_sword
wh3_main_army_abilities_relentless_rage	wh3_main_kho_brazen_throne
wh3_main_army_abilities_relentless_rage	wh3_main_kho_crimson_skull
wh3_main_army_abilities_relentless_rage	wh3_main_kho_exiles_of_khorne
wh3_main_army_abilities_relentless_rage	wh3_main_kho_karneths_sons
wh3_main_army_abilities_relentless_rage	wh3_main_kho_khorne
wh3_main_army_abilities_rot_glorious_rot	wh3_dlc20_nur_pallid_nurslings
wh3_main_army_abilities_rot_glorious_rot	wh3_main_dae_daemon_prince
wh3_main_army_abilities_rot_glorious_rot	wh3_main_nur_bubonic_swarm
wh3_main_army_abilities_rot_glorious_rot	wh3_main_nur_maggoth_kin
wh3_main_army_abilities_rot_glorious_rot	wh3_main_nur_nurgle
wh3_main_army_abilities_rot_glorious_rot	wh3_main_nur_septic_claw
wh3_main_army_abilities_storm_of_fire	wh3_dlc20_tze_apostles_of_change
wh3_main_army_abilities_storm_of_fire	wh3_dlc20_tze_the_sightless
wh3_main_army_abilities_storm_of_fire	wh3_main_dae_daemon_prince
wh3_main_army_abilities_storm_of_fire	wh3_main_tze_all_seeing_eye
wh3_main_army_abilities_storm_of_fire	wh3_main_tze_broken_wheel
wh3_main_army_abilities_storm_of_fire	wh3_main_tze_flaming_scribes
wh3_main_army_abilities_storm_of_fire	wh3_main_tze_sarthoraels_watchers
wh3_main_army_abilities_storm_of_fire	wh3_main_tze_tzeentch
wh3_main_army_abilities_sweet_sorrow	wh3_dlc20_sla_keepers_of_bliss
wh3_main_army_abilities_sweet_sorrow	wh3_main_dae_daemon_prince
wh3_main_army_abilities_sweet_sorrow	wh3_main_sla_exquisite_pain
wh3_main_army_abilities_sweet_sorrow	wh3_main_sla_rapturous_excess
wh3_main_army_abilities_sweet_sorrow	wh3_main_sla_slaanesh
wh3_main_army_abilities_sweet_sorrow	wh3_main_sla_subtle_torture
wh3_main_prisoners_butcher	wh3_main_ogr_blood_guzzlers
wh3_main_prisoners_butcher	wh3_main_ogr_bloodmaw
wh3_main_prisoners_butcher	wh3_main_ogr_crossed_clubs
wh3_main_prisoners_butcher	wh3_main_ogr_disciples_of_the_maw
wh3_main_prisoners_butcher	wh3_main_ogr_eyebiter
wh3_main_prisoners_butcher	wh3_main_ogr_feastmaster
wh3_main_prisoners_butcher	wh3_main_ogr_fleshgreeders
wh3_main_prisoners_butcher	wh3_main_ogr_fulg
wh3_main_prisoners_butcher	wh3_main_ogr_goldtooth
wh3_main_prisoners_butcher	wh3_main_ogr_lazarghs
wh3_main_prisoners_butcher	wh3_main_ogr_loose_tooth
wh3_main_prisoners_butcher	wh3_main_ogr_mountaineaters
wh3_main_prisoners_butcher	wh3_main_ogr_ogre_kingdoms
wh3_main_prisoners_butcher	wh3_main_ogr_rock_skulls
wh3_main_prisoners_butcher	wh3_main_ogr_sabreskin
wh3_main_prisoners_butcher	wh3_main_ogr_sons_of_the_mountain
wh3_main_prisoners_butcher	wh3_main_ogr_thunderguts
wh3_main_prisoners_butcher	wh3_main_ogr_treehammers
wh3_main_prisoners_butcher	wh3_main_ogre_flamegullets
wh3_main_prisoners_butcher	wh3_main_ogre_sharktooth
wh3_main_prisoners_butcher	wh3_main_ogre_the_famished
