key	building	effect_bundle	faction_spawned	min_building_count	level	nakai_temple	secondary_building
#nakai_temple_levels_tables;5;db/nakai_temple_levels_tables/data__							
nakai_temple_itzl_1	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_1	wh2_dlc13_lzd_defenders_of_the_great_plan	1	1	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_itzl_2	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_2	wh2_dlc13_lzd_defenders_of_the_great_plan	1	2	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_itzl_3	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_3	wh2_dlc13_lzd_defenders_of_the_great_plan	1	3	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_itzl_4	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_4	wh2_dlc13_lzd_defenders_of_the_great_plan	1	4	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_itzl_5	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	5	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_itzl_6	wh2_dlc13_lzd_nakai_itzl	wh2_dlc13_nakai_temple_itzl_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	6	nakai_temple_itzl	wh2_dlc13_lzd_port_nakai_itzl
nakai_temple_quetzl_1	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_1	wh2_dlc13_lzd_defenders_of_the_great_plan	1	1	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_quetzl_2	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_2	wh2_dlc13_lzd_defenders_of_the_great_plan	1	2	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_quetzl_3	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_3	wh2_dlc13_lzd_defenders_of_the_great_plan	1	3	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_quetzl_4	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_4	wh2_dlc13_lzd_defenders_of_the_great_plan	1	4	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_quetzl_5	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	5	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_quetzl_6	wh2_dlc13_lzd_nakai_quetzl	wh2_dlc13_nakai_temple_quetzl_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	6	nakai_temple_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
nakai_temple_xholankha_1	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_1	wh2_dlc13_lzd_defenders_of_the_great_plan	1	1	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
nakai_temple_xholankha_2	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_2	wh2_dlc13_lzd_defenders_of_the_great_plan	1	2	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
nakai_temple_xholankha_3	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_3	wh2_dlc13_lzd_defenders_of_the_great_plan	1	3	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
nakai_temple_xholankha_4	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_4	wh2_dlc13_lzd_defenders_of_the_great_plan	1	4	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
nakai_temple_xholankha_5	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	5	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
nakai_temple_xholankha_6	wh2_dlc13_lzd_nakai_xholankha	wh2_dlc13_nakai_temple_xholankha_5	wh2_dlc13_lzd_defenders_of_the_great_plan	1	6	nakai_temple_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
