group	parent
#cdir_military_generator_unit_group_overrides_tables;0;db/cdir_military_generator_unit_group_overrides_tables/data__	
wh3_default_land_artillery_long_range	wh3_default_land_artillery
wh3_default_land_artillery_short_range	wh3_default_land_artillery
wh3_default_land_flying_heavy	wh3_default_land_flying
wh3_default_land_flying_light	wh3_default_land_flying
wh3_default_land_flying_light_harasser	wh3_default_land_flying_light
wh3_default_land_flying_light_main	wh3_default_land_flying_light
wh3_default_land_melee_cavalry_light	wh3_default_land_melee_cavalry
wh3_default_land_melee_cavalry_main	wh3_default_land_melee_cavalry
wh3_default_land_melee_cavalry_main_chariots	wh3_default_land_melee_cavalry_main
wh3_default_land_melee_cavalry_main_shock	wh3_default_land_melee_cavalry_main
wh3_default_land_melee_cavalry_main_shock_heavy	wh3_default_land_melee_cavalry_main_shock
wh3_default_land_melee_cavalry_main_shock_medium	wh3_default_land_melee_cavalry_main_shock
wh3_default_land_melee_infantry_main	wh3_default_land_melee_infantry
wh3_default_land_melee_infantry_main_flanking	wh3_default_land_melee_infantry_main
wh3_default_land_melee_infantry_main_flanking_high_quality	wh3_default_land_melee_infantry_main_flanking
wh3_default_land_melee_infantry_main_frontline	wh3_default_land_melee_infantry_main
wh3_default_land_melee_infantry_main_frontline_spears	wh3_default_land_melee_infantry_main_frontline
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	wh3_default_land_melee_infantry_main_frontline_spears
wh3_default_land_melee_infantry_main_frontline_swords	wh3_default_land_melee_infantry_main_frontline
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	wh3_default_land_melee_infantry_main_frontline_swords
wh3_default_land_melee_infantry_special	wh3_default_land_melee_infantry
wh3_default_land_melee_infantry_trash	wh3_default_land_melee_infantry
wh3_default_land_melee_infantry_trash_spears	wh3_default_land_melee_infantry_trash
wh3_default_land_monsters_flanking	wh3_default_land_monsters
wh3_default_land_monsters_flanking_strong	wh3_default_land_monsters_flanking
wh3_default_land_monsters_heavy	wh3_default_land_monsters
wh3_default_land_ranged_cavalry_chariots	wh3_default_land_ranged_cavalry
wh3_default_land_ranged_cavalry_mounted	wh3_default_land_ranged_cavalry
wh3_default_land_ranged_infantry_main	wh3_default_land_ranged_infantry
wh3_default_land_ranged_infantry_main_heavy	wh3_default_land_ranged_infantry_main
wh3_default_land_ranged_infantry_main_heavy_long_range	wh3_default_land_ranged_infantry_main_heavy
wh3_default_land_ranged_infantry_main_heavy_short_range	wh3_default_land_ranged_infantry_main_heavy
wh3_default_land_ranged_infantry_main_light	wh3_default_land_ranged_infantry_main
wh3_default_land_ranged_infantry_main_light_backline	wh3_default_land_ranged_infantry_main_light
wh3_default_land_ranged_infantry_main_light_skirmisher	wh3_default_land_ranged_infantry_main_light
wh3_default_land_ranged_infantry_trash	wh3_default_land_ranged_infantry
