state_key	shadowed_building_level	entry_payload	exit_payload
#building_lifecycle_states_tables;0;db/building_lifecycle_states_tables/data__			
wh3_main_nur_1_1	wh3_main_nur_1_1		wh3_main_nur_plaguebearer_x1
wh3_main_nur_1_2	wh3_main_nur_1_2		wh3_main_nur_plaguebearer_x1
wh3_main_nur_1_3	wh3_main_nur_1_3		wh3_main_nur_plaguebearer_x2
wh3_main_nur_1_4	wh3_main_nur_1_4		wh3_main_nur_plaguebearer_exalted_x1
wh3_main_nur_1_5	wh3_main_nur_1_5		wh3_main_nur_plaguebearer_exalted_x1
wh3_main_nur_1_6	wh3_main_nur_1_6		wh3_main_nur_plaguebearer_exalted_x1
wh3_main_nur_2_1	wh3_main_nur_2_1		wh3_dlc20_marauders_mnur_x1_forsaken_mnur_x1
wh3_main_nur_2_2	wh3_main_nur_2_2		wh3_dlc20_marauders_mnur_greatweapons_x1_forsaken_mnur_x1
wh3_main_nur_2_3	wh3_main_nur_2_3		wh3_main_nur_spawn_of_nurgle_x1
wh3_main_nur_2_4	wh3_main_nur_2_4		wh3_dlc20_chs_inf_chaos_warriors_mnur_x1_chaos_spawn_x1
wh3_main_nur_2_5	wh3_main_nur_2_5		wh3_dlc20_warriors_mnur_gw_x1_soul_grinder_x1
wh3_main_nur_3_1	wh3_main_nur_3_1		wh3_main_nur_plague_toads_x1_warhounds_x1
wh3_main_nur_3_2	wh3_main_nur_3_2		wh3_dlc20_nur_plague_toads_x1_marauder_horsmen_mnur_x1
wh3_main_nur_3_3	wh3_main_nur_3_3		wh3_main_nur_pox_riders_of_nurgle_x1
wh3_main_nur_3_4	wh3_main_nur_3_4		wh3_dlc20_chariot_mnur_x1_pox_riders_x1
wh3_main_nur_4_1	wh3_main_nur_4_1		wh3_main_nur_chaos_furies_x1
wh3_main_nur_4_2	wh3_main_nur_4_2		wh3_main_nur_chaos_furies_x1
wh3_main_nur_4_3	wh3_main_nur_4_3		wh3_main_nur_rot_flies_x1
wh3_main_nur_4_4	wh3_main_nur_4_4		wh3_dlc20_chs_cav_chaos_knights_mnur_x1_plague_drones_x1
wh3_main_nur_4_5	wh3_main_nur_4_5		wh3_dlc20_chs_cav_chaos_knights_lances_mnur_x1_plague_drones_x1
wh3_main_nur_4_6	wh3_main_nur_4_6		wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_x1
wh3_main_nur_4_7	wh3_main_nur_4_7		wh3_main_nur_plague_drones_death_x1
wh3_main_nur_4_8	wh3_main_nur_4_8		wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_gw_x1
wh3_main_nur_5_1	wh3_main_nur_5_1		wh3_main_nur_nurglings_x4
wh3_main_nur_5_2	wh3_main_nur_5_2		wh3_main_nur_beast_of_nurgle_x1
wh3_main_nur_5_3	wh3_main_nur_5_3		wh3_main_nur_beast_of_nurgle_x1
wh3_main_nur_5_4	wh3_main_nur_5_4		wh3_dlc20_warshrine_nur_x1_beast_x1
wh3_main_nur_5_5	wh3_main_nur_5_5		wh3_main_nur_great_unclean_one_x1
wh3_main_nur_6_1	wh3_main_nur_6_1		wh3_main_nur_nurglings_x1
wh3_main_nur_6_2	wh3_main_nur_6_2		wh3_main_nur_nurglings_x1
wh3_main_nur_6_3	wh3_main_nur_6_3		wh3_main_nur_nurglings_x1
wh3_main_nur_6_4	wh3_main_nur_6_4		wh3_main_nur_nurglings_x1
wh3_main_nur_7_1	wh3_main_nur_7_1		wh3_main_nur_nurglings_x1
wh3_main_nur_7_2	wh3_main_nur_7_2		wh3_main_nur_nurglings_x1
wh3_main_nur_7_3	wh3_main_nur_7_3		wh3_main_nur_nurglings_x1
wh3_main_nur_7_4	wh3_main_nur_7_4		wh3_main_nur_nurglings_x1
wh3_main_nur_8_1	wh3_main_nur_8_1		wh3_main_nur_nurglings_x1
wh3_main_nur_8_2	wh3_main_nur_8_2		wh3_main_nur_nurglings_x1
wh3_main_nur_8_3	wh3_main_nur_8_3		wh3_main_nur_nurglings_x1
wh3_main_nur_8_4	wh3_main_nur_8_4		wh3_main_nur_nurglings_x1
wh3_main_nur_9_1	wh3_main_nur_9_1		wh3_main_nur_nurglings_x1
wh3_main_nur_9_2	wh3_main_nur_9_2		wh3_main_nur_nurglings_x1
wh3_main_nur_9_3	wh3_main_nur_9_3		wh3_main_nur_nurglings_x1
wh3_main_nur_9_4	wh3_main_nur_9_4		wh3_main_nur_nurglings_x1
