name	effect
#battle_misc_effects_tables;0;db/battle_misc_effects_tables/data__	
door_smash	
fire_misc	
incendiary_smoke	
land_on_building	wh_main_impact_large_rock
melee_dust_async_attack	wh_main_terrain_entity_move_small_rock
melee_dust_charge	wh_main_terrain_entity_move_large_rock
ping_look_at_vfx	tutorial_look_at_battle
ping_move_to_vfx	tutorial_move_to_battle
ping_select_vfx	tutorial_select_battle
splash_large	
splash_medium	
splash_small	
ui_bastion_marker	
ui_capture_point_captured	wh_main_capture_complete
ui_capture_point_capturing	wh_main_capture_point_gained
ui_capture_point_losing	wh_main_capture_point_lost
ui_capture_point_lost	
ui_disembark_marker	
ui_general_mouse_over	
ui_general_selection	
ui_heavy_mouse_over	
ui_heavy_selection	
ui_hidden_units	
ui_light_mouse_over	
ui_light_selection	
ui_medium_mouse_over	wh_main_ui_medium_selection
ui_medium_selection	wh_main_ui_medium_selection
ui_objectives_marker	
ui_out_of_control	wh2_main_ui_banner_rampage
ui_ping	tutorial_select
window_smash	
