region	capital_region
#elector_count_region_to_capital_region_junctions_tables;0;db/elector_count_region_to_capital_region_junctions_tables/data__	
wh3_dlc20_combi_region_krudenwald	wh3_main_combi_region_hergig
wh3_main_combi_region_aarnau	wh3_main_combi_region_marienburg
wh3_main_combi_region_altdorf	wh3_main_combi_region_altdorf
wh3_main_combi_region_averheim	wh3_main_combi_region_averheim
wh3_main_combi_region_bechafen	wh3_main_combi_region_bechafen
wh3_main_combi_region_carroburg	wh3_main_combi_region_middenheim
wh3_main_combi_region_castle_drakenhof	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_castle_templehof	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_castle_von_rauken	wh3_main_combi_region_wolfenburg
wh3_main_combi_region_dietershafen	wh3_main_combi_region_salzenmund
wh3_main_combi_region_dotternbach	wh3_main_combi_region_nuln
wh3_main_combi_region_eilhart	wh3_main_combi_region_altdorf
wh3_main_combi_region_eschen	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_essen	wh3_main_combi_region_bechafen
wh3_main_combi_region_flensburg	wh3_main_combi_region_wurtbad
wh3_main_combi_region_fort_bergbres	wh3_main_combi_region_marienburg
wh3_main_combi_region_fort_oberstyre	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_fort_soll	wh3_main_combi_region_pfeildorf
wh3_main_combi_region_gorssel	wh3_main_combi_region_marienburg
wh3_main_combi_region_grenzstadt	wh3_main_combi_region_averheim
wh3_main_combi_region_grunburg	wh3_main_combi_region_altdorf
wh3_main_combi_region_helmgart	wh3_main_combi_region_altdorf
wh3_main_combi_region_hergig	wh3_main_combi_region_hergig
wh3_main_combi_region_kappelburg	wh3_main_combi_region_talabheim
wh3_main_combi_region_kemperbad	wh3_main_combi_region_talabheim
wh3_main_combi_region_krugenheim	wh3_main_combi_region_talabheim
wh3_main_combi_region_laurelorn_forest	wh3_main_combi_region_salzenmund
wh3_main_combi_region_marienburg	wh3_main_combi_region_marienburg
wh3_main_combi_region_middenheim	wh3_main_combi_region_middenheim
wh3_main_combi_region_middenstag	wh3_main_combi_region_middenheim
wh3_main_combi_region_mordheim	wh3_main_combi_region_bechafen
wh3_main_combi_region_nagenhof	wh3_main_combi_region_bechafen
wh3_main_combi_region_niedling	wh3_main_combi_region_wurtbad
wh3_main_combi_region_norden	wh3_main_combi_region_wolfenburg
wh3_main_combi_region_nuln	wh3_main_combi_region_nuln
wh3_main_combi_region_salzenmund	wh3_main_combi_region_salzenmund
wh3_main_combi_region_swartzhafen	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_talabheim	wh3_main_combi_region_talabheim
wh3_main_combi_region_the_black_pit	wh3_main_combi_region_marienburg
wh3_main_combi_region_the_moot	wh3_main_combi_region_averheim
wh3_main_combi_region_ubersreik	wh3_main_combi_region_altdorf
wh3_main_combi_region_waldenhof	wh3_main_combi_region_castle_drakenhof
wh3_main_combi_region_weismund	wh3_main_combi_region_middenheim
wh3_main_combi_region_wissenburg	wh3_main_combi_region_nuln
wh3_main_combi_region_wolfenburg	wh3_main_combi_region_wolfenburg
wh3_main_combi_region_wreckers_point	wh3_main_combi_region_marienburg
wh3_main_combi_region_wurtbad	wh3_main_combi_region_wurtbad
