achievement_key	condition_key
#achievement_subculture_condition_junctions_tables;0;db/achievement_subculture_condition_junctions_tables/data__	
WH3_ACHIEVEMENT_CATHAY_OCCUPY_GREAT_BASTION	WH3_ACHIEVEMENT_CATHAY_OCCUPY_GREAT_BASTION
WH3_ACHIEVEMENT_CATHAY_OCCUPY_WEI_JIN	WH3_ACHIEVEMENT_CATHAY_OCCUPY_WEI_JIN
WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL	WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL
WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER	WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER
WH3_ACHIEVEMENT_KISLEV_OCCUPY_3_CITIES	WH3_ACHIEVEMENT_KISLEV_OCCUPY_3_CITIES
WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR	WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR
WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE	WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE
WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS	WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS
WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE	WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_CATHAY
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_CATHAY
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_1	WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_2	WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE
WH3_ACHIEVEMENT_WINNING_KHORNE_1	WH3_ACHIEVEMENT_WINNING_KHORNE
WH3_ACHIEVEMENT_WINNING_KHORNE_2	WH3_ACHIEVEMENT_WINNING_KHORNE
WH3_ACHIEVEMENT_WINNING_KISLEV_1	WH3_ACHIEVEMENT_WINNING_KISLEV
WH3_ACHIEVEMENT_WINNING_KISLEV_2	WH3_ACHIEVEMENT_WINNING_KISLEV
WH3_ACHIEVEMENT_WINNING_NURGLE_1	WH3_ACHIEVEMENT_WINNING_NURGLE
WH3_ACHIEVEMENT_WINNING_NURGLE_2	WH3_ACHIEVEMENT_WINNING_NURGLE
WH3_ACHIEVEMENT_WINNING_OGRES_1	WH3_ACHIEVEMENT_WINNING_OGRES
WH3_ACHIEVEMENT_WINNING_OGRES_2	WH3_ACHIEVEMENT_WINNING_OGRES
WH3_ACHIEVEMENT_WINNING_SLAANESH_1	WH3_ACHIEVEMENT_WINNING_SLAANESH
WH3_ACHIEVEMENT_WINNING_SLAANESH_2	WH3_ACHIEVEMENT_WINNING_SLAANESH
WH3_ACHIEVEMENT_WINNING_TZEENTCH_1	WH3_ACHIEVEMENT_WINNING_TZEENTCH
WH3_ACHIEVEMENT_WINNING_TZEENTCH_2	WH3_ACHIEVEMENT_WINNING_TZEENTCH
