battle_context_key	territory_status_key
#campaign_bonus_value_battle_context_territory_status_junctions_tables;0;db/campaign_bonus_value_battle_context_territory_status_junctions_tables/data__	
fighting_territory_allied	allied
fighting_territory_enemy_or_neutral_or_allied_army	allied
fighting_territory_enemy_or_neutral_or_allied_army	enemy
fighting_territory_enemy_or_neutral_or_allied_army	neutral
fighting_territory_foreign	allied
fighting_territory_foreign	enemy
fighting_territory_foreign	neutral
fighting_territory_own_or_allied	allied
fighting_territory_own_or_allied	own
fighting_territory_own	own
