key	campaign
#campaign_rogue_army_spawn_groups_tables;0;db/campaign_rogue_army_spawn_groups_tables/data__	
wh2_main_grand_rogue_spawn_badlands_east	wh3_main_combi
wh2_main_grand_rogue_spawn_badlands_north	wh3_main_combi
wh2_main_grand_rogue_spawn_badlands_west	wh3_main_combi
wh2_main_grand_rogue_spawn_istmus	wh3_main_combi
wh2_main_grand_rogue_spawn_lustria_east	wh3_main_combi
wh2_main_grand_rogue_spawn_lustria_north	wh3_main_combi
wh2_main_grand_rogue_spawn_lustria_west	wh3_main_combi
wh2_main_grand_rogue_spawn_naggaroth_central	wh3_main_combi
wh2_main_grand_rogue_spawn_naggaroth_north	wh3_main_combi
wh2_main_grand_rogue_spawn_naggaroth_south	wh3_main_combi
wh2_main_grand_rogue_spawn_norsca	wh3_main_combi
wh2_main_grand_rogue_spawn_oldworld_central	wh3_main_combi
wh2_main_grand_rogue_spawn_oldworld_east	wh3_main_combi
wh2_main_grand_rogue_spawn_oldworld_south	wh3_main_combi
wh2_main_grand_rogue_spawn_oldworld_west	wh3_main_combi
wh2_main_grand_rogue_spawn_southlands_central	wh3_main_combi
wh2_main_grand_rogue_spawn_southlands_east	wh3_main_combi
wh2_main_grand_rogue_spawn_southlands_west	wh3_main_combi
wh2_main_grand_rogue_spawn_ulthuan_central	wh3_main_combi
wh2_main_grand_rogue_spawn_ulthuan_east	wh3_main_combi
wh2_main_grand_rogue_spawn_ulthuan_west	wh3_main_combi
wh3_main_chaos_rogue_spawn_cathay	wh3_main_chaos
wh3_main_chaos_rogue_spawn_chaos_wastes	wh3_main_chaos
wh3_main_chaos_rogue_spawn_darklands	wh3_main_chaos
wh3_main_chaos_rogue_spawn_empire	wh3_main_chaos
wh3_main_chaos_rogue_spawn_kislev	wh3_main_chaos
wh3_main_chaos_rogue_spawn_norsca	wh3_main_chaos
wh3_main_chaos_rogue_spawn_ogres	wh3_main_chaos
