unit_set	subculture	cap
#unit_set_to_mp_unit_caps_tables;1;db/unit_set_to_mp_unit_caps_tables/data__		
mp_cap_group_360_degree_fire		6
mp_cap_group_chariots_warmachines		4
mp_cap_group_extended_roster		0
mp_cap_group_extended_roster_chaos_daemon_units	wh_main_sc_chs_chaos	0
mp_cap_group_extended_roster_chaos_marked_units	wh_main_sc_chs_chaos	4
mp_cap_group_extended_roster_rakarth_units	wh2_main_sc_def_dark_elves	0
mp_cap_group_extended_roster_vampire_counts	wh_main_sc_vmp_vampire_counts	0
mp_cap_group_flying_unit		6
mp_cap_group_heroes		2
mp_cap_group_joke_speed		1
mp_cap_group_missile_cav_chariots_warmachines		6
mp_cap_group_ranged_units		12
mp_cap_group_rare_single_entities		3
mp_cap_hero_ariel		1
mp_cap_hero_felix		1
mp_cap_hero_ghoritch		1
mp_cap_hero_gotrek		1
mp_cap_hero_green_knight		1
mp_cap_hero_henri_le_massif		1
mp_cap_hero_hertwig		1
mp_cap_hero_jorek		1
mp_cap_hero_kalara		1
mp_cap_hero_lord_kroak		1
mp_cap_hero_rodrik		1
mp_cap_unit_brt_art_blessed_field_trebuchet		4
mp_cap_unit_brt_art_field_trebuchet		4
mp_cap_unit_brt_cav_grail_guardians		3
mp_cap_unit_brt_cav_grail_knights		3
mp_cap_unit_brt_cav_hippogryph_knights		2
mp_cap_unit_brt_cav_knights_errant		4
mp_cap_unit_brt_cav_knights_errant_ror_0		1
mp_cap_unit_brt_cav_knights_of_the_realm		4
mp_cap_unit_brt_cav_knights_of_the_realm_ror_0		1
mp_cap_unit_brt_cav_mounted_yeomen_0		4
mp_cap_unit_brt_cav_mounted_yeomen_1		4
mp_cap_unit_brt_cav_mounted_yeomen_ror_0		1
mp_cap_unit_brt_cav_pegasus_knights		4
mp_cap_unit_brt_cav_questing_knights		4
mp_cap_unit_brt_cav_questing_knights_ror_0		1
mp_cap_unit_brt_cav_royal_pegasus_knights		3
mp_cap_unit_brt_inf_battle_pilgrims		5
mp_cap_unit_brt_inf_battle_pilgrims_ror_0		1
