deal_component	personality_component	is_player	peace_opponent_strength_modifier	last_stand_opponent_strength_modifier	war_opponent_strength_modifier	total_war_opponent_strength_modifier	tension_opponent_strength_modifier	peace_opponent_context_modifier	last_stand_opponent_context_modifier	war_opponent_context_modifier	total_war_opponent_context_modifier	tension_opponent_context_modifier
#cai_personality_deal_evaluation_deal_component_opponent_context_modifiers_tables;2;db/cai_personality_deal_evaluation_deal_component_opponent_context_modifiers_tables/data__												
WAR	wh3_deal_eval_beastmen	false	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0
WAR	wh3_deal_eval_beastmen	true	1.0	1.0	1.0	1.0	1.0	6.0	-1.0	0.0	0.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_beastmen_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_bretonnia_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_cathay_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
ULTIMATUM_ISSUING	wh3_deal_eval_chaos	false	1.0	1.0	1.0	1.0	1.0	10.0	-30.0	0.0	-10.0	5.0
WAR	wh3_deal_eval_chaos	false	1.0	1.0	1.0	1.0	1.0	0.0	-3.0	0.0	-1.0	0.0
WAR	wh3_deal_eval_chaos	true	1.0	1.0	1.0	1.0	1.0	4.0	-5.0	-1.0	-3.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_chaos_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_darkelf	false	1.0	1.0	1.0	1.0	1.0	0.0	-3.0	0.0	-1.0	0.0
WAR	wh3_deal_eval_darkelf	true	1.0	1.0	1.0	1.0	1.0	4.0	-5.0	-1.0	-3.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_darkelf_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
DEFENSIVE_ALLIANCE	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0
MILITARY_ACCESS	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NON_AGGRESSION_PACT	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	-50.0	-50.0	-50.0	-50.0	-50.0
PEACE	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0
TRADE_AGREEMENT	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
WAR	wh3_deal_eval_default	false	1.0	1.0	1.0	1.0	1.0	0.0	-6.0	0.0	-3.0	0.0
WAR	wh3_deal_eval_default	true	1.0	1.0	1.0	1.0	1.0	2.0	-9.0	-3.0	-6.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_dwarf_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_empire_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_greenskin	false	1.0	1.0	1.0	1.0	1.0	0.0	-3.0	0.0	-1.0	0.0
WAR	wh3_deal_eval_greenskin	true	1.0	1.0	1.0	1.0	1.0	4.0	-5.0	-1.0	-3.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_greenskin_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
