key	parent_set
#cai_personality_variable_sets_tables;1;db/cai_personality_variable_sets_tables/data__	
wh3_chaos_personality_variables_chaos	
wh3_chaos_personality_variables_chaos_easy	wh3_chaos_personality_variables_chaos
wh3_chaos_personality_variables_chaos_hard	wh3_chaos_personality_variables_chaos
wh3_chaos_personality_variables_chaos_legendary	wh3_chaos_personality_variables_chaos
wh3_chaos_personality_variables_chaos_vhard	wh3_chaos_personality_variables_chaos
wh3_chaos_personality_variables_default_easy	
wh3_chaos_personality_variables_default_hard	
wh3_chaos_personality_variables_default_legendary	
wh3_chaos_personality_variables_default_vhard	
wh3_chaos_personality_variables_ogre	
wh3_chaos_personality_variables_ogre_easy	wh3_chaos_personality_variables_ogre
wh3_chaos_personality_variables_ogre_hard	wh3_chaos_personality_variables_ogre
wh3_chaos_personality_variables_ogre_legendary	wh3_chaos_personality_variables_ogre
wh3_chaos_personality_variables_ogre_vhard	wh3_chaos_personality_variables_ogre
wh3_combi_personality_variables_chaos	wh3_combi_personality_variables_default
wh3_combi_personality_variables_chaos_easy	wh3_combi_personality_variables_chaos
wh3_combi_personality_variables_chaos_hard	wh3_combi_personality_variables_chaos
wh3_combi_personality_variables_chaos_legendary	wh3_combi_personality_variables_chaos
wh3_combi_personality_variables_chaos_vhard	wh3_combi_personality_variables_chaos
wh3_combi_personality_variables_default	
wh3_combi_personality_variables_default_easy	wh3_combi_personality_variables_default
wh3_combi_personality_variables_default_hard	wh3_combi_personality_variables_default
wh3_combi_personality_variables_default_legendary	wh3_combi_personality_variables_default
wh3_combi_personality_variables_default_vhard	wh3_combi_personality_variables_default
wh3_combi_personality_variables_ogre	wh3_combi_personality_variables_default
wh3_combi_personality_variables_ogre_easy	wh3_combi_personality_variables_ogre
wh3_combi_personality_variables_ogre_hard	wh3_combi_personality_variables_ogre
wh3_combi_personality_variables_ogre_legendary	wh3_combi_personality_variables_ogre
wh3_combi_personality_variables_ogre_vhard	wh3_combi_personality_variables_ogre
