campaign_statistic	campaign_statistic_category	statistic_order
#campaign_statistics_strings_tables;0;db/campaign_statistics_strings_tables/data__		
agents_assassinated	stat_cat_agents_actions	180
agents_failed_actions	stat_cat_agents_actions	140
agents_lost	stat_cat_agents_general	50
agents_recruited	stat_cat_agents_general	10
agents_successful_actions	stat_cat_agents_actions	100
agents_total_actions	stat_cat_agents_actions	90
completed_missions	stat_cat_empire	100
current_turn	stat_cat_general	10
diplomacy_allies_current	stat_cat_diplomacy	60
diplomacy_allies_max	stat_cat_diplomacy	70
diplomacy_trade_current	stat_cat_diplomacy	80
diplomacy_trade_max	stat_cat_diplomacy	90
diplomacy_war_current	stat_cat_diplomacy	40
diplomacy_war_max	stat_cat_diplomacy	50
diplomacy_war_total_declarations	stat_cat_diplomacy	50
economy_expenditure_current	stat_cat_economy_expenditure	90
economy_expenditure_max	stat_cat_economy_expenditure	100
economy_expenditure_total	stat_cat_economy_expenditure	80
economy_expenditure_total_construction	stat_cat_economy_expenditure	130
economy_expenditure_total_recruitment	stat_cat_economy_expenditure	110
economy_expenditure_total_upkeep	stat_cat_economy_expenditure	120
economy_income_current	stat_cat_economy_income	20
economy_income_max	stat_cat_economy_income	30
economy_income_total	stat_cat_economy_income	10
economy_income_total_foreign_slot_income	stat_cat_economy_income	90
economy_income_total_looting	stat_cat_economy_income	60
economy_income_total_military_force_income	stat_cat_economy_income	80
economy_income_total_raiding	stat_cat_economy_income	70
economy_income_total_tax	stat_cat_economy_income	40
economy_income_total_trade	stat_cat_economy_income	50
edicts_issued	stat_cat_empire	70
empire_buildings_constructed	stat_cat_empire	80
empire_factions_client_vassal	stat_cat_diplomacy	30
empire_factions_destroyed	stat_cat_diplomacy	20
empire_factions_encountered	stat_cat_diplomacy	10
empire_provinces_current	stat_cat_empire	50
empire_provinces_max	stat_cat_empire	60
empire_resources_total	stat_cat_empire	120
empire_resources_unique	stat_cat_empire	130
empire_settlements_captured	stat_cat_empire	30
empire_settlements_current	stat_cat_empire	10
empire_settlements_lost	stat_cat_empire	40
empire_settlements_max	stat_cat_empire	20
empire_technologies_all	stat_cat_empire	90
establish_foreign_slot	stat_cat_empire	45
military_battles_ambush	stat_cat_battles_general	160
military_battles_autoresolved	stat_cat_battles_general	120
military_battles_crushing_defeats	stat_cat_battles_defeats	380
military_battles_defeats	stat_cat_battles_defeats	280
military_battles_defeats_ambush	stat_cat_battles_defeats	320
military_battles_defeats_land	stat_cat_battles_defeats	290
military_battles_defeats_settlement	stat_cat_battles_defeats	360
military_battles_defeats_siege	stat_cat_battles_defeats	350
military_battles_defeats_subterranean_intercept	stat_cat_battles_defeats	370
military_battles_fought	stat_cat_battles_general	110
military_battles_heroic_victories	stat_cat_battles_victories	360
military_battles_land	stat_cat_battles_general	130
military_battles_settlement	stat_cat_battles_general	200
military_battles_siege	stat_cat_battles_general	190
military_battles_subterranean_intercept	stat_cat_battles_general	210
military_battles_total	stat_cat_battles_general	100
military_battles_victories	stat_cat_battles_victories	200
military_battles_victories_ambush	stat_cat_battles_victories	240
military_battles_victories_land	stat_cat_battles_victories	210
military_battles_victories_settlement	stat_cat_battles_victories	280
military_battles_victories_siege	stat_cat_battles_victories	270
military_battles_victories_subterranean_intercept	stat_cat_battles_victories	290
military_captives_enslaved	stat_cat_battles_aftermath	560
military_captives_executed	stat_cat_battles_aftermath	550
military_captives_released	stat_cat_battles_aftermath	540
military_forces_current	stat_cat_military_forces	20
military_forces_established	stat_cat_military_forces	10
military_forces_max	stat_cat_military_forces	30
military_generals_killed	stat_cat_military_units	470
military_generals_lost	stat_cat_military_units	480
military_generals_recruited	stat_cat_military_units	460
military_settlements_looted	stat_cat_battles_aftermath	410
military_settlements_occupied	stat_cat_battles_aftermath	400
military_settlements_raised	stat_cat_battles_aftermath	420
military_settlements_sacked	stat_cat_battles_aftermath	430
military_units_total_destroyed	stat_cat_military_units	520
military_units_total_lost	stat_cat_military_units	530
military_units_total_recruited	stat_cat_military_units	490
