key	distance	fov	phi	theta	target_x	target_y	target_z	environment_file
#unit_porthole_camera_settings_tables;2;db/unit_porthole_camera_settings_tables/data__								
bret_fay_enchantress	1.0	28.0	180.0	200.0	-0.1	1.48	0.0	Porthole/advisor/default_porthole.lighting
bst_centigor_40_degrees	2.9	28.0	180.0	210.0	-0.95	2.1	0.0	Porthole/advisor/default_porthole.lighting
bst_cygor	6.0	28.0	210.0	190.0	-1.2	8.2	0.0	Porthole/advisor/default_porthole.lighting
bst_doombull	2.6	28.0	190.0	195.0	-0.17000002	2.6	0.0	Porthole/advisor/default_porthole.lighting
bst_general	0.8999999	28.0	190.0	195.0	-0.060000002	1.75	0.0	Porthole/advisor/default_porthole.lighting
bst_ghorgon	7.0	28.0	210.0	190.0	-0.6	7.0	0.0	Porthole/advisor/default_porthole.lighting
bst_gor_15	0.8999999	28.0	180.0	195.0	-0.060000002	1.7	0.0	Porthole/advisor/default_porthole.lighting
bst_gor_30	0.92	28.0	180.0	210.0	-0.13	1.7	0.0	Porthole/advisor/default_porthole.lighting
bst_gorebull	1.7	28.0	190.0	195.0	-0.17000002	2.5	0.0	Porthole/advisor/default_porthole.lighting
bst_jabberslythe	7.7	28.0	170.0	190.0	-0.2	3.6	0.0	Porthole/advisor/default_porthole.lighting
bst_manticore	5.4	28.0	170.0	190.0	-0.5	0.6	0.0	Porthole/advisor/default_porthole.lighting
bst_minotaur_15	2.7	28.0	190.0	195.0	-0.15	2.5	0.0	Porthole/advisor/default_porthole.lighting
bst_morghur	0.8999999	28.0	180.0	200.0	-0.1	1.7	0.0	Porthole/advisor/default_porthole.lighting
bst_razorgor_herd	3.5	28.0	190.0	210.0	-0.8999999	1.1	0.0	Porthole/advisor/default_porthole.lighting
bst_taurox	1.9	28.0	190.0	195.0	-0.17000002	2.6	0.0	Porthole/advisor/default_porthole.lighting
bst_ungor_15	0.8	28.0	180.0	195.0	-0.050000004	1.38	0.0	Porthole/advisor/default_porthole.lighting
chaos_chariot	8.0	28.0	150.0	230.0	0.0	1.0	0.0	Porthole/advisor/default_porthole.lighting
chaos_dragon_ogre	3.3	28.0	190.0	200.0	-0.5	3.7	0.0	Porthole/advisor/default_porthole.lighting
chaos_gorebeast_chariot	8.0	28.0	150.0	230.0	0.0	1.0	0.0	Porthole/advisor/default_porthole.lighting
chaos_kholek_suneater	3.5	28.0	190.0	200.0	-0.5199999	3.72	0.0	Porthole/advisor/default_porthole.lighting
chaos_lord	1.1	28.0	190.0	195.0	0.1	1.65	0.0	Porthole/advisor/default_porthole.lighting
chaos_spawn	5.5	28.0	190.0	200.0	-0.4	2.7	0.0	Porthole/advisor/default_porthole.lighting
chaos_warrior_15_degrees	1.0	28.0	180.0	195.0	0.1	1.6	0.0	Porthole/advisor/default_porthole.lighting
chaos_warrior_30_degrees	1.2	28.0	180.0	210.0	0.050000004	1.58	0.0	Porthole/advisor/default_porthole.lighting
chaos_warrior_45_degrees	1.0	28.0	180.0	225.0	0.050000004	1.6	0.0	Porthole/advisor/default_porthole.lighting
chaos_warrior_hellscourges	1.3	28.0	180.0	200.0	0.04	1.6	0.0	Porthole/advisor/default_porthole.lighting
chs_archaon	1.2	28.0	190.0	195.0	0.0	1.68	0.0	Porthole/advisor/default_porthole.lighting
chs_azazel	1.1	28.0	190.0	195.0	-0.030000001	1.7	0.0	Porthole/advisor/default_porthole.lighting
chs_cavalry	4.2	28.0	200.0	200.0	-0.45	2.3	0.0	Porthole/advisor/default_porthole.lighting
chs_festus	2.6	28.0	190.0	185.0	-0.1	2.3599997	0.0	Porthole/advisor/default_porthole.lighting
chs_lord_of_change	3.5	28.0	180.0	200.0	-0.75	3.1499999	0.0	Porthole/advisor/default_porthole.lighting
chs_valkia	1.1	28.0	190.0	195.0	-0.02	1.6	0.0	Porthole/advisor/default_porthole.lighting
chs_vilitch	2.2	28.0	193.0	210.0	-0.33	1.8499999	0.0	Porthole/advisor/default_porthole.lighting
chs_warshrine	15.0	28.0	190.0	210.0	-0.2	4.8	0.0	Porthole/advisor/default_porthole.lighting
cst_animated_hulks	4.0	28.0	180.0	200.0	-0.3	2.7	0.0	Porthole/advisor/default_porthole.lighting
cst_aranessa	1.3	28.0	180.0	200.0	-0.15	1.4499999	0.0	Porthole/advisor/default_porthole.lighting
cst_bloated_corpse	2.2	28.0	180.0	210.0	-0.35	2.6	0.0	Porthole/advisor/default_porthole.lighting
cst_carronade	5.0	28.0	190.0	210.0	-0.7	1.4	0.0	Porthole/advisor/default_porthole.lighting
cst_cylostra	0.8	28.0	180.0	200.0	-0.050000004	1.9800001	0.0	Porthole/advisor/default_porthole.lighting
cst_mortar	3.0	28.0	160.0	200.0	0.050000004	1.3	0.0	Porthole/advisor/default_porthole.lighting
cst_mournguls	3.0	28.0	180.0	200.0	0.8999999	4.3	0.0	Porthole/advisor/default_porthole.lighting
cst_necrofex	10.0	28.0	190.0	210.0	-0.7	10.0	0.0	Porthole/advisor/default_porthole.lighting
cst_queen_bess	19.0	28.0	180.0	210.0	-3.5	8.2	0.0	Porthole/advisor/default_porthole.lighting
cst_rotting_leviathon	4.0	28.0	180.0	195.0	-0.2	1.6	0.0	Porthole/advisor/default_porthole.lighting
cst_rotting_prometheans	6.0	28.0	180.0	190.0	-0.1	1.6	0.0	Porthole/advisor/default_porthole.lighting
cst_zombie_deckhands	1.0	28.0	180.0	200.0	0.0	1.5	0.0	Porthole/advisor/default_porthole.lighting
cth_cannon	7.0	28.0	170.0	215.0	-0.1	1.7	0.0	Porthole/advisor/default_porthole.lighting
cth_crane_gunners	0.3	28.0	185.0	175.0	-0.060000002	1.3599999	0.0	Porthole/advisor/default_porthole.lighting
cth_dragon	20.0	28.0	180.0	180.0	0.0	4.5	0.0	Porthole/advisor/default_porthole.lighting
cth_dragon_guard	0.8999999	28.0	190.0	180.0	0.0	1.6	0.0	Porthole/advisor/default_porthole.lighting
cth_dragon_guard_crossbow	0.99	28.0	190.0	180.0	0.030000001	1.6	0.0	Porthole/advisor/default_porthole.lighting
cth_general_dragon	0.8999999	28.0	190.0	180.0	0.0	1.54	0.0	Porthole/advisor/default_porthole.lighting
cth_general_foot	0.8999999	28.0	180.0	180.0	0.030000001	1.58	0.0	Porthole/advisor/default_porthole.lighting
cth_iron_hail_gunners	0.8999999	28.0	180.0	185.0	0.02	1.53	0.0	Porthole/advisor/default_porthole.lighting
cth_jade_warrior_0	0.8	28.0	165.0	182.0	0.0	1.6	0.0	Porthole/advisor/default_porthole.lighting
cth_jade_warrior_1	0.99	28.0	180.0	180.0	0.060000002	1.58	0.0	Porthole/advisor/default_porthole.lighting
cth_jade_warrior_crossbow	0.99	28.0	180.0	180.0	0.030000001	1.58	0.0	Porthole/advisor/default_porthole.lighting
cth_peasant_archers	0.99	28.0	180.0	180.0	0.030000001	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
cth_peasant_spearmen	0.8999999	28.0	180.0	185.0	0.060000002	1.53	0.0	Porthole/advisor/default_porthole.lighting
