key	content_pack
#ownership_content_pack_requirements_tables;0;db/ownership_content_pack_requirements_tables/data__	
wh1_base_game_req	wh1_base_game
wh1_beastmen_req	wh1_beastmen
wh1_bretonnia_free_req	wh1_bretonnia_free
wh1_chaos_req	wh1_chaos
wh1_grey_wizard_free_req	wh1_grey_wizard_free
wh1_grombrindal_req	wh1_grombrindal
wh1_isabella_free_req	wh1_isabella_free
wh1_jade_wizard_free_req	wh1_jade_wizard_free
wh1_krell_free_req	wh1_krell_free
wh1_lords_and_units_1_req	wh1_lords_and_units_1
wh1_lords_and_units_2_free_req	wh1_lords_and_units_2_free
wh1_lords_and_units_2_req	wh1_lords_and_units_2
wh1_norsca_req	wh1_norsca
wh1_regiments_of_renown_free_req	wh1_regiments_of_renown_free
wh1_wood_elves_req	wh1_wood_elves
wh2_amethyst_wizard_free_req	wh2_amethyst_wizard_free
wh2_base_game_req	wh2_base_game
wh2_black_orc_big_boss_free_req	wh2_black_orc_big_boss_free
wh2_bone_giant_free_req	wh2_bone_giant_free
wh2_dlc10_alith_anar_free_req	wh2_dlc10_alith_anar_free
wh2_dlc10_queen_crone_req	wh2_dlc10_queen_crone
wh2_dlc11_lokhir_free_req	wh2_dlc11_lokhir_free
wh2_dlc11_vampire_coast_req	wh2_dlc11_vampire_coast
wh2_dlc12_prophet_req	wh2_dlc12_prophet
wh2_dlc12_tiktaqto_free_req	wh2_dlc12_tiktaqto_free
wh2_dlc13_gor_rok_free_req	wh2_dlc13_gor_rok_free
wh2_dlc13_hunter_req	wh2_dlc13_hunter
wh2_dlc14_repanse_free_req	wh2_dlc14_repanse_free
wh2_dlc14_shadow_req	wh2_dlc14_shadow
wh2_dlc15_imrik_free_req	wh2_dlc15_imrik_free
wh2_dlc15_warden_req	wh2_dlc15_warden
wh2_dlc16_chieftan_free_req	wh2_dlc16_chieftan_free
wh2_dlc16_twilight_req	wh2_dlc16_twilight
wh2_dlc17_silence_req	wh2_dlc17_silence
wh2_dlc17_thorek_free_req	wh2_dlc17_thorek_free
wh2_glade_captain_twilight_req	wh2_glade_captain
wh2_glade_captain_wood_elves_req	wh2_glade_captain
wh2_gotek_felix_req	wh2_gotek_felix
wh2_great_bray_shaman_beastmen_req	wh2_great_bray_shaman
wh2_great_bray_shaman_silence_req	wh2_great_bray_shaman
wh2_rakarth_req	wh2_rakarth
wh2_spider_shrine_req	wh2_spider_shrine
wh2_tomb_kings_req	wh2_tomb_kings
wh2_tretch_free_req	wh2_tretch_free
wh3_dlc20_champions_req	wh3_dlc20_champions
wh3_dlc20_chaos_warriors_free_req	wh3_dlc20_chaos_warriors_free
wh3_immortal_empires_campaign_req	wh3_immortal_empires_campaign
wh3_ogre_kingdoms_req	wh3_ogre_kingdoms
