key	battle_sound_event_start	battle_sound_event_stop	campaign_sound_event_start	campaign_sound_event_stop	average_position	tracked	scale	reverb	max_distance	group_sound
#audio_vfx_sounds_tables;0;db/audio_vfx_sounds_tables/data__										
EMPTY_SOUND_RECORD					false	false	false	false	0.0000	
Magic_Persistent_Corpse_Cart	BAT_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Play	BAT_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Stop			false	true	false	false	40.0000	
Magic_Persistent_Generic_Weapon_Glow_Cam			Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Start	Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Stop	false	true	false	false	30.0000	
Magic_Persistent_Ghorst_Corpse_Cart_Cam			CAM_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Play	CAM_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Stop	false	true	false	false	30.0000	
Magic_Persistent_Volkmar_Hammer_Cam			Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Start	Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Stop	false	true	false	false	30.0000	
VFX_Environment_Battle_Lizardmen_Stone_Tower_Lightning	Battle_Environment_Lizardmen_Stone_Tower_Lightning_Play	Battle_Environment_Lizardmen_Stone_Tower_Lightning_Stop			false	true	false	false	400.0000	
VFX_Environment_Battle_Prop_Hef_Star_Particle	Battle_Environment_Magic_High_Elves_Star_Start	Battle_Environment_Magic_High_Elves_Star_Stop			false	true	false	false	100.0000	
VFX_Environment_Battle_Prop_Lizardmen_Pyramid_Beam	Battle_Environment_Lizardmen_Beam_Large_Start	Battle_Environment_Lizardmen_Beam_Large_Stop			false	true	false	true	550.0000	
VFX_Environment_Battle_Prop_Purple_Fire	Battle_Environment_Element_Purple_Fire_Start	Battle_Environment_Element_Purple_Fire_Stop			false	true	false	true	100.0000	
VFX_Environment_Campaign_Generic_Attrition			Campaign_Environment_Generic_Attrition_Play	Campaign_Environment_Generic_Attrition_Stop	false	true	false	false	25.0000	
VFX_Environment_Campaign_Generic_Shroud_Lightning			Campaign_Environment_Generic_Shroud_Lightning_VFX		false	true	false	true	100.0000	
VFX_Environment_Campaign_Generic_Shroud_Swirls			Campaign_Environment_Generic_Shroud_Magic_Swirls_VFX		false	true	false	true	100.0000	
VFX_Environment_Campaign_Lzd_Swamp_Fire			Campaign_Environment_Generic_Swamp_Fire_Start	Campaign_Environment_Generic_Swamp_Fire_Stop	false	true	false	true	30.0000	
VFX_Environment_Campaign_WEF_Invasion_Marker			Cam_Env_Wood_Elves_Invasion_Marker_VFX_Loop_Play	Cam_Env_Wood_Elves_Invasion_Marker_VFX_Loop_Stop	false	true	false	false	20.0000	
VFX_Environment_Corruption_Vmp_Encircling_Ghosts			Cam_Env_Corruption_Vamp_Encircling_Ghost_Oneshot		false	true	false	false	20.0000	
VFX_Environment_Element_Winds_Of_Magic_Light			Campaign_Environment_Element_Winds_Of_Magic_Light_Play	Campaign_Environment_Element_Winds_Of_Magic_Light_Stop	false	true	false	false	20.0000	
VFX_Environment_Element_Winds_Of_Magic_Medium			Campaign_Environment_Element_Winds_Of_Magic_Medium_Play	Campaign_Environment_Element_Winds_Of_Magic_Medium_Stop	false	true	false	false	20.0000	
VFX_Environment_Element_Winds_Of_Magic_Strong			Campaign_Environment_Element_Winds_Of_Magic_Strong_Play	Campaign_Environment_Element_Winds_Of_Magic_Strong_Stop	false	true	false	true	20.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Death			CAM_IND_Magic_Persistent_DLC20_Death_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Death_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Fire			CAM_IND_Magic_Persistent_DLC20_Fire_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Fire_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Metal			CAM_IND_Magic_Persistent_DLC20_Metal_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Metal_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Nurgle			CAM_IND_Magic_Persistent_DLC20_Nur_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Nur_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Shadow			CAM_IND_Magic_Persistent_DLC20_Shadow_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Shadow_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Slaanesh			CAM_IND_Magic_Persistent_DLC20_Sla_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Sla_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
VFX_Magic_Persistent_Chaos_Sorcerer_Tzeentch			CAM_IND_Magic_Persistent_DLC20_Tze_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Tze_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000	
