banner	effect_bundle
#banners_tables;1;db/banners_tables/data__	
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_bundle_anc_magic_standard_banner_of_the_hidden_dead
wh2_dlc09_banner_magic_standard_standard_of_the_undying_legion	wh2_dlc09_bundle_anc_magic_standard_standard_of_the_undying_legion
wh2_dlc10_banner_magic_standard_banner_of_avelorn	wh2_dlc10_bundle_anc_magic_standard_banner_of_avelorn
wh2_dlc11_banner_magic_standard_bloodied_banner_of_slayers	wh2_dlc11_bundle_anc_magic_standard_bloodied_banner_of_slayers
wh2_dlc11_banner_magic_standard_boatswain	wh2_dlc11_bundle_anc_magic_standard_boatswain
wh2_dlc11_banner_magic_standard_burnt_banner_of_knights	wh2_dlc11_bundle_anc_magic_standard_burnt_banner_of_knights
wh2_dlc11_banner_magic_standard_corpse_surgeon	wh2_dlc11_bundle_anc_magic_standard_corpse_surgeon
wh2_dlc11_banner_magic_standard_dead_mans_chest	wh2_dlc11_bundle_anc_magic_standard_dead_mans_chest
wh2_dlc11_banner_magic_standard_holed_banner_of_militia	wh2_dlc11_bundle_anc_magic_standard_holed_banner_of_militia
wh2_dlc11_banner_magic_standard_rookie_gunner	wh2_dlc11_bundle_anc_magic_standard_rookie_gunner
wh2_dlc11_banner_magic_standard_ships_colors	wh2_dlc11_bundle_anc_magic_standard_ships_colors
wh2_dlc11_banner_magic_standard_skull_and_crossbones	wh2_dlc11_bundle_anc_magic_standard_skull_and_crossbones
wh2_dlc11_banner_magic_standard_spell_of_the_necromancers_apprentice	wh2_dlc11_bundle_anc_magic_standard_spell_of_the_necromancers_apprentice
wh2_dlc11_banner_magic_standard_throwing_bombs	wh2_dlc11_bundle_anc_magic_standard_throwing_bombs
wh2_dlc11_banner_magic_standard_torn_banner_of_pilgrims	wh2_dlc11_bundle_anc_magic_standard_torn_banner_of_pilgrims
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_bundle_anc_magic_standard_tracer_rounds
wh2_dlc12_banner_magic_standard_cape_of_sniper	wh2_dlc12_bundle_anc_magic_standard_cape_of_sniper
wh2_dlc12_banner_magic_standard_coatlpelt_flagstaff	wh2_dlc12_bundle_anc_magic_standard_coatlpelt_flagstaff
wh2_dlc12_banner_magic_standard_culchan_feathered_standard	wh2_dlc12_bundle_anc_magic_standard_culchan_feathered_standard
wh2_dlc12_banner_magic_standard_exalted_banner_of_xapati	wh2_dlc12_bundle_anc_magic_standard_exalted_banner_of_xapati
wh2_dlc12_banner_magic_standard_flag_of_the_daystar	wh2_dlc12_bundle_anc_magic_standard_flag_of_the_daystar
wh2_dlc12_banner_magic_standard_incendiary_rounds	wh2_dlc12_bundle_anc_magic_standard_incendiary_rounds
wh2_dlc12_banner_magic_standard_shroud_of_chaqua	wh2_dlc12_bundle_anc_magic_standard_shroud_of_chaqua
wh2_dlc12_banner_magic_standard_sign_of_the_coiled_one	wh2_dlc12_bundle_anc_magic_standard_sign_of_the_coiled_one
wh2_dlc12_banner_magic_standard_totem_of_the_spitting_viper	wh2_dlc12_bundle_anc_magic_standard_totem_of_the_spitting_viper
wh2_dlc12_banner_magic_standard_totem_pole_of_destiny	wh2_dlc12_bundle_anc_magic_standard_totem_pole_of_destiny
wh2_dlc14_anc_banner_jean_claude_sartre	wh2_dlc14_bundle_banner_jean_claude_sartre
wh2_dlc14_anc_banner_pierre_darden	wh2_dlc14_bundle_banner_pierre_darden
wh2_dlc14_anc_banner_rene_de_cartes	wh2_dlc14_bundle_banner_rene_de_cartes
wh2_dlc14_anc_follower_malus_bruglir	wh2_dlc14_anc_follower_malus_bruglir
wh2_dlc14_anc_follower_malus_hathan_gul	wh2_dlc14_anc_follower_malus_hathan_gul
wh2_dlc14_anc_follower_malus_lhunara	wh2_dlc14_anc_follower_malus_lhunara
wh2_dlc14_anc_follower_malus_silar	wh2_dlc14_anc_follower_malus_silar
wh2_dlc15_anc_magic_standard_blacktoofs_head_in_a_jar	wh2_dlc15_anc_magic_standard_blacktoofs_head_in_a_jar
wh2_dlc17_anc_banner_bst_banner_of_ghorok	wh2_dlc17_anc_banner_bst_banner_of_ghorok
wh2_dlc17_anc_banner_bst_banner_of_madness	wh2_dlc17_anc_banner_bst_banner_of_madness
wh2_dlc17_anc_banner_bst_banner_of_unholy_exultation	wh2_dlc17_anc_banner_bst_banner_of_unholy_exultation
wh2_dlc17_anc_banner_lzd_poison_daemonbane	wh2_dlc17_anc_banner_lzd_poison_daemonbane
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin
wh2_dlc17_anc_banner_lzd_poison_slow_death	wh2_dlc17_anc_banner_lzd_poison_slow_death
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	wh2_dlc17_anc_banner_lzd_poison_toadskin_essence
wh2_dlc17_anc_blessing_of_filth_banner	wh2_dlc17_anc_blessing_of_filth_banner
wh2_dlc17_anc_blessing_of_mania_banner	wh2_dlc17_anc_blessing_of_mania_banner
wh2_dlc17_anc_blessing_of_trickery_banner	wh2_dlc17_anc_blessing_of_trickery_banner
wh2_dlc17_anc_dread_retainer_fimir_banner	wh2_dlc17_anc_dread_retainer_fimir_banner
wh2_dlc17_anc_dread_retainer_skinwolf_banner	wh2_dlc17_anc_dread_retainer_skinwolf_banner
wh2_dlc17_anc_dread_retainer_troll_banner	wh2_dlc17_anc_dread_retainer_troll_banner
wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking	wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking
wh2_dlc17_anc_rune_engineering_master_rune_of_disguise	wh2_dlc17_anc_rune_engineering_master_rune_of_disguise
wh2_dlc17_anc_rune_engineering_master_rune_of_immolation	wh2_dlc17_anc_rune_engineering_master_rune_of_immolation
wh2_dlc17_anc_rune_engineering_rune_of_burning	wh2_dlc17_anc_rune_engineering_rune_of_burning
wh2_dlc17_anc_rune_engineering_rune_of_penetration	wh2_dlc17_anc_rune_engineering_rune_of_penetration
wh2_dlc17_dummy_banner	wh2_dlc17_empty_bundle
wh2_main_banner_magic_standard_banner_of_ellyrion	wh2_main_bundle_anc_magic_standard_banner_of_ellyrion
wh2_main_banner_magic_standard_banner_of_murder	wh2_main_bundle_anc_magic_standard_banner_of_murder
wh2_main_banner_magic_standard_banner_of_the_under_empire	wh2_main_bundle_anc_magic_standard_banner_of_the_under_empire
wh2_main_banner_magic_standard_banner_of_the_world_dragon	wh2_main_bundle_anc_magic_standard_banner_of_the_world_dragon
wh2_main_banner_magic_standard_banner_of_verminous_scurrying	wh2_main_bundle_anc_magic_standard_banner_of_verminous_scurrying
wh2_main_banner_magic_standard_battle_banner	wh2_main_bundle_anc_magic_standard_battle_banner
wh2_main_banner_magic_standard_dread_banner	wh2_main_bundle_anc_magic_standard_dread_banner
wh2_main_banner_magic_standard_dwarf_hide_banner	wh2_main_bundle_anc_magic_standard_dwarf_hide_banner
wh2_main_banner_magic_standard_grand_banner_of_clan_superiority	wh2_main_bundle_anc_magic_standard_grand_banner_of_clan_superiority
wh2_main_banner_magic_standard_horn_of_isha	wh2_main_bundle_anc_magic_standard_horn_of_isha
wh2_main_banner_magic_standard_huanchis_blessed_totem	wh2_main_bundle_anc_magic_standard_huanchis_blessed_totem
wh2_main_banner_magic_standard_hydra_banner	wh2_main_bundle_anc_magic_standard_hydra_banner
wh2_main_banner_magic_standard_lion_standard	wh2_main_bundle_anc_magic_standard_lion_standard
wh2_main_banner_magic_standard_sacred_banner_of_the_horned_rat	wh2_main_bundle_anc_magic_standard_sacred_banner_of_the_horned_rat
wh2_main_banner_magic_standard_sea_serpent_standard	wh2_main_bundle_anc_magic_standard_sea_serpent_standard
wh2_main_banner_magic_standard_shroud_of_dripping_death	wh2_main_bundle_anc_magic_standard_shroud_of_dripping_death
wh2_main_banner_magic_standard_skavenpelt_banner	wh2_main_bundle_anc_magic_standard_skavenpelt_banner
wh2_main_banner_magic_standard_standard_of_hag_graef	wh2_main_bundle_anc_magic_standard_standard_of_hag_graef
wh2_main_banner_magic_standard_storm_banner	wh2_main_bundle_anc_magic_standard_storm_banner
wh2_main_banner_magic_standard_sun_standard_of_chotec	wh2_main_bundle_anc_magic_standard_sun_standard_of_chotec
wh2_main_banner_magic_standard_sunburst_standard_of_hexoatl	wh2_main_bundle_anc_magic_standard_sunburst_standard_of_hexoatl
wh2_main_banner_magic_standard_the_blood_banner	wh2_main_bundle_anc_magic_standard_the_blood_banner
wh2_main_banner_magic_standard_the_jaguar_standard	wh2_main_bundle_anc_magic_standard_the_jaguar_standard
wh2_main_banner_magic_standard_totem_of_prophecy	wh2_main_bundle_anc_magic_standard_totem_of_prophecy
wh3_main_anc_magic_standard_banner_of_the_moon_empress	wh3_main_bundle_anc_magic_standard_banner_of_the_moon_empress
wh3_main_anc_magic_standard_bastion_standard	wh3_main_bundle_anc_magic_standard_bastion_standard
wh3_main_anc_magic_standard_flag_of_grand_cathay	wh3_main_bundle_anc_magic_standard_flag_of_grand_cathay
wh3_main_anc_magic_standard_revered_banner_of_the_ancestors	wh3_main_bundle_anc_magic_standard_revered_banner_of_the_ancestors
wh3_main_anc_magic_standard_serene_cloud_prayer_flag	wh3_main_bundle_anc_magic_standard_serene_cloud_prayer_flag
wh3_main_anc_magic_standard_standard_of_nan_gau	wh3_main_bundle_anc_magic_standard_standard_of_nan_gau
wh3_main_anc_magic_standard_standard_of_shang_yang	wh3_main_bundle_anc_magic_standard_standard_of_shang_yang
wh3_main_anc_magic_standard_standard_of_wei_jin	wh3_main_bundle_anc_magic_standard_standard_of_wei_jin
wh3_main_banner_magic_standard_banner_of_change	wh3_main_bundle_anc_magic_standard_banner_of_change
wh3_main_banner_magic_standard_banner_of_ecstacy	wh3_main_bundle_anc_magic_standard_banner_of_ecstacy
wh3_main_banner_magic_standard_banner_of_feng_shi	wh3_main_bundle_anc_magic_standard_banner_of_feng_shi
wh3_main_banner_magic_standard_banner_of_hellfire	wh3_main_bundle_anc_magic_standard_banner_of_hellfire
wh3_main_banner_magic_standard_banner_of_praag	wh3_main_bundle_anc_magic_standard_banner_of_praag
wh3_main_banner_magic_standard_banner_of_the_empress_eye	wh3_main_bundle_anc_magic_standard_banner_of_the_empress_eye
wh3_main_banner_magic_standard_banner_of_the_orthodoxy	wh3_main_bundle_anc_magic_standard_banner_of_the_orthodoxy
wh3_main_banner_magic_standard_banner_of_unholy_victory	wh3_main_bundle_anc_magic_standard_banner_of_unholy_victory
wh3_main_banner_magic_standard_blood_feasters_banner	wh3_main_bundle_anc_magic_standard_blood_feasters_banner
wh3_main_banner_magic_standard_bull_standard	wh3_main_bundle_anc_magic_standard_bull_standard
wh3_main_banner_magic_standard_cannibal_totem	wh3_main_bundle_anc_magic_standard_cannibal_totem
wh3_main_banner_magic_standard_dragonhide_banner	wh3_main_bundle_anc_magic_standard_dragonhide_banner
