battle_set_piece_army	effect_bundle
#battle_set_piece_armies_effect_bundles_tables;0;db/battle_set_piece_armies_effect_bundles_tables/data__	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_defender	wh2_dlc09_bundle_quest_battle_full_hide
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_bundle_tmb_final_battle_army_abilities_battle_supply
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_nuke_ability_enable
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_qb_ikit_enable_storm_daemon
wh2_dlc14_qb_def_malus_final_battle_snikch_enemy	wh2_dlc14_final_battle_ability_summon_snikch_enable
wh2_dlc15_hef_imrik_black_dragon_stage_1_dragon	wh2_dlc15_bundle_blood_frenzy
wh2_dlc15_hef_imrik_black_dragon_stage_1_dragon	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_forest_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_moon_dragon_stage_1_reinforcement_1	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1_reinforcement_2	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_star_dragon_stage_1_reinforcements_1	wh2_dlc15_bundle_primal_rage
wh2_dlc15_hef_imrik_star_dragon_stage_1	wh2_dlc15_bundle_primal_rage
wh2_dlc15_hef_imrik_star_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
