pool_name	pool_min_distance	pool_max_distance	pool_id
#audio_entity_focus_pools_tables;2;db/audio_entity_focus_pools_tables/data__			
animated_hulk_pool	5.0	35.0	355733082
bastiladon_pool	10.0	100.0	678423222
bloodthirster_pool	10.0	100.0	877907292
dragon_pool	10.0	100.0	824927796
dread_saurian_pool	10.0	150.0	1152636830
eagle_pool	10.0	100.0	105505831
elemental_bear_pool	10.0	150.0	1695769092
giants_pool	10.0	100.0	567330009
hydra_pool	10.0	100.0	1005504554
keeper_pool	10.0	100.0	1301855912
kroxigor_pool	10.0	35.0	1019462669
necrofex_pool	10.0	100.0	1597971604
no_pool	0.0	0.0	2115244306
phoenix_pool	10.0	100.0	2061411983
steggadon_pool	10.0	100.0	222870963
stonehorn_pool	10.0	100.0	627679241
terracotta_pool	10.0	100.0	2141054118
troglodon_pool	10.0	100.0	436470142
wh3_rot_flies_pool	10.0	130.0	1128886366
wh3_sould_grinder_pool	10.0	130.0	386677849
wm_dlc15_pump_wagons	10.0	45.0	285935242
wm_gyrocopter_medium_pool	10.0	100.0	2087368810
wm_metal_chariot	10.0	45.0	834987930
wm_metal_large_pool	10.0	150.0	2116545015
wm_metal_medium_pool	10.0	100.0	320512704
wm_metal_small_pool	10.0	45.0	1831076898
wm_wood_chariot	10.0	45.0	1918691930
wm_wood_large_pool	10.0	150.0	1393283237
wm_wood_medium_pool	10.0	100.0	2114289637
wm_wood_small_pool	10.0	45.0	1505486205
