force_type	primary_slot_template	primary_slot_type	secondary_slot_template	secondary_slot_type
#military_force_type_horde_details_tables;0;db/military_force_type_horde_details_tables/data__				
CHARACTER_BOUND_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary
HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary
HORDE_KHAZRAK	horde_primary	horde_primary	horde_secondary	horde_secondary
HORDE_MALAGOR	horde_primary	horde_primary	horde_secondary	horde_secondary
HORDE_MORGHUR	horde_primary	horde_primary	horde_secondary	horde_secondary
HORDE_TAUROX	horde_primary	horde_primary	horde_secondary	horde_secondary
NAKAI_BOUND_HORDE	nakai_horde_primary	horde_primary	nakai_horde_secondary	horde_secondary
NAVAL_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary
OGRE_CAMP	horde_primary	horde_primary	horde_secondary	horde_secondary
SEA_LOCKED_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary
SPECIALIST_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary
