faction	ownership_content_pack
#faction_ownership_content_pack_junctions_tables;0;db/faction_ownership_content_pack_junctions_tables/data__	
wh2_dlc09_skv_clan_rictus	wh2_tretch_free
wh2_dlc09_tmb_dune_kingdoms	wh2_tomb_kings
wh2_dlc09_tmb_exiles_of_nehek	wh2_tomb_kings
wh2_dlc09_tmb_followers_of_nagash	wh2_tomb_kings
wh2_dlc09_tmb_khemri	wh2_tomb_kings
wh2_dlc09_tmb_lybaras	wh2_tomb_kings
wh2_dlc09_tmb_numas	wh2_tomb_kings
wh2_dlc09_tmb_rakaph_dynasty	wh2_tomb_kings
wh2_dlc09_tmb_the_sentinels	wh2_tomb_kings
wh2_dlc09_tmb_tomb_kings	wh2_tomb_kings
wh2_dlc11_cst_noctilus	wh2_dlc11_vampire_coast
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_vampire_coast
wh2_dlc11_cst_the_drowned	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast	wh2_dlc11_vampire_coast
wh2_dlc11_def_the_blessed_dread	wh2_dlc11_lokhir_free
wh2_dlc11_vmp_the_barrow_legion	wh1_base_game
wh2_dlc12_grn_leaf_cutterz_tribe	wh1_base_game
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_prophet
wh2_dlc12_skv_clan_fester	wh2_base_game
wh2_dlc12_skv_clan_mange	wh2_base_game
wh2_dlc13_emp_golden_order	wh1_base_game
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_hunter
wh2_dlc13_lzd_defenders_of_the_great_plan	wh2_base_game
wh2_dlc13_lzd_spirits_of_the_jungle	wh2_dlc13_hunter
wh2_dlc13_skv_skaven_invasion	wh2_base_game
wh2_dlc13_wef_laurelorn_forest	wh1_wood_elves
wh2_dlc14_brt_chevaliers_de_lyonesse	wh2_dlc14_repanse_free
wh2_dlc14_grn_red_cloud	wh1_base_game
wh2_dlc14_skv_rictus_clan_nest	wh2_base_game
wh2_dlc15_grn_bonerattlaz	wh1_base_game
wh2_dlc15_grn_broken_axe	wh2_dlc15_warden
wh2_dlc15_hef_imrik	wh2_dlc15_imrik_free
wh2_dlc16_wef_drycha	wh1_wood_elves
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_twilight
wh2_dlc17_bst_malagor	wh1_beastmen
wh2_dlc17_bst_taurox	wh2_dlc17_silence
wh2_dlc17_dwf_thorek_ironbrow	wh2_dlc17_thorek_free
wh2_dlc17_lzd_oxyotl	wh2_dlc17_silence
wh2_main_brt_knights_of_origo	wh1_bretonnia_free
wh2_main_brt_knights_of_the_flame	wh1_bretonnia_free
wh2_main_brt_thegans_crusaders	wh1_bretonnia_free
wh2_main_bst_blooded_axe	wh1_beastmen
wh2_main_bst_manblight	wh1_beastmen
wh2_main_bst_ripper_horn	wh1_beastmen
wh2_main_bst_shadowgor	wh1_beastmen
wh2_main_bst_skrinderkin	wh1_beastmen
wh2_main_bst_stone_horn	wh1_beastmen
wh2_main_def_bleak_holds	wh2_base_game
wh2_main_def_blood_hall_coven	wh2_base_game
wh2_main_def_clar_karond	wh2_base_game
wh2_main_def_cult_of_excess	wh2_base_game
wh2_main_def_cult_of_pleasure	wh2_base_game
wh2_main_def_dark_elves	wh2_base_game
wh2_main_def_deadwood_sentinels	wh2_base_game
wh2_main_def_drackla_coven	wh2_base_game
wh2_main_def_ghrond	wh2_base_game
wh2_main_def_hag_graef	wh2_dlc14_shadow
wh2_main_def_har_ganeth	wh2_dlc10_queen_crone
wh2_main_def_karond_kar	wh2_base_game
wh2_main_def_naggarond	wh2_base_game
wh2_main_def_scourge_of_khaine	wh2_base_game
wh2_main_def_ssildra_tor	wh2_base_game
wh2_main_def_the_forgebound	wh2_base_game
wh2_main_dwf_greybeards_prospectors	wh1_base_game
wh2_main_dwf_karak_zorn	wh1_base_game
wh2_main_dwf_spine_of_sotek_dwarfs	wh1_base_game
wh2_main_grn_arachnos	wh1_base_game
wh2_main_hef_avelorn	wh2_dlc10_queen_crone
wh2_main_hef_caledor	wh2_base_game
wh2_main_hef_chrace	wh2_base_game
wh2_main_hef_citadel_of_dusk	wh2_base_game
wh2_main_hef_cothique	wh2_base_game
wh2_main_hef_eataine	wh2_base_game
wh2_main_hef_ellyrion	wh2_base_game
wh2_main_hef_fortress_of_dawn	wh2_base_game
wh2_main_hef_high_elves	wh2_base_game
wh2_main_hef_nagarythe	wh2_dlc10_alith_anar_free
wh2_main_hef_order_of_loremasters	wh2_base_game
wh2_main_hef_saphery	wh2_base_game
wh2_main_hef_tiranoc	wh2_base_game
wh2_main_hef_tor_elasor	wh2_base_game
wh2_main_hef_yvresse	wh2_dlc15_warden
wh2_main_lzd_hexoatl	wh2_base_game
