unit	unit_list
#unit_to_unit_list_junctions_tables;0;db/unit_to_unit_list_junctions_tables/data__	
wh2_dlc10_def_mon_feral_manticore_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc10_def_mon_kharibdyss_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc14_def_mon_bloodwrack_medusa_0	wh2_dlc14_ritual_def_warmaster
wh2_main_def_cav_cold_one_knights_0	wh2_dlc14_ritual_def_warmaster
wh2_main_def_cav_cold_one_knights_1	wh2_dlc14_ritual_def_warmaster
wh2_main_def_mon_black_dragon	wh2_dlc14_ritual_def_warmaster
wh2_main_def_mon_war_hydra	wh2_dlc14_ritual_def_warmaster
wh2_main_lzd_mon_bastiladon_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_carnosaur_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_stegadon_0	wh2_main_ritual_lzd_primeval_glory
wh_dlc08_nor_inf_marauder_hunters_0	wh3_dlc20_nor_vassal_army
wh_main_nor_cav_marauder_horsemen_0	wh3_dlc20_nor_vassal_army
wh_main_nor_cav_marauder_horsemen_1	wh3_dlc20_nor_vassal_army
wh_main_nor_inf_chaos_marauders_0	wh3_dlc20_nor_vassal_army
wh_main_nor_inf_chaos_marauders_1	wh3_dlc20_nor_vassal_army
wh_main_nor_mon_chaos_trolls	wh3_dlc20_nor_vassal_army
wh_main_nor_mon_chaos_warhounds_1	wh3_dlc20_nor_vassal_army
wh3_main_ogr_inf_gnoblars_0	wh3_main_ogr_camp
wh3_main_ogr_inf_ogres_0	wh3_main_ogr_camp
wh3_main_sla_cav_hellstriders_0	wh3_main_sla_disciple_army
wh3_main_sla_cav_hellstriders_1	wh3_main_sla_disciple_army
wh3_main_sla_cav_seekers_of_slaanesh_0	wh3_main_sla_disciple_army
wh3_main_sla_inf_marauders_0	wh3_main_sla_disciple_army
wh3_main_sla_inf_marauders_1	wh3_main_sla_disciple_army
wh3_main_sla_inf_marauders_2	wh3_main_sla_disciple_army
wh3_main_sla_veh_seeker_chariot_0	wh3_main_sla_disciple_army
