modifier_type	source_type	FIXME
#battle_currency_modifiers_to_source_types_tables;0;db/battle_currency_modifiers_to_source_types_tables/data__		
Campaign_buildings	base_income_over_time	false
Capture_point_Enemy_starting_point_held	holding_major_victory_points	false
Capture_point_Number_held	holding_major_victory_points	false
Capture_point_key_building_a_Time_held	holding_key_building_a_points	false
Capture_point_key_building_b_Time_held	holding_key_building_b_points	false
Capture_point_major_Time_held	holding_major_victory_points	false
Capture_point_minor_Time_held	holding_minor_victory_points	false
Capture_point_score_Time_held	holding_score_points	false
Losing_compensation	losing_compensation	false
Settlements_Ticket_score	holding_key_building_a_points	false
Settlements_Ticket_score	holding_key_building_b_points	false
Settlements_Ticket_score	holding_major_victory_points	false
Survival_Gates_unlocked	base_income_over_time	false
Survival_Gates_unlocked	hp_damage_inflicted	false
Survival_Wave_reached	base_income_over_time	false
Unit_count_Units_on_battlefield_(player_own)	base_income_over_time	false
Unit_size_setting	damage_taken	false
Unit_size_setting	kills	false
