usage_group	additive_mod	multiplier
#autoresolver_ai_usage_group_combat_potential_modifiers_tables;0;db/autoresolver_ai_usage_group_combat_potential_modifiers_tables/data__		
flying_hybrid_highvalue	1000.0	1.0
flying_melee	0.0	1.0
flying_melee_flanker	0.0	1.0
flying_melee_flanker_shock	0.0	1.0
flying_melee_flanker_shock_highvalue	1000.0	1.0
flying_melee_highvalue	1000.0	1.0
flying_melee_mage_highvalue	1000.0	1.0
flying_melee_shock_highvalue	1000.0	1.0
flying_melee_shock_mage_highvalue	1000.0	1.0
flying_ranged_flanker	0.0	1.0
flying_ranged_harasser_flanker	0.0	1.0
flying_ranged_harasser_flanker_highvalue	1000.0	1.0
gyrocopter	0.0	1.0
hybrid	0.0	1.0
hybrid_cav_highvalue	1000.0	1.0
hybrid_flanker_shock_harasser	0.0	1.0
hybrid_flanker_shock_harasser_highvalue	1000.0	1.0
hybrid_gatecrusher	0.0	1.0
hybrid_gatecrusher_highvalue	1000.0	1.0
hybrid_highvalue	1000.0	1.0
hybrid_lowvalue	0.0	0.2
mage	1000.0	1.0
mage_flanker_highvalue	1000.0	1.0
mage_highvalue	1000.0	1.0
mage_stalkers_highvalue	1000.0	1.0
melee	0.0	0.75
melee_anti_large	0.0	0.75
melee_cav	0.0	1.0
melee_cav_shock	0.0	0.85
melee_cav_shock_highvalue	1000.0	1.0
melee_flanker	0.0	1.0
melee_flanker_shock	0.0	1.0
melee_flanker_shock_highvalue	1000.0	1.0
melee_gatecrusher	0.0	0.75
melee_gatecrusher_flanker_shock	0.0	0.75
melee_gatecrusher_highvalue	1000.0	1.0
melee_gatecrusher_shock	0.0	0.75
melee_gatecrusher_support	0.0	0.75
melee_highvalue	1000.0	1.0
melee_lowvalue	0.0	0.2
melee_mage	1000.0	1.0
melee_mage_highvalue	1000.0	1.0
melee_stalkers	0.0	1.0
ranged	0.0	1.0
ranged_cav	0.0	1.0
ranged_cav_harasser	0.0	1.0
ranged_cav_highvalue	1000.0	1.0
ranged_direct	1000.0	1.0
ranged_direct_arty	1000.0	1.0
ranged_direct_cav	0.0	1.0
ranged_direct_flanker	0.0	1.0
ranged_direct_flanker_harasser	0.0	1.0
ranged_direct_gatecrusher	0.0	1.0
ranged_direct_highvalue	1000.0	1.0
ranged_direct_no_skirmish	0.0	1.0
ranged_flanker	0.0	1.0
ranged_harasser	0.0	1.0
ranged_harasser_flanker	0.0	1.0
ranged_harasser_highvalue	1000.0	1.0
ranged_highvalue	1000.0	1.0
ranged_indirect_arty	1000.0	1.0
ranged_no_skirmish	0.0	1.0
ranged_no_skirmish_gatecrusher	1000.0	1.0
ranged_stalkers	0.0	1.0
ranged_stalkers_direct	0.0	1.0
ranged_stalkers_flanker	0.0	1.0
ranged_stalkers_flanker_harasser	0.0	1.0
ranged_stalkers_harasser	0.0	1.0
ranged_stalkers_harasser_flanker	0.0	1.0
ranged_stalkers_harasser_highvalue	1000.0	1.0
ranged_stalkers_no_skirmish	0.0	1.0
