product	requirement_set
#ownership_content_pack_required_products_tables;0;db/ownership_content_pack_required_products_tables/data__	
TW_WH1_BASE_GAME	wh1_base_game_req
TW_WH2_BASE_GAME	wh1_base_game_req
TW_WH1_BASE_GAME	wh1_beastmen_req
TW_WH1_BEASTMEN	wh1_beastmen_req
TW_WH2_BASE_GAME	wh1_beastmen_req
TW_WH1_BASE_GAME	wh1_bretonnia_free_req
TW_WH1_BRETONNIA_FREE	wh1_bretonnia_free_req
TW_WH2_BASE_GAME	wh1_bretonnia_free_req
TW_WH1_BASE_GAME	wh1_chaos_req
TW_WH1_CHAOS	wh1_chaos_req
TW_WH2_BASE_GAME	wh1_chaos_req
TW_WH1_BASE_GAME	wh1_grey_wizard_free_req
TW_WH1_GREY_WIZARD_FREE	wh1_grey_wizard_free_req
TW_WH2_BASE_GAME	wh1_grey_wizard_free_req
TW_WH1_BASE_GAME	wh1_grombrindal_req
TW_WH1_GROMBRINDAL	wh1_grombrindal_req
TW_WH2_BASE_GAME	wh1_grombrindal_req
TW_WH1_BASE_GAME	wh1_isabella_free_req
TW_WH1_ISABELLA_FREE	wh1_isabella_free_req
TW_WH2_BASE_GAME	wh1_isabella_free_req
TW_WH1_BASE_GAME	wh1_jade_wizard_free_req
TW_WH1_JADE_WIZARD_FREE	wh1_jade_wizard_free_req
TW_WH2_BASE_GAME	wh1_jade_wizard_free_req
TW_WH1_BASE_GAME	wh1_krell_free_req
TW_WH1_KRELL_FREE	wh1_krell_free_req
TW_WH2_BASE_GAME	wh1_krell_free_req
TW_WH1_BASE_GAME	wh1_lords_and_units_1_req
TW_WH1_LORDS_AND_UNITS_1	wh1_lords_and_units_1_req
TW_WH2_BASE_GAME	wh1_lords_and_units_1_req
TW_WH1_BASE_GAME	wh1_lords_and_units_2_free_req
TW_WH1_LORDS_AND_UNITS_2_FREE	wh1_lords_and_units_2_free_req
TW_WH2_BASE_GAME	wh1_lords_and_units_2_free_req
TW_WH1_BASE_GAME	wh1_lords_and_units_2_req
TW_WH1_LORDS_AND_UNITS_2	wh1_lords_and_units_2_req
TW_WH2_BASE_GAME	wh1_lords_and_units_2_req
TW_WH1_BASE_GAME	wh1_norsca_req
TW_WH1_NORSCA	wh1_norsca_req
TW_WH2_BASE_GAME	wh1_norsca_req
TW_WH1_BASE_GAME	wh1_regiments_of_renown_free_req
TW_WH1_REGIMENTS_OF_RENOWN_FREE	wh1_regiments_of_renown_free_req
TW_WH2_BASE_GAME	wh1_regiments_of_renown_free_req
TW_WH1_BASE_GAME	wh1_wood_elves_req
TW_WH1_WOOD_ELVES	wh1_wood_elves_req
TW_WH2_BASE_GAME	wh1_wood_elves_req
TW_WH1_BASE_GAME	wh2_amethyst_wizard_free_req
TW_WH2_AMETHYST_WIZARD_FREE	wh2_amethyst_wizard_free_req
TW_WH2_BASE_GAME	wh2_amethyst_wizard_free_req
TW_WH1_BASE_GAME	wh2_base_game_req
TW_WH2_BASE_GAME	wh2_base_game_req
TW_WH1_BASE_GAME	wh2_black_orc_big_boss_free_req
TW_WH2_BASE_GAME	wh2_black_orc_big_boss_free_req
TW_WH2_BLACK_ORC_BIG_BOSS_FREE	wh2_black_orc_big_boss_free_req
TW_WH1_BASE_GAME	wh2_bone_giant_free_req
TW_WH2_BASE_GAME	wh2_bone_giant_free_req
TW_WH2_BONE_GIANT_FREE	wh2_bone_giant_free_req
TW_WH2_TOMB_KINGS	wh2_bone_giant_free_req
TW_WH1_BASE_GAME	wh2_dlc10_alith_anar_free_req
TW_WH2_BASE_GAME	wh2_dlc10_alith_anar_free_req
TW_WH2_DLC10_ALITH_ANAR_FREE	wh2_dlc10_alith_anar_free_req
TW_WH1_BASE_GAME	wh2_dlc10_queen_crone_req
TW_WH2_BASE_GAME	wh2_dlc10_queen_crone_req
TW_WH2_DLC10_QUEEN_CRONE	wh2_dlc10_queen_crone_req
TW_WH1_BASE_GAME	wh2_dlc11_lokhir_free_req
TW_WH2_BASE_GAME	wh2_dlc11_lokhir_free_req
TW_WH2_DLC11_LOKHIR_FREE	wh2_dlc11_lokhir_free_req
TW_WH1_BASE_GAME	wh2_dlc11_vampire_coast_req
TW_WH2_BASE_GAME	wh2_dlc11_vampire_coast_req
TW_WH2_DLC11_VAMPIRE_COAST	wh2_dlc11_vampire_coast_req
TW_WH1_BASE_GAME	wh2_dlc12_prophet_req
TW_WH2_BASE_GAME	wh2_dlc12_prophet_req
TW_WH2_DLC12_PROPHET	wh2_dlc12_prophet_req
TW_WH1_BASE_GAME	wh2_dlc12_tiktaqto_free_req
