agent_subtype	armory_item_category_set
#armory_item_category_set_to_agent_subtype_junctions_tables;0;db/armory_item_category_set_to_agent_subtype_junctions_tables/data__	
wh3_main_dae_daemon_prince_khorne_fe	generic
wh3_main_dae_daemon_prince_nurgle_fe	generic
wh3_main_dae_daemon_prince_slaanesh_fe	generic
wh3_main_dae_daemon_prince_tzeentch_fe	generic
wh3_survival_kho_cha_daemon_prince_of_khorne	generic
wh3_survival_nur_cha_daemon_prince_of_nurgle	generic
wh3_survival_sla_cha_daemon_prince_of_slaanesh	generic
wh3_survival_tze_cha_daemon_prince_of_tzeentch	generic
wh3_main_dae_daemon_prince_khorne_fe	khorne
wh3_survival_kho_cha_daemon_prince_of_khorne	khorne
wh3_main_dae_daemon_prince_nurgle_fe	nurgle
wh3_survival_nur_cha_daemon_prince_of_nurgle	nurgle
wh3_main_dae_daemon_prince_slaanesh_fe	slaanesh
wh3_survival_sla_cha_daemon_prince_of_slaanesh	slaanesh
wh3_main_dae_daemon_prince_tzeentch_fe	tzeentch
wh3_survival_tze_cha_daemon_prince_of_tzeentch	tzeentch
wh3_main_dae_daemon_prince_khorne_fe	weapon_1_handed
wh3_main_dae_daemon_prince_nurgle_fe	weapon_1_handed
wh3_main_dae_daemon_prince_slaanesh_fe	weapon_1_handed
wh3_main_dae_daemon_prince_tzeentch_fe	weapon_1_handed
wh3_survival_kho_cha_daemon_prince_of_khorne	weapon_1_handed
wh3_survival_nur_cha_daemon_prince_of_nurgle	weapon_1_handed
wh3_survival_sla_cha_daemon_prince_of_slaanesh	weapon_1_handed
wh3_survival_tze_cha_daemon_prince_of_tzeentch	weapon_1_handed
wh3_main_dae_daemon_prince_khorne_fe	weapon_2_handed
wh3_main_dae_daemon_prince_nurgle_fe	weapon_2_handed
wh3_main_dae_daemon_prince_slaanesh_fe	weapon_2_handed
wh3_main_dae_daemon_prince_tzeentch_fe	weapon_2_handed
wh3_survival_kho_cha_daemon_prince_of_khorne	weapon_2_handed
wh3_survival_nur_cha_daemon_prince_of_nurgle	weapon_2_handed
wh3_survival_sla_cha_daemon_prince_of_slaanesh	weapon_2_handed
wh3_survival_tze_cha_daemon_prince_of_tzeentch	weapon_2_handed
wh3_main_dae_daemon_prince_khorne_fe	weapon_shield
wh3_main_dae_daemon_prince_nurgle_fe	weapon_shield
wh3_main_dae_daemon_prince_slaanesh_fe	weapon_shield
wh3_main_dae_daemon_prince_tzeentch_fe	weapon_shield
wh3_survival_kho_cha_daemon_prince_of_khorne	weapon_shield
wh3_survival_nur_cha_daemon_prince_of_nurgle	weapon_shield
wh3_survival_sla_cha_daemon_prince_of_slaanesh	weapon_shield
wh3_survival_tze_cha_daemon_prince_of_tzeentch	weapon_shield
