unit	unit_pool	weight
#transported_military_force_unit_pool_entries_tables;0;db/transported_military_force_unit_pool_entries_tables/data__		
wh2_dlc15_grn_mon_wyvern_waaagh_0	grn_faction_boost_pool_faction_azagh	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_faction_azagh	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_faction_azagh	5
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_faction_azagh	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_faction_azagh	4
wh_main_grn_inf_black_orcs	grn_faction_boost_pool_faction_grimgor	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_faction_grimgor	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_faction_grimgor	5
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_faction_grimgor	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_faction_grimgor	4
wh2_dlc15_grn_mon_river_trolls_0	grn_faction_boost_pool_faction_grom	1
wh2_dlc15_grn_mon_stone_trolls_0	grn_faction_boost_pool_faction_grom	1
wh2_dlc15_grn_veh_snotling_pump_wagon_0	grn_faction_boost_pool_faction_grom	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_faction_grom	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_faction_grom	5
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_faction_grom	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_faction_grom	4
wh_main_grn_art_doom_diver_catapult	grn_faction_boost_pool_faction_skarsnik	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_faction_skarsnik	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_faction_skarsnik	5
wh_main_grn_inf_night_goblin_fanatics_1	grn_faction_boost_pool_faction_skarsnik	1
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_faction_skarsnik	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_faction_skarsnik	4
wh_main_grn_cav_savage_orc_boar_boy_big_uns	grn_faction_boost_pool_faction_wurzagh	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_faction_wurzagh	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_faction_wurzagh	5
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_faction_wurzagh	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_faction_wurzagh	4
wh_main_grn_inf_savage_orc_big_uns	grn_faction_boost_pool_faction_wurzagh	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_generic	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_generic	5
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_bastonne	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_bastonne	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_bastonne	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_bastonne	4
wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	grn_faction_boost_pool_province_black_mountains	1
wh_dlc06_grn_inf_squig_explosive_0	grn_faction_boost_pool_province_black_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_black_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_black_mountains	4
wh_main_grn_inf_night_goblin_archers	grn_faction_boost_pool_province_black_mountains	2
wh_main_grn_inf_night_goblins	grn_faction_boost_pool_province_black_mountains	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_black_mountains	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_blightwater	2
wh2_dlc15_grn_mon_wyvern_waaagh_0	grn_faction_boost_pool_province_blightwater	1
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_blightwater	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_blightwater	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_blightwater	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_blightwater	3
wh_main_grn_cav_goblin_wolf_chariot	grn_faction_boost_pool_province_blood_river_valley	1
wh_main_grn_cav_goblin_wolf_riders_0	grn_faction_boost_pool_province_blood_river_valley	2
wh_main_grn_cav_goblin_wolf_riders_1	grn_faction_boost_pool_province_blood_river_valley	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_blood_river_valley	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_blood_river_valley	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_blood_river_valley	3
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_caledor	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_caledor	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_caledor	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_caledor	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_caledor	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_carcassonne	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_carcassonne	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_carcassonne	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_carcassonne	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_coast_of_lyonesse	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_coast_of_lyonesse	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_coast_of_lyonesse	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_coast_of_lyonesse	4
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_death_pass	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_death_pass	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_death_pass	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_death_pass	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_death_pass	3
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_doom_glades	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_doom_glades	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_doom_glades	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_doom_glades	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_eastern_oblast	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_eastern_oblast	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_eastern_oblast	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_eastern_oblast	3
wh_main_grn_mon_trolls	grn_faction_boost_pool_province_eastern_oblast	2
wh_main_grn_cav_forest_goblin_spider_riders_0	grn_faction_boost_pool_province_forest_of_arden	2
wh_main_grn_cav_forest_goblin_spider_riders_1	grn_faction_boost_pool_province_forest_of_arden	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_forest_of_arden	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_forest_of_arden	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_forest_of_arden	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_forest_of_chalons	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_forest_of_chalons	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_forest_of_chalons	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_forest_of_chalons	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_generic	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_generic	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_generic	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_generic	4
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_gianthome_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_gianthome_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_gianthome_mountains	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_gianthome_mountains	3
wh_main_grn_cav_forest_goblin_spider_riders_0	grn_faction_boost_pool_province_gnoblar_country	2
wh_main_grn_cav_forest_goblin_spider_riders_1	grn_faction_boost_pool_province_gnoblar_country	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_gnoblar_country	2
