key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/data__																																																						
wh2_dlc09_skv_cha_tretch_craventail	10	wh2_main_heavy_metal_90	2100	inf_melee	40	com	wh2_dlc09_unit_long_text_skv_cha_tretch_craventail	hu17_craventail_spear_and_fork	wh2_dlc09_skv_infantry_fast_hero_tretch_craventail	40	70	65	4280		0	wh2_dlc09_skv_cha_tretch_craventail		1	none	wh2_dlc09_unit_short_text_skv_cha_tretch_craventail	wh_main_infantry	trained			true	40.0	1500.0	wh2_dlc09_skv_cha_tretch_craventail_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
wh2_dlc09_tmb_art_casket_of_souls_0	10	wh2_main_bone_80	2100	war_machine	8	chariot	wh2_dlc09_tmb_art_casket_of_souls	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_skeleton	20	14	60	3952		0	wh2_dlc09_tmb_sword	wh2_dlc09_tmb_casket_of_souls	1	none	wh2_dlc09_tmb_art_casket_of_souls	wh_main_monster	trained		wh2_dlc09_tmb_veh_casket_of_souls	true	40.0	1500.0	wh2_dlc09_tmb_art_casket_of_souls_0_attributes	60	80	0	vo_sel_vampire_corpse_cart	vo_sel_melee	vo_sel_culture	1.0	large	0	20	0	0	1	0	15	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_cav		
wh2_dlc09_tmb_art_screaming_skull_catapult_0	10	wh2_main_bone_20	2100	artillery	5	art_fld	wh2_dlc09_tmb_art_screaming_skull_catapult	hu1_tomb_skeleton_sword	wh2_dlc16_tmb_skeleton_crew	10	6	40	48		0	wh2_dlc09_tmb_sword_short		5	none	wh2_dlc09_tmb_art_screaming_skull_catapult	wh_main_artillery	trained		wh2_dlc09_tmb_art_screaming_skull_catapult	true	40.0	1500.0	wh2_dlc09_tmb_art_screaming_skull_catapult_0_attributes	60	80	0	vo_sel_bretonnian_field_trebuchet	vo_sel_artillery	vo_sel_culture	1.0	small	0	22	0	0	4	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		dwf_grudge_thrower
wh2_dlc09_tmb_cav_hexwraiths	10	wh_main_body_0	2100	cavalry	46	cav_mel	wh_main_unit_long_text_vmp_hexwraiths	hu1_vampire_counts_hr1_warhorse_scythe	wh3_main_arkhan_tmb_cavalry_rider_standard_ethereal	34	25	40	108	wh_main_vmp_mnt_skeletal_steed_hexwraiths	60	wh3_main_tmb_scythe_hexwraith		4	none	wh_main_unit_short_text_vmp_hexwraiths	wh_main_cavalry_very_chaotic	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_hexwraiths_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	ethereal	0	0	0	15	0	55	0	8	melee_flanker	false	false	false	false	medium	medium	domination_cav		
wh2_dlc09_tmb_cav_necropolis_knights_0	10	wh2_main_bone_110	2100	cavalry	52	cav_shk	wh2_dlc09_tmb_cav_necropolis_knights	hu1_tomb_sn1_serpent_spear_and_shield	wh2_dlc09_tmb_skeleton	40	43	60	295	wh2_dlc09_tmb_mnt_necroserpent	24	wh2_dlc09_tmb_necropolis_knights_lance		2	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_necropolis_knights	wh2_dlc09_necroserpents	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_necropolis_knights_0_attributes	60	80	0	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav		
wh2_dlc09_tmb_cav_necropolis_knights_1	10	wh2_main_bone_110	2100	cavalry	40	cav_shk	wh2_dlc09_tmb_cav_necropolis_knights	hu1_tomb_sn1_serpent_spear	wh2_dlc09_tmb_skeleton	32	37	60	295	wh2_dlc09_tmb_mnt_necroserpent	24	wh2_dlc09_tmb_necropolis_knights_halberd		2	none	wh2_dlc09_tmb_cav_necropolis_knights_halberd	wh2_dlc09_necroserpents	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_necropolis_knights_1_attributes	60	80	0	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav		
wh2_dlc09_tmb_cav_necropolis_knights_ror	10	wh2_main_bone_110	2100	cavalry	74	cav_shk	wh2_dlc09_tmb_cav_necropolis_knights	hu1_tomb_sn1_serpent_spear_and_shield	wh2_dlc09_tmb_skeleton	55	56	75	424	wh2_dlc09_tmb_mnt_necroserpent_ror	24	wh2_dlc09_tmb_necropolis_knights_lance		2	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_necropolis_knights_ror	wh2_dlc09_necroserpents	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_necropolis_knights_ror_attributes	60	80	0	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav		
wh2_dlc09_tmb_cav_nehekhara_horsemen_0	10	wh2_main_bone_50	2100	cavalry	26	cav_mel	wh2_dlc09_tmb_cav_nehekhara_horsemen	hu1_tomb_hr1_tomb_steed_sword_and_shield	wh2_dlc09_tmb_skeleton	28	34	50	98	wh2_dlc09_tmb_mnt_tomb_steed_nehekhara_horsemen	60	wh2_dlc09_tmb_sword_nehekhara_horsemen		4	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_nehekhara_horsemen	wh_main_cavalry_chaotic	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_nehekhara_horsemen_0_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	10	wh2_main_bone_80	2100	cavalry	50	cav_mel	wh2_dlc09_tmb_cav_nehekhara_horsemen	hu1_tomb_hr1_tomb_steed_sword_and_shield	wh2_dlc09_tmb_skeleton	43	52	65	147	wh2_dlc09_tmb_mnt_tomb_steed_ror	60	wh2_dlc09_tmb_sword_nehekhara_horsemen		4	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	wh_main_cavalry_chaotic	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
wh2_dlc09_tmb_cav_skeleton_horsemen_0	10	wh2_main_bone_30	2100	cavalry	34	cav_mel	wh2_dlc09_tmb_cav_skeleton_horsemen	hu1_tomb_hr1_tomb_steed_spear_and_shield	wh2_dlc09_tmb_skeleton	24	26	45	73	wh2_dlc09_tmb_mnt_tomb_steed	60	wh2_dlc09_tmb_cavalry_spear		4	wh_missile_block_30_wood	wh2_dlc09_tmb_cav_skeleton_horsemen	wh_main_cavalry_chaotic	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_skeleton_horsemen_0_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	10	wh2_main_bone_30	2100	cavalry	25	cav_mis	wh2_dlc09_tmb_cav_skeleton_horsemen_archers	hu1_tomb_hr1_tomb_steed_sword_and_bow	wh2_dlc09_tmb_skeleton_missile_mounted	20	22	45	70	wh2_dlc09_tmb_mnt_tomb_steed	60	wh2_dlc09_tmb_sword_short	wh2_dlc09_tmb_bow_horse	4	none	wh2_dlc09_tmb_cav_skeleton_horsemen_archers	wh_main_cavalry_chaotic	trained			true	40.0	1500.0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	18	0	0	0	0	0	0	ranged_harasser_flanker	true	false	false	false	low	low	domination_cav		
wh2_dlc09_tmb_cha_arkhan_0	10	wh2_main_plate_90	2100	inf_melee	12	com	wh2_dlc09_tmb_cha_arkhan	hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	50	75	4832		0	wh2_dlc09_tmb_sword_hero_lord		1	none	wh2_dlc09_tmb_cha_arkhan	wh_main_infantry	trained			true	40.0	1500.0	wh2_dlc09_tmb_cha_arkhan_0_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	small	0	0	-15	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
wh2_dlc09_tmb_cha_arkhan_1	10	wh2_main_plate_90	2100	cavalry	32	com	wh2_dlc09_tmb_cha_arkhan	hu1_tomb_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	50	75	5232	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_sword_hero_lord		1	none	wh2_dlc09_tmb_cha_arkhan	wh_main_monstrous_cavalry	trained			true	40.0	1500.0	wh2_dlc09_tmb_cha_arkhan_1_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large	0	0	-15	0	0	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters		
wh2_dlc09_tmb_cha_arkhan_2	10	wh2_main_plate_110	2100	war_machine	75	com	wh2_dlc09_tmb_cha_arkhan	hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	30	36	75	5588	wh2_dlc09_tmb_mnt_arkhan_tomb_steed_chariot	2	wh2_dlc09_tmb_chariot_lord		1	none	wh2_dlc09_tmb_cha_arkhan	wh_main_chariot	trained	wh2_dlc09_tmb_chariot_arkhan	wh2_dlc09_tmb_chariot_arkhan	true	40.0	1500.0	wh2_dlc09_tmb_cha_arkhan_2_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large_bst	0	0	-15	0	1	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters		
wh2_dlc09_tmb_cha_khalida_0	10	wh2_main_bone_55	2100	inf_melee	70	com	wh2_dlc09_tmb_cha_khalida	hu1b_khalida_staff_and_sword	wh2_dlc09_tmb_skeleton_khalida	65	60	80	5315		0	wh2_dlc09_tmb_staff_khalida		1	none	wh2_dlc09_tmb_cha_khalida	wh_main_infantry	trained			false	40.0	1500.0	wh2_dlc09_tmb_cha_khalida_0_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	small	0	0	-15	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
wh2_dlc09_tmb_cha_khalida_1	10	wh2_main_bone_110	2100	cavalry	70	com	wh2_dlc09_tmb_cha_khalida	hu1b_khalida_sn1_serpent_staff_and_sword	wh2_dlc09_tmb_skeleton_khalida	65	60	80	5927	wh2_dlc09_tmb_mnt_necroserpent_khalida	1	wh2_dlc09_tmb_necroserpent_khalida		1	none	wh2_dlc09_tmb_cha_khalida	wh_main_monstrous_cavalry	trained			true	40.0	1500.0	wh2_dlc09_tmb_cha_khalida_1_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large	0	0	-15	0	0	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters		
