key	value
#_kv_key_buildings_tables;0;db/_kv_key_buildings_tables/data__	
domination_capture_point_time_lock	120.0
fort_tower_fire_arc	90.0
fort_tower_fire_frequency_large	1.5
fort_tower_fire_frequency_medium	2.0
fort_tower_fire_frequency_small	2.5
fort_tower_fire_frequency_ultra	1.0
gate_capture_time	20.0
gate_points_required_to_capture	200.0
gate_points_restore_per_second	2.0
keep_capture_time	60.0
key_building_a_points_required_to_capture	300.0
key_building_a_points_restore_per_second	10.0
key_building_a_tickets_per_second	2.0
key_building_b_points_required_to_capture	200.0
key_building_b_points_restore_per_second	10.0
key_building_b_tickets_per_second	0.1
local_bonus_radius	55.0
major_points_required_to_capture	500.0
major_points_restore_per_second	2.0
major_tickets_per_second	5.0
minor_points_required_to_capture	300.0
minor_points_restore_per_second	2.0
minor_tickets_per_second	0.0
score_points_required_to_capture	200.0
score_points_restore_per_second	10.0
score_tickets_per_second	5.0
settlement_location_capture_time	60.0
settlement_victory_condition_time	30.0
toggle_system_decal_terrain_offset	0.3
toggle_system_destruction_hide_delay	120.0
toggle_system_downgrade_delay	30.0
toggle_system_survival_destruction_hide_delay	30.0
toggle_system_upgrade_delay	30.0
toggle_system_vfx_hide_time	5.0
tower_capture_time	30.0
tower_points_required_to_capture	50.0
tower_points_restore_per_second	12.5
