tower_group_battle_types	tower_groups	value
#tower_groups_to_group_battle_types_tables;1;db/tower_groups_to_group_battle_types_tables/data__		
Artillery	default_value	100.0
Distance_SQ	default_value	-0.010000002
Can_Fly	flying_units	50.0
Armour_GE	heavy_armoured_units	50.0
Artillery	heavy_armoured_units	100.0
Distance_SQ	heavy_armoured_units	-1.0
Routing	heavy_armoured_units	-500.0
Shattered	heavy_armoured_units	-1000.0
Armour_LT	light_armoured_units	50.0
Artillery	light_armoured_units	100.0
Can_Fly	light_armoured_units	50.0
Distance_SQ	light_armoured_units	-1.0
Routing	light_armoured_units	-500.0
Shattered	light_armoured_units	-1000.0
Artillery	only_distance	100.0
Distance_SQ	only_distance	-0.010000002
