from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/data__	
wh2_dlc09_special_settlement_khemri_tmb_1	wh2_dlc09_special_settlement_khemri_tmb_2
wh2_dlc09_special_settlement_khemri_tmb_2	wh2_dlc09_special_settlement_khemri_tmb_3
wh2_dlc09_special_settlement_khemri_tmb_3	wh2_dlc09_special_settlement_khemri_tmb_4
wh2_dlc09_special_settlement_khemri_tmb_4	wh2_dlc09_special_settlement_khemri_tmb_5
wh2_dlc09_special_settlement_khemri_tmb_ruin	wh2_dlc09_special_settlement_khemri_tmb_1
wh2_dlc09_special_settlement_lahmia_tmb_1	wh2_dlc09_special_settlement_lahmia_tmb_2
wh2_dlc09_special_settlement_lahmia_tmb_2	wh2_dlc09_special_settlement_lahmia_tmb_3
wh2_dlc09_special_settlement_lahmia_tmb_3	wh2_dlc09_special_settlement_lahmia_tmb_4
wh2_dlc09_special_settlement_lahmia_tmb_4	wh2_dlc09_special_settlement_lahmia_tmb_5
wh2_dlc09_special_settlement_lahmia_tmb_ruin	wh2_dlc09_special_settlement_lahmia_tmb_1
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1
wh2_dlc09_tmb_arkhan_burial_mound	wh2_dlc09_tmb_arkhan_burial_mound_2
wh2_dlc09_tmb_cavalry_1	wh2_dlc09_tmb_cavalry_2
wh2_dlc09_tmb_cavalry_2	wh2_dlc09_tmb_cavalry_3
wh2_dlc09_tmb_cavalry_3	wh2_dlc09_tmb_cavalry_4
wh2_dlc09_tmb_chariots_1	wh2_dlc09_tmb_chariots_2
wh2_dlc09_tmb_chariots_2	wh2_dlc09_tmb_chariots_3
wh2_dlc09_tmb_defence_major_1	wh2_dlc09_tmb_defence_major_2
wh2_dlc09_tmb_defence_major_2	wh2_dlc09_tmb_defence_major_3
wh2_dlc09_tmb_defence_minor_1	wh2_dlc09_tmb_defence_minor_2
wh2_dlc09_tmb_growth_1	wh2_dlc09_tmb_growth_2
wh2_dlc09_tmb_growth_2	wh2_dlc09_tmb_growth_3
wh2_dlc09_tmb_income_1	wh2_dlc09_tmb_income_2
wh2_dlc09_tmb_income_2	wh2_dlc09_tmb_income_3
wh2_dlc09_tmb_infantry_1	wh2_dlc09_tmb_infantry_2
wh2_dlc09_tmb_infantry_2	wh2_dlc09_tmb_infantry_3
wh2_dlc09_tmb_port_1	wh2_dlc09_tmb_port_2
wh2_dlc09_tmb_port_2	wh2_dlc09_tmb_port_3
wh2_dlc09_tmb_port_ruin	wh2_dlc09_tmb_port_1
wh2_dlc09_tmb_public_order_1	wh2_dlc09_tmb_public_order_2
wh2_dlc09_tmb_public_order_2	wh2_dlc09_tmb_public_order_3
wh2_dlc09_tmb_settlement_major_1	wh2_dlc09_tmb_settlement_major_2
wh2_dlc09_tmb_settlement_major_2	wh2_dlc09_tmb_settlement_major_3
wh2_dlc09_tmb_settlement_major_3	wh2_dlc09_tmb_settlement_major_4
wh2_dlc09_tmb_settlement_major_4	wh2_dlc09_tmb_settlement_major_5
wh2_dlc09_tmb_settlement_major_ruin	wh2_dlc09_tmb_settlement_major_1
wh2_dlc09_tmb_settlement_minor_1	wh2_dlc09_tmb_settlement_minor_2
wh2_dlc09_tmb_settlement_minor_2	wh2_dlc09_tmb_settlement_minor_3
wh2_dlc09_tmb_settlement_minor_ruin	wh2_dlc09_tmb_settlement_minor_1
wh2_dlc09_tmb_ushabti_1	wh2_dlc09_tmb_ushabti_2
wh2_dlc10_special_world_root_entrance_1	wh2_dlc10_special_world_root_entrance_2
wh2_dlc10_special_world_root_entrance_2	wh2_dlc10_special_world_root_entrance_3
wh2_dlc11_horde_def_aristocracy_1	wh2_dlc11_horde_def_aristocracy_2
wh2_dlc11_horde_def_exiles_1	wh2_dlc11_horde_def_exiles_2
wh2_dlc11_horde_def_residence_1	wh2_dlc11_horde_def_residence_2
wh2_dlc11_horde_def_residence_2	wh2_dlc11_horde_def_residence_3
wh2_dlc11_horde_def_riders_1	wh2_dlc11_horde_def_riders_2
wh2_dlc11_special_ancient_vault_1	wh2_dlc11_special_ancient_vault_2
wh2_dlc11_special_settlement_galleons_graveyard_1	wh2_dlc11_special_settlement_galleons_graveyard_2
wh2_dlc11_special_settlement_galleons_graveyard_2	wh2_dlc11_special_settlement_galleons_graveyard_3
wh2_dlc11_special_settlement_galleons_graveyard_3	wh2_dlc11_special_settlement_galleons_graveyard_4
wh2_dlc11_special_settlement_galleons_graveyard_4	wh2_dlc11_special_settlement_galleons_graveyard_5
wh2_dlc11_special_settlement_galleons_graveyard_other_ruin	wh2_dlc11_special_settlement_galleons_graveyard_other_1
wh2_dlc11_special_settlement_galleons_graveyard_ruin	wh2_dlc11_special_settlement_galleons_graveyard_1
wh2_dlc11_special_ship_harpoon_1	wh2_dlc11_special_ship_harpoon_2
wh2_dlc11_special_ship_harpoon_2	wh2_dlc11_special_ship_harpoon_3
wh2_dlc11_special_ship_harpoon_3	wh2_dlc11_special_ship_harpoon_4
wh2_dlc11_special_ship_harpoon_4	wh2_dlc11_special_ship_harpoon_5
wh2_dlc11_vampirecoast_defence_garrison_1	wh2_dlc11_vampirecoast_defence_garrison_2
wh2_dlc11_vampirecoast_defence_walls_1	wh2_dlc11_vampirecoast_defence_walls_2
wh2_dlc11_vampirecoast_defence_walls_2	wh2_dlc11_vampirecoast_defence_walls_3
wh2_dlc11_vampirecoast_infrastructure_corruption_1	wh2_dlc11_vampirecoast_infrastructure_corruption_2
wh2_dlc11_vampirecoast_infrastructure_corruption_2	wh2_dlc11_vampirecoast_infrastructure_corruption_3
wh2_dlc11_vampirecoast_infrastructure_growth_1	wh2_dlc11_vampirecoast_infrastructure_growth_2
wh2_dlc11_vampirecoast_infrastructure_growth_2	wh2_dlc11_vampirecoast_infrastructure_growth_3
wh2_dlc11_vampirecoast_infrastructure_income_1	wh2_dlc11_vampirecoast_infrastructure_income_2
wh2_dlc11_vampirecoast_infrastructure_income_other_1	wh2_dlc11_vampirecoast_infrastructure_income_other_2
wh2_dlc11_vampirecoast_infrastructure_income_other_2	wh2_dlc11_vampirecoast_infrastructure_income_other_3
wh2_dlc11_vampirecoast_infrastructure_income_other_3	wh2_dlc11_vampirecoast_infrastructure_income_other_4
wh2_dlc11_vampirecoast_infrastructure_income_other_4	wh2_dlc11_vampirecoast_infrastructure_income_other_5
wh2_dlc11_vampirecoast_infrastructure_public_order_1	wh2_dlc11_vampirecoast_infrastructure_public_order_2
wh2_dlc11_vampirecoast_infrastructure_public_order_2	wh2_dlc11_vampirecoast_infrastructure_public_order_3
wh2_dlc11_vampirecoast_military_barracks_1	wh2_dlc11_vampirecoast_military_barracks_2
wh2_dlc11_vampirecoast_military_barracks_2	wh2_dlc11_vampirecoast_military_barracks_3
wh2_dlc11_vampirecoast_military_barracks_3	wh2_dlc11_vampirecoast_military_barracks_4
wh2_dlc11_vampirecoast_military_flying_1	wh2_dlc11_vampirecoast_military_flying_2
wh2_dlc11_vampirecoast_military_flying_2	wh2_dlc11_vampirecoast_military_flying_3
wh2_dlc11_vampirecoast_military_flying_3	wh2_dlc11_vampirecoast_military_flying_4
wh2_dlc11_vampirecoast_military_ranged_1	wh2_dlc11_vampirecoast_military_ranged_2
wh2_dlc11_vampirecoast_military_ranged_2	wh2_dlc11_vampirecoast_military_ranged_3
wh2_dlc11_vampirecoast_military_ranged_3	wh2_dlc11_vampirecoast_military_ranged_4
wh2_dlc11_vampirecoast_port_1	wh2_dlc11_vampirecoast_port_2
wh2_dlc11_vampirecoast_port_2	wh2_dlc11_vampirecoast_port_3
wh2_dlc11_vampirecoast_port_ruin	wh2_dlc11_vampirecoast_port_1
wh2_dlc11_vampirecoast_settlement_major_1	wh2_dlc11_vampirecoast_settlement_major_2
wh2_dlc11_vampirecoast_settlement_major_2	wh2_dlc11_vampirecoast_settlement_major_3
wh2_dlc11_vampirecoast_settlement_major_3	wh2_dlc11_vampirecoast_settlement_major_4
wh2_dlc11_vampirecoast_settlement_major_4	wh2_dlc11_vampirecoast_settlement_major_5
wh2_dlc11_vampirecoast_settlement_major_ruin	wh2_dlc11_vampirecoast_settlement_major_1
wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_settlement_minor_2
wh2_dlc11_vampirecoast_settlement_minor_2	wh2_dlc11_vampirecoast_settlement_minor_3
wh2_dlc11_vampirecoast_settlement_minor_ruin	wh2_dlc11_vampirecoast_settlement_minor_1
wh2_dlc11_vampirecoast_ship_anchor_1	wh2_dlc11_vampirecoast_ship_anchor_2
wh2_dlc11_vampirecoast_ship_anchor_2	wh2_dlc11_vampirecoast_ship_anchor_3
wh2_dlc11_vampirecoast_ship_cannons_1	wh2_dlc11_vampirecoast_ship_cannons_2
wh2_dlc11_vampirecoast_ship_cannons_2	wh2_dlc11_vampirecoast_ship_cannons_3
wh2_dlc11_vampirecoast_ship_captains_cabin_1	wh2_dlc11_vampirecoast_ship_captains_cabin_2
wh2_dlc11_vampirecoast_ship_captains_cabin_2	wh2_dlc11_vampirecoast_ship_captains_cabin_3
wh2_dlc11_vampirecoast_ship_captains_cabin_3	wh2_dlc11_vampirecoast_ship_captains_cabin_4
wh2_dlc11_vampirecoast_ship_captains_cabin_4	wh2_dlc11_vampirecoast_ship_captains_cabin_5
wh2_dlc11_vampirecoast_ship_crows_nest_1	wh2_dlc11_vampirecoast_ship_crows_nest_2
wh2_dlc11_vampirecoast_ship_crows_nest_2	wh2_dlc11_vampirecoast_ship_crows_nest_3
wh2_dlc11_vampirecoast_ship_crows_nest_3	wh2_dlc11_vampirecoast_ship_crows_nest_4
wh2_dlc11_vampirecoast_ship_gunports_1	wh2_dlc11_vampirecoast_ship_gunports_2
wh2_dlc11_vampirecoast_ship_gunports_2	wh2_dlc11_vampirecoast_ship_gunports_3
wh2_dlc11_vampirecoast_ship_gunports_3	wh2_dlc11_vampirecoast_ship_gunports_4
wh2_dlc11_vampirecoast_ship_helm_1	wh2_dlc11_vampirecoast_ship_helm_2
wh2_dlc11_vampirecoast_ship_helm_2	wh2_dlc11_vampirecoast_ship_helm_3
wh2_dlc11_vampirecoast_ship_hold_1	wh2_dlc11_vampirecoast_ship_hold_2
wh2_dlc11_vampirecoast_ship_hold_2	wh2_dlc11_vampirecoast_ship_hold_3
wh2_dlc11_vampirecoast_ship_hull_1	wh2_dlc11_vampirecoast_ship_hull_2
wh2_dlc11_vampirecoast_ship_hull_2	wh2_dlc11_vampirecoast_ship_hull_3
wh2_dlc11_vampirecoast_ship_main_deck_1	wh2_dlc11_vampirecoast_ship_main_deck_2
wh2_dlc11_vampirecoast_ship_main_deck_2	wh2_dlc11_vampirecoast_ship_main_deck_3
wh2_dlc11_vampirecoast_ship_main_deck_3	wh2_dlc11_vampirecoast_ship_main_deck_4
wh2_dlc11_vampirecoast_ship_sail_1	wh2_dlc11_vampirecoast_ship_sail_2
wh2_dlc11_vampirecoast_ship_sail_2	wh2_dlc11_vampirecoast_ship_sail_3
wh2_dlc11_vampirecoast_support_artillery_1	wh2_dlc11_vampirecoast_support_artillery_2
wh2_dlc11_vampirecoast_support_artillery_2	wh2_dlc11_vampirecoast_support_artillery_3
wh2_dlc11_vampirecoast_support_monsters_1	wh2_dlc11_vampirecoast_support_monsters_2
wh2_dlc11_vampirecoast_support_monsters_2	wh2_dlc11_vampirecoast_support_monsters_3
wh2_dlc12_dummy_nuclear_ruins_0	wh2_dlc12_dummy_nuclear_ruins_1
wh2_dlc12_dummy_nuclear_ruins_1	wh2_dlc12_dummy_nuclear_ruins_2
wh2_dlc12_dummy_nuclear_ruins_2	wh2_dlc12_dummy_nuclear_ruins_3
wh2_dlc12_dummy_nuclear_ruins_3	wh2_dlc12_dummy_nuclear_ruins_4
wh2_dlc12_dummy_nuclear_ruins_4	wh2_dlc12_dummy_nuclear_ruins_5
wh2_dlc12_dummy_nuclear_ruins_lzd_0	wh2_dlc12_dummy_nuclear_ruins_lzd_1
wh2_dlc12_dummy_nuclear_ruins_lzd_1	wh2_dlc12_dummy_nuclear_ruins_lzd_2
wh2_dlc12_dummy_nuclear_ruins_lzd_2	wh2_dlc12_dummy_nuclear_ruins_lzd_3
wh2_dlc12_dummy_nuclear_ruins_lzd_3	wh2_dlc12_dummy_nuclear_ruins_lzd_4
wh2_dlc12_dummy_nuclear_ruins_lzd_4	wh2_dlc12_dummy_nuclear_ruins_lzd_5
wh2_dlc12_dummy_nuclear_ruins_tmb_0	wh2_dlc12_dummy_nuclear_ruins_tmb_1
wh2_dlc12_dummy_nuclear_ruins_tmb_1	wh2_dlc12_dummy_nuclear_ruins_tmb_2
wh2_dlc12_dummy_nuclear_ruins_tmb_2	wh2_dlc12_dummy_nuclear_ruins_tmb_3
wh2_dlc12_dummy_nuclear_ruins_tmb_3	wh2_dlc12_dummy_nuclear_ruins_tmb_4
wh2_dlc12_dummy_nuclear_ruins_tmb_4	wh2_dlc12_dummy_nuclear_ruins_tmb_5
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_0	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_1
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_1	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_2
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_2	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_3
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_3	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_4
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_4	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_5
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_0	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_1
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_1	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_2
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_2	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_3
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_3	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_4
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_4	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_5
wh2_dlc12_special_warpstone_tractor_beam_1	wh2_dlc12_special_warpstone_tractor_beam_2
wh2_dlc12_under_empire_annexation_doomsday_1	wh2_dlc12_under_empire_annexation_doomsday_2
wh2_dlc12_under_empire_annexation_war_camp_1	wh2_dlc12_under_empire_annexation_war_camp_2
wh2_dlc12_under_empire_discovery_assassins_1	wh2_dlc12_under_empire_discovery_assassins_2
wh2_dlc12_under_empire_food_kidnappers_1	wh2_dlc12_under_empire_food_kidnappers_2
wh2_dlc12_under_empire_money_crafting_1	wh2_dlc12_under_empire_money_crafting_2
wh2_dlc12_under_empire_money_thieves_1	wh2_dlc12_under_empire_money_thieves_2
wh2_dlc12_under_empire_money_thieves_2	wh2_dlc12_under_empire_money_thieves_3
wh2_dlc12_under_empire_settlement_stronghold_1	wh2_dlc12_under_empire_settlement_stronghold_2
wh2_dlc12_under_empire_settlement_stronghold_2	wh2_dlc12_under_empire_settlement_stronghold_3
