armory_item	category_set
#armory_item_to_category_sets_tables;0;db/armory_item_to_category_sets_tables/data__	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	khorne
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	generic
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	generic
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	generic
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	generic
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	khorne
wh3_main_dae_cha_daemon_prince_arm_l_base_1	generic
wh3_main_dae_cha_daemon_prince_arm_l_base_2	generic
wh3_main_dae_cha_daemon_prince_arm_l_base_3	generic
wh3_main_dae_cha_daemon_prince_arm_l_base_4	generic
wh3_main_dae_cha_daemon_prince_arm_l_base_5	generic
wh3_main_dae_cha_daemon_prince_arm_l_base_6	generic
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	tzeentch
wh3_main_dae_cha_daemon_prince_arm_l_bird_2	tzeentch
wh3_main_dae_cha_daemon_prince_arm_l_bird_3	tzeentch
wh3_main_dae_cha_daemon_prince_arm_l_bird_4	generic
wh3_main_dae_cha_daemon_prince_arm_l_bird_5	generic
wh3_main_dae_cha_daemon_prince_arm_l_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	nurgle
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_5	generic
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_6	generic
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	generic
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	slaanesh
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	generic
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	slaanesh
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	slaanesh
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	slaanesh
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	khorne
wh3_main_dae_cha_daemon_prince_arm_r_armoured_2	generic
wh3_main_dae_cha_daemon_prince_arm_r_armoured_3	generic
wh3_main_dae_cha_daemon_prince_arm_r_armoured_4	generic
wh3_main_dae_cha_daemon_prince_arm_r_armoured_5	generic
wh3_main_dae_cha_daemon_prince_arm_r_armoured_6	khorne
wh3_main_dae_cha_daemon_prince_arm_r_base_1	generic
wh3_main_dae_cha_daemon_prince_arm_r_base_2	generic
wh3_main_dae_cha_daemon_prince_arm_r_base_3	generic
wh3_main_dae_cha_daemon_prince_arm_r_base_4	generic
wh3_main_dae_cha_daemon_prince_arm_r_base_5	generic
wh3_main_dae_cha_daemon_prince_arm_r_base_6	generic
wh3_main_dae_cha_daemon_prince_arm_r_bird_1	tzeentch
wh3_main_dae_cha_daemon_prince_arm_r_bird_2	tzeentch
wh3_main_dae_cha_daemon_prince_arm_r_bird_3	tzeentch
wh3_main_dae_cha_daemon_prince_arm_r_bird_4	generic
wh3_main_dae_cha_daemon_prince_arm_r_bird_5	generic
wh3_main_dae_cha_daemon_prince_arm_r_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_3	nurgle
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_5	generic
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_6	generic
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	generic
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	slaanesh
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	generic
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	slaanesh
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	slaanesh
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	slaanesh
wh3_main_dae_cha_daemon_prince_fe_arm_l_armoured_06	khorne
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_03	generic
wh3_main_dae_cha_daemon_prince_fe_arm_l_bird_03	tzeentch
wh3_main_dae_cha_daemon_prince_fe_arm_l_corpulent_03	nurgle
wh3_main_dae_cha_daemon_prince_fe_arm_r_armoured_06	khorne
wh3_main_dae_cha_daemon_prince_fe_arm_r_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_arm_r_bird_03	tzeentch
wh3_main_dae_cha_daemon_prince_fe_arm_r_corpulent_03	nurgle
wh3_main_dae_cha_daemon_prince_fe_arm_r_scythe_06	slaanesh
wh3_main_dae_cha_daemon_prince_fe_head_adornedhelmet_06	slaanesh
wh3_main_dae_cha_daemon_prince_fe_head_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_head_beast_06	khorne
wh3_main_dae_cha_daemon_prince_fe_head_bird_02	tzeentch
wh3_main_dae_cha_daemon_prince_fe_head_corpulent_06	nurgle
wh3_main_dae_cha_daemon_prince_fe_legs_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_legs_beast_06	khorne
wh3_main_dae_cha_daemon_prince_fe_legs_bird_06	tzeentch
wh3_main_dae_cha_daemon_prince_fe_legs_corpulent_03	nurgle
wh3_main_dae_cha_daemon_prince_fe_legs_daemonette_04	slaanesh
wh3_main_dae_cha_daemon_prince_fe_tail_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_tail_corpulent_05	nurgle
wh3_main_dae_cha_daemon_prince_fe_tail_fiend_06	slaanesh
wh3_main_dae_cha_daemon_prince_fe_tail_living_06	khorne
wh3_main_dae_cha_daemon_prince_fe_tail_snapping_06	tzeentch
wh3_main_dae_cha_daemon_prince_fe_torso_adornedarmour_06	slaanesh
wh3_main_dae_cha_daemon_prince_fe_torso_base_01	generic
wh3_main_dae_cha_daemon_prince_fe_torso_bird_06	tzeentch
wh3_main_dae_cha_daemon_prince_fe_torso_brasscollar_04	generic
wh3_main_dae_cha_daemon_prince_fe_torso_corpulent_06	nurgle
wh3_main_dae_cha_daemon_prince_fe_weapon_bloodthirster_great_axe_01	khorne
wh3_main_dae_cha_daemon_prince_fe_weapon_bloodthirster_great_axe_01	weapon_2_handed
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_great_unclean_one_sword_01	nurgle
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_great_unclean_one_sword_01	weapon_1_handed
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_keeper_of_secrets_shield_01	slaanesh
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_keeper_of_secrets_shield_01	weapon_shield
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_lord_of_change_staff_01	tzeentch
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_lord_of_change_staff_01	weapon_1_handed
wh3_main_dae_cha_daemon_prince_fe_weapon_sword_01	generic
wh3_main_dae_cha_daemon_prince_fe_weapon_sword_01	weapon_1_handed
wh3_main_dae_cha_daemon_prince_fe_wings_base_02	generic
wh3_main_dae_cha_daemon_prince_fe_wings_beast_05	khorne
wh3_main_dae_cha_daemon_prince_fe_wings_bird_06	tzeentch
wh3_main_dae_cha_daemon_prince_fe_wings_corpulent_04	nurgle
wh3_main_dae_cha_daemon_prince_fe_wings_sensuous_06	generic
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_1	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_2	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_3	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_4	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_5	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_6	slaanesh
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_7	generic
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_8	generic
wh3_main_dae_cha_daemon_prince_head_base_10	generic
wh3_main_dae_cha_daemon_prince_head_base_11	generic
wh3_main_dae_cha_daemon_prince_head_base_1	generic
wh3_main_dae_cha_daemon_prince_head_base_2	generic
wh3_main_dae_cha_daemon_prince_head_base_3	generic
wh3_main_dae_cha_daemon_prince_head_base_4	generic
wh3_main_dae_cha_daemon_prince_head_base_5	generic
wh3_main_dae_cha_daemon_prince_head_base_6	generic
wh3_main_dae_cha_daemon_prince_head_base_7	generic
wh3_main_dae_cha_daemon_prince_head_base_8	generic
wh3_main_dae_cha_daemon_prince_head_base_9	generic
wh3_main_dae_cha_daemon_prince_head_beast_1	generic
wh3_main_dae_cha_daemon_prince_head_beast_2	generic
wh3_main_dae_cha_daemon_prince_head_beast_3	generic
wh3_main_dae_cha_daemon_prince_head_beast_4	khorne
wh3_main_dae_cha_daemon_prince_head_beast_5	generic
wh3_main_dae_cha_daemon_prince_head_beast_6	khorne
wh3_main_dae_cha_daemon_prince_head_bird_1	tzeentch
wh3_main_dae_cha_daemon_prince_head_bird_2	tzeentch
wh3_main_dae_cha_daemon_prince_head_bird_3	tzeentch
wh3_main_dae_cha_daemon_prince_head_bird_4	tzeentch
wh3_main_dae_cha_daemon_prince_head_bird_5	tzeentch
