ritual	weight
#cai_ritual_weights_tables;0;db/cai_ritual_weights_tables/data__	
wh2_dlc09_ritual_skv_thirteen_rictus	1.0
wh2_dlc09_ritual_tmb_geheb	2.0
wh2_dlc09_ritual_tmb_khsar	1.0
wh2_dlc09_ritual_tmb_ptra	0.0
wh2_dlc09_ritual_tmb_tahoth	1.0
wh2_dlc10_ritual_def_drakira	1.0
wh2_dlc10_ritual_hef_lileath	1.0
wh2_dlc10_ritual_hef_morai_heg	1.0
wh2_dlc11_ritual_cst_bountiful_treasure	5.0
wh2_dlc11_ritual_cst_eternal_service	2.0
wh2_dlc11_ritual_cst_queens_cannon	8.0
wh2_dlc11_ritual_cst_sea_mist	3.0
wh2_dlc11_ritual_def_anath_raema	2.0
wh2_dlc12_lzd_tiktaqto_ritual_persistence	5.0
wh2_dlc14_ritual_def_warmaster	2.0
wh2_dlc14_ritual_def_witch_king	3.0
wh2_dlc14_ritual_eshin_sudden_kill	5.0
wh2_dlc14_ritual_skv_pestilence_pestilens	3.0
wh2_main_ritual_def_atharti	5.0
wh2_main_ritual_def_hekarti	1.0
wh2_main_ritual_def_khaine	2.0
wh2_main_ritual_def_mathlann	8.0
wh2_main_ritual_hef_asuryan	5.0
wh2_main_ritual_hef_hoeth	1.0
wh2_main_ritual_hef_isha	1.0
wh2_main_ritual_hef_vaul	1.0
wh2_main_ritual_lzd_awakening	8.0
wh2_main_ritual_lzd_ferocity	5.0
wh2_main_ritual_lzd_primeval_glory	2.0
wh2_main_ritual_lzd_sotek	1.0
wh2_main_ritual_skv_ascendancy	5.0
wh2_main_ritual_skv_doooom	1.0
wh2_main_ritual_skv_pestilence	1.0
wh2_main_ritual_skv_thirteen_eshin	1.0
wh2_main_ritual_skv_thirteen_mors	1.0
wh2_main_ritual_skv_thirteen_moulder	1.0
wh2_main_ritual_skv_thirteen_pestilens	1.0
wh2_main_ritual_skv_thirteen_skryre	1.0
