key	default_value
#cai_task_management_system_task_generator_variables_tables;0;db/cai_task_management_system_task_generator_variables_tables/data__	
ACT_IF_NO_ACTVITY_WITHIN_ROUNDS	5
PRIORITY_SCALING_MAX_PRIORITY_AFTER_ROUNDS_ACTIVATION	10
TARGET_CULTURE	 
TASK_GENERATION_IGNORE_PASSIVE_FACTION	1
TASK_GENERATION_IGNORE_REBEL_FACTIONS	1
TASK_GENERATION_POINT_OF_INTEREST_INTERACTION_TYPE	DO_NOTHING
TASK_GENERATION_PRIORITY_MINIMUM_TASK_PRIORITY_PROPORTION	0.25
TASK_GENERATION_PRIORITY_SCALING_BY_POWER_OF_EXPONENT	1
TASK_GENERATION_TASK_BEHAVIOUR_FOR_REGION_TARGET_WITH_SETTLEMENT_AGENTS_SHOULD_QUERY_SETTLEMENT_ACTION_AVAILABILITY	true
TASK_GENERATION_TIME_HORIZON_IN_ROUNDS_TO_CONSIDER	10
