key	long_description	short_description	order
#cai_personality_displayed_traits_tables;1;db/cai_personality_displayed_traits_tables/data__			
wh3_cai_displayed_trait_aggressive	personality_desc_long_aggressive	personality_desc_short_aggressive	0
wh3_cai_displayed_trait_aloof	personality_desc_long_aloof	personality_desc_short_aloof	0
wh3_cai_displayed_trait_artefact_hunter	personality_desc_long_artefact_hunter	personality_desc_short_artefact_hunter	0
wh3_cai_displayed_trait_bastion_guardian	personality_desc_long_bastion_guardian	personality_desc_short_bastion_guardian	0
wh3_cai_displayed_trait_blood_voyage	personality_desc_long_blood_voyage	personality_desc_short_blood_voyage	0
wh3_cai_displayed_trait_brutal	personality_desc_long_brutal	personality_desc_short_brutal	0
wh3_cai_displayed_trait_camp_builder	personality_desc_long_camp_builder	personality_desc_short_camp_builder	0
wh3_cai_displayed_trait_caravan_master	personality_desc_long_caravan_master	personality_desc_short_caravan_master	0
wh3_cai_displayed_trait_challenger	personality_desc_long_challenger	personality_desc_short_challenger	0
wh3_cai_displayed_trait_champion_of_great_game	personality_desc_long_champion_of_great_game	personality_desc_short_champion_of_great_game	0
wh3_cai_displayed_trait_changer_of_ways	personality_desc_long_changer_of_ways	personality_desc_short_changer_of_ways	0
wh3_cai_displayed_trait_changer_of_ways_vilitch	personality_desc_long_changer_of_ways_vilitch	personality_desc_short_changer_of_ways_vilitch	0
wh3_cai_displayed_trait_cold_blooded	personality_desc_long_cold_blooded	personality_desc_short_cold_blooded	0
wh3_cai_displayed_trait_corruptor	personality_desc_long_corruptor	personality_desc_short_corruptor	0
wh3_cai_displayed_trait_daemonic_ascendant	personality_desc_long_daemonic_ascendant	personality_desc_short_daemonic_ascendant	0
wh3_cai_displayed_trait_desert_dweller	personality_desc_long_desert_dweller	personality_desc_short_desert_dweller	0
wh3_cai_displayed_trait_destroyer	personality_desc_long_destroyer	personality_desc_short_destroyer	0
wh3_cai_displayed_trait_diplomat	personality_desc_long_diplomat	personality_desc_short_diplomat	0
wh3_cai_displayed_trait_dwarf_endgame	personality_desc_long_dwarf_endgame	personality_desc_short_dwarf_endgame	0
wh3_cai_displayed_trait_empire_endgame	personality_desc_long_empire_endgame	personality_desc_short_empire_endgame	0
wh3_cai_displayed_trait_exploiter_of_decadence	personality_desc_long_exploiter_of_decadence	personality_desc_short_exploiter_of_decadence	0
wh3_cai_displayed_trait_faithful_to_motherland	personality_desc_long_faithful_to_motherland	personality_desc_short_faithful_to_motherland	0
wh3_cai_displayed_trait_forest_dweller	personality_desc_long_forest_dweller	personality_desc_short_forest_dweller	0
wh3_cai_displayed_trait_glade_protector	personality_desc_long_glade_protector	personality_desc_short_glade_protector	0
wh3_cai_displayed_trait_greedy	personality_desc_long_greedy	personality_desc_short_greedy	0
wh3_cai_displayed_trait_greenskin_endgame	personality_desc_long_greenskin_endgame	personality_desc_short_greenskin_endgame	0
wh3_cai_displayed_trait_guardian	personality_desc_long_guardian	personality_desc_short_guardian	0
wh3_cai_displayed_trait_herdstone_tribe	personality_desc_long_herdstone_tribe	personality_desc_short_herdstone_tribe	0
wh3_cai_displayed_trait_holds_grudges	personality_desc_long_holds_grudges	personality_desc_short_holds_grudges	0
wh3_cai_displayed_trait_honourable	personality_desc_long_honourable	personality_desc_short_honourable	0
wh3_cai_displayed_trait_imperial_authority	personality_desc_long_imperial_authority	personality_desc_short_imperial_authority	0
wh3_cai_displayed_trait_isolationist	personality_desc_long_isolationist	personality_desc_short_isolationist	0
wh3_cai_displayed_trait_lizardmen_vassal	personality_desc_long_lizardmen_vassal	personality_desc_short_lizardmen_vassal	0
wh3_cai_displayed_trait_malevolent	personality_desc_long_malevolent	personality_desc_short_malevolent	0
wh3_cai_displayed_trait_naval_aggressor	personality_desc_long_naval_aggressor	personality_desc_short_naval_aggressor	0
wh3_cai_displayed_trait_norsca_vassal	personality_desc_long_norsca_vassal	personality_desc_short_norsca_vassal	0
wh3_cai_displayed_trait_opportunist	personality_desc_long_opportunist	personality_desc_short_opportunist	0
wh3_cai_displayed_trait_pirate	personality_desc_long_pirate	personality_desc_short_pirate	0
wh3_cai_displayed_trait_plaguebearer	personality_desc_long_plaguebearer	personality_desc_short_plaguebearer	0
wh3_cai_displayed_trait_plaguebearer_festus	personality_desc_long_plaguebearer_festus	personality_desc_short_plaguebearer_festus	0
wh3_cai_displayed_trait_plaguefather	personality_desc_long_plaguefather	personality_desc_short_plaguefather	0
wh3_cai_displayed_trait_protective	personality_desc_long_protective	personality_desc_short_protective	0
wh3_cai_displayed_trait_purifier	personality_desc_long_purifier	personality_desc_short_purifier	0
wh3_cai_displayed_trait_raider	personality_desc_long_raider	personality_desc_short_raider	0
wh3_cai_displayed_trait_reliable	personality_desc_long_reliable	personality_desc_short_reliable	0
wh3_cai_displayed_trait_resource_hoarder	personality_desc_long_resource_hoarder	personality_desc_short_resource_hoarder	0
wh3_cai_displayed_trait_respects_strength	dlc09_personality_desc_long_tmb_likes_great_powers	dlc09_personality_desc_short_tmb_likes_great_powers	0
wh3_cai_displayed_trait_rogue	personality_desc_long_rogue	personality_desc_short_rogue	0
wh3_cai_displayed_trait_ruin_dweller	personality_desc_long_ruin_dweller	personality_desc_short_ruin_dweller	0
wh3_cai_displayed_trait_schemer	personality_desc_long_schemer	personality_desc_short_schemer	0
wh3_cai_displayed_trait_seasonal	personality_desc_long_seasonal	personality_desc_short_seasonal	0
wh3_cai_displayed_trait_seducer	personality_desc_long_seducer	personality_desc_short_seducer	0
