stat	unit_caste	max_value_override
#ui_unit_stat_to_unit_castes_tables;0;db/ui_unit_stat_to_unit_castes_tables/data__		
scalar_missile_range	warmachine	600
stat_ammo	chariot	50
stat_ammo	hero	50
stat_ammo	lord	50
stat_ammo	melee_infantry	50
stat_ammo	missile_cavalry	50
stat_ammo	missile_infantry	50
stat_ammo	monster	100
stat_ammo	warmachine	50
stat_charge_bonus	hero	150
stat_charge_bonus	lord	150
stat_melee_damage_ap	hero	800
stat_melee_damage_ap	lord	800
stat_melee_damage_base	hero	800
stat_melee_damage_base	lord	800
stat_missile_damage_over_time	hero	300
stat_missile_damage_over_time	lord	300
stat_missile_damage_over_time	warmachine	600
stat_weapon_damage	hero	800
stat_weapon_damage	lord	800
stat_weapon_damage	monster	800
stat_weapon_damage	monstrous_cavalry	200
stat_weapon_damage	monstrous_infantry	200
