id	policy_suitable	policy_unsuitable	policy_uninhabitable	policy_uncapturable
#cai_personality_occupation_decision_components_tables;2;db/cai_personality_occupation_decision_components_tables/data__				
capture_all_climate	default	default	default	default_uncapturable
capture_all_climate_early	default_early	default_early	default_early_uncapturable	default_uncapturable
default	default	default	default_uncapturable	default_uncapturable
default_early	default_early	default_early_uncapturable	default_early_uncapturable	default_early_uncapturable
destroyer	destroyer	destroyer	destroyer_uncapturable	destroyer_uncapturable
dlc05_wood_elves	dlc05_wood_elves	dlc05_wood_elves_uncapturable	dlc05_wood_elves_uncapturable	dlc05_wood_elves_uncapturable
dlc09_tomb_kings	dlc09_tomb_kings	dlc09_tomb_kings	dlc09_tomb_kings_uncapaturable	dlc09_tomb_kings_uncapaturable
dlc09_tomb_kings_early	dlc09_tomb_kings	dlc09_tomb_kings_uncapaturable	dlc09_tomb_kings_uncapaturable	dlc09_tomb_kings_uncapaturable
dwarfs	default	default_uncapturable	default_uncapturable	default_uncapturable
dwarfs_early	default_early	default_early_uncapturable	default_early_uncapturable	default_early_uncapturable
looter	looter	looter	looter_uncapturable	looter_uncapturable
looter_early	looter_early	looter_early_uncapturable	looter_early_uncapturable	looter_early_uncapturable
noraze	noraze	noraze	noraze_uncapturable	noraze_uncapturable
raider	raider	raider	raider_uncapturable	raider_uncapturable
wh3_only_raze	wh3_only_raze	wh3_only_raze	wh3_only_raze	wh3_only_raze
