region	region_group
#audio_campaign_region_group_assignments_tables;0;db/audio_campaign_region_group_assignments_tables/data__	
wh3_main_chaos_region_black_fortress	Region_Group_Darklands
wh3_main_chaos_region_bridge_of_heaven	Region_Group_Cathay
wh3_main_chaos_region_castle_drakenhof	Region_Group_Vampires
wh3_main_chaos_region_city_of_the_shugengan	Region_Group_Cathay
wh3_main_chaos_region_crookback_mountain	Region_Group_Darklands
wh3_main_chaos_region_darkhold	Region_Group_Darklands
wh3_main_chaos_region_dragon_gate	Region_Group_Cathay
wh3_main_chaos_region_fort_dorznye_vort	Region_Group_Darklands
wh3_main_chaos_region_great_river	Region_Group_Cathay
wh3_main_chaos_region_jade_river	Region_Group_Cathay
wh3_main_chaos_region_jade_wind_mountain	Region_Group_Cathay
wh3_main_chaos_region_konigstein_tower	Region_Group_Vampires
wh3_main_chaos_region_kraz_und	Region_Group_Darklands
wh3_main_chaos_region_kunlan	Region_Group_Cathay
wh3_main_chaos_region_land_of_the_plaguelord	Region_Group_Nurgle
wh3_main_chaos_region_mines_of_gorgoth	Region_Group_Darklands
wh3_main_chaos_region_mines_of_nan_yang	Region_Group_Cathay
wh3_main_chaos_region_ming_zhu	Region_Group_Cathay
wh3_main_chaos_region_mount_grey_hag	Region_Group_Darklands
wh3_main_chaos_region_mount_grimfang	Region_Group_Darklands
wh3_main_chaos_region_mount_gunbad	Region_Group_Darklands
wh3_main_chaos_region_nan_gau	Region_Group_Cathay
wh3_main_chaos_region_nonchang	Region_Group_Cathay
wh3_main_chaos_region_oakenhammer	Region_Group_Vampires
wh3_main_chaos_region_po_mei	Region_Group_Cathay
wh3_main_chaos_region_realm_of_chaos	Region_Group_Chaos_Realm
wh3_main_chaos_region_realm_of_the_sorcerer_1	Region_Group_Tzeentch
wh3_main_chaos_region_realm_of_the_sorcerer_2	Region_Group_Tzeentch
wh3_main_chaos_region_realm_of_the_sorcerer_3	Region_Group_Tzeentch
wh3_main_chaos_region_realm_of_the_sorcerer_4	Region_Group_Tzeentch
