key	value
#_kv_winds_of_magic_params_tables;0;db/_kv_winds_of_magic_params_tables/data__	
ascendancy_transition_duration_s	4.0
base_multiplier_for_estimated_max_recharge	1.3299999
campaign_ui_max_depletion_modifier	100.0
campaign_ui_min_depletion_modifier	0.0
custom_battle_pool_initial_amount	80.0
custom_battle_pool_initial_mana_available_ratio	0.15
magical_charge_capacity	30.0
magical_charge_transition_duration_s	30.0
pool_gamble_max_ratio	1.5
pool_gamble_min_ratio	0.5
pool_max_amount	100.0
random_aoe_interval_max	30.0
random_aoe_interval_min	10.0
restored_points_base	0.1
storm_of_magic_random_aoe_distance_offset	10.0
storm_of_magic_random_aoe_targeting_distribution_unit_distance	30.0
