quote_person_key	quote_person_onscreen
#quotes_people_tables;0;db/quotes_people_tables/data__	
aenarion	Aenarion the Defender
alaric	Alaric, High Theogonist of Sigmar
alarielle	Alarielle the Radiant, before the Battle of Finuval Plain
albert_du_maurier	Albert du Maurier, Chief Farrier to the Carcasonne Stables
albrecht_heinz	Albrecht Heinz, Drakwald Militia
albrecht_of_nuln	Albrecht of Nuln
albrecht_valdorf	Sir Albrecht Valdorf, Preceptor of the Righteous Lance
alexei_zucharov	Alexei Zucharov, Star of Erengrad
alith_anar	Alith Anar, Shadow King
allurian	Allurian, Elven War Studies, page 3
amenemhetum	Translations from inscriptions in the tomb of King Amenemhetum of Zandri
ammelie_meyer	Ammelie Meyer, Priestess of Verena
andreas_halldenstadt	Andreas Halldenstadt, Head Scribe at the Great Library of Altdorf
anon	Anonymous
aranessa	Captain Aranessa Saltspite
arbaal_the_undefeated	Arbaal the Undefeated, at the Siege of Praag
archaon	Archaon, Lord of the End Times
arkhan	Arkhan the Black, loyal servant of Nagash
arms_dealers	Underground Arms Dealers
asteron	Asteron, long-dead monarch of the Dolgars
bagrian	Bagrian, an ancient scholar assassinated by the Skaven. All copies of this quote were destroyed, except this one… as of yet…
behram	Behram Gundarson, Dwarf Skaven-Hunter
bel_shanaar	The Lament of Bel Shanaar
belegar_assault	Belegar Ironhammer, King of Karak Eight Peaks, shortly before the main assault
belegar_ironhammer	Belegar Ironhammer, King of Karak Eight Peaks
belegar_preparing	Belegar Ironhammer, King of Karak Eight Peaks, preparing his brave Dawi for the struggle to come
bestiarie	Bestiarie Malificent
bhorgos	Bhorgos Gorehorn, Doombull
bilgarim_whitestar	Lord Bilgarim Whitestar
black_amos	Black Amos, Pirate
black_ruyrecht	Black Ruyrecht, veteran of the Vampire Wars
black_tower_annals	An extract from the Annals of the Black Tower
blackheart	Accounts of Captain Blackheart and his Lustrian adventure
blucher	Grandmarshall Blucher von Vincke
book_of_days	Extract from the Book of Days
boris_kraus_of_nuln	Boris Kraus of Nuln, Chief Engineer
bort	Bort the Mad
bort_the_mad	Bort the Mad
branchclimber	Minaith Branchclimber of the Deepwood Scouts
captain_helmur_van_hal	Captain Helmur van Hal, Witch Hunter
caradryan	Caradryan, Captain of the Phoenix Guard
cartographer	Anonymous cartographer
casket_souls	Inscribed on the Casket of Souls within the tomb of King Setep
celeste_verite_damsel	Celeste Vérité, Damsel of the Lady
charoi	Charoi Everwatcher, Chief Wildwood Ranger
childrens_rhyme	Children's Rhyme
