building_chain	settlement_type
#settlement_type_to_building_chains_junctions_tables;0;db/settlement_type_to_building_chains_junctions_tables/data__	
wh2_dlc11_foreign_corruption	wh3_main_dae_khorne
wh2_dlc11_foreign_income	wh3_main_dae_khorne
wh2_dlc11_foreign_infamy	wh3_main_dae_khorne
wh2_dlc11_foreign_trade	wh3_main_dae_khorne
wh2_dlc12_under_empire_annexation_doomsday	wh3_main_dae_khorne
wh2_dlc12_under_empire_annexation_war_camp	wh3_main_dae_khorne
wh2_dlc12_under_empire_discovery_assassins	wh3_main_dae_khorne
wh2_dlc12_under_empire_discovery_deeper_tunnels	wh3_main_dae_khorne
wh2_dlc12_under_empire_food_kidnappers	wh3_main_dae_khorne
wh2_dlc12_under_empire_food_raiding_camp	wh3_main_dae_khorne
wh2_dlc12_under_empire_money_crafting	wh3_main_dae_khorne
wh2_dlc12_under_empire_money_thieves	wh3_main_dae_khorne
wh2_dlc12_under_empire_settlement_stronghold	wh3_main_dae_khorne
wh2_dlc12_under_empire_settlement_warren	wh3_main_dae_khorne
wh2_dlc12_under_empire_warpstone_mine	wh3_main_dae_khorne
wh2_dlc12_under_empire_warpstone_refinery	wh3_main_dae_khorne
wh2_dlc12_under_empire_warpstone_strip_mine	wh3_main_dae_khorne
wh2_dlc14_special_nagashizzar_other	wh3_main_dae_khorne
wh2_dlc14_under_empire_annexation_plague_cauldron	wh3_main_dae_khorne
wh2_main_special_altar_of_ultimate_darkness	wh3_main_dae_khorne
wh2_main_special_fortress_gate_eagle_untainted	wh3_main_dae_khorne
wh2_main_special_fortress_gate_griffon_untainted	wh3_main_dae_khorne
wh2_main_special_fortress_gate_phoenix_untainted	wh3_main_dae_khorne
wh2_main_special_fortress_gate_unicorn_untainted	wh3_main_dae_khorne
wh2_main_special_pyramid_of_nagash_other	wh3_main_dae_khorne
wh2_main_special_shrine_of_asuryan_other	wh3_main_dae_khorne
wh2_main_special_shrine_of_khaine_other	wh3_main_dae_khorne
wh2_main_wef_oak_of_ages_occupied	wh3_main_dae_khorne
wh3_main_brt_allied_outpost	wh3_main_dae_khorne
wh3_main_bst_allied_outpost	wh3_main_dae_khorne
wh3_main_chs_allied_outpost	wh3_main_dae_khorne
wh3_main_cst_allied_outpost	wh3_main_dae_khorne
wh3_main_cth_allied_outpost	wh3_main_dae_khorne
wh3_main_dae_advanced_2_kho	wh3_main_dae_khorne
wh3_main_dae_advanced_kho	wh3_main_dae_khorne
wh3_main_dae_allied_outpost	wh3_main_dae_khorne
wh3_main_dae_barracks_kho	wh3_main_dae_khorne
wh3_main_dae_control_kho	wh3_main_dae_khorne
wh3_main_dae_garrison_major	wh3_main_dae_khorne
wh3_main_dae_garrison_minor	wh3_main_dae_khorne
wh3_main_dae_growth_gold_kho	wh3_main_dae_khorne
wh3_main_dae_growth_recruit_kho	wh3_main_dae_khorne
wh3_main_dae_kho_settlement_major	wh3_main_dae_khorne
wh3_main_dae_kho_settlement_minor	wh3_main_dae_khorne
wh3_main_dae_port	wh3_main_dae_khorne
wh3_main_dae_resource_animals	wh3_main_dae_khorne
wh3_main_dae_resource_dyes	wh3_main_dae_khorne
wh3_main_dae_resource_furs	wh3_main_dae_khorne
wh3_main_dae_resource_gems	wh3_main_dae_khorne
wh3_main_dae_resource_gold	wh3_main_dae_khorne
wh3_main_dae_resource_iron	wh3_main_dae_khorne
wh3_main_dae_resource_ivory	wh3_main_dae_khorne
wh3_main_dae_resource_marble	wh3_main_dae_khorne
wh3_main_dae_resource_medicine	wh3_main_dae_khorne
wh3_main_dae_resource_obsidian	wh3_main_dae_khorne
