identifier	region_group_key	region_group_policy_key
#cai_personality_region_group_policy_junctions_tables;0;db/cai_personality_region_group_policy_junctions_tables/data__		
1	cai_region_hint_empty	default
2	cai_region_hint_empty	default
3	cai_region_hint_empty	default
2	cai_region_hint_area_empire	wh3_combi_region_hint_policy_beastmen_khazrak
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_beastmen_khazrak
1	cai_region_hint_sub_area_northern_empire	wh3_combi_region_hint_policy_beastmen_khazrak
1	cai_region_hint_area_badlands	wh3_combi_region_hint_policy_beastmen_malagor
2	cai_region_hint_area_border_princes	wh3_combi_region_hint_policy_beastmen_malagor
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_beastmen_malagor
3	cai_region_hint_area_athel_loren	wh3_combi_region_hint_policy_beastmen_morghur
2	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_beastmen_morghur
1	cai_region_hint_sub_area_western_border_princes	wh3_combi_region_hint_policy_beastmen_morghur
3	cai_region_hint_area_border_princes	wh3_combi_region_hint_policy_bretonnia_fayenchantress
1	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_fayenchantress
2	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_fayenchantress
3	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_fayenchantress
1	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_louen
2	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_louen
3	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_bretonnia_louen
3	cai_region_hint_area_southlands	wh3_combi_region_hint_policy_bretonnia_repanse
1	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_bretonnia_repanse
2	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_bretonnia_repanse
2	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_bretonnia_repanse
2	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_cathay_miao_ying
3	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_cathay_miao_ying
1	cai_region_hint_sub_area_northern_cathay	wh3_combi_region_hint_policy_cathay_miao_ying
2	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_cathay_zhao_ming
3	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_cathay_zhao_ming
1	cai_region_hint_sub_area_southern_cathay	wh3_combi_region_hint_policy_cathay_zhao_ming
1	cai_region_hint_sub_area_bastion	wh3_combi_region_hint_policy_chaos_gatedestroyer
2	cai_region_hint_sub_area_bastion	wh3_combi_region_hint_policy_chaos_gatedestroyer
3	cai_region_hint_sub_area_bastion	wh3_combi_region_hint_policy_chaos_gatedestroyer
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_chaos_settled_archaon
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_chaos_settled_archaon
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_chaos_settled_archaon
1	cai_region_hint_sub_area_eastern_chaos_wastes	wh3_combi_region_hint_policy_chaos_settled_archaon
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_chaos_settled_azazel
1	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_chaos_settled_azazel
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_chaos_settled_azazel
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_chaos_settled_azazel
1	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_chaos_settled_azazel
2	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_chaos_settled_azazel
2	cai_region_hint_area_empire	wh3_combi_region_hint_policy_chaos_settled_festus
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_chaos_settled_festus
1	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_chaos_settled_festus
3	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_chaos_settled_kholek
2	cai_region_hint_area_mountains_of_mourn	wh3_combi_region_hint_policy_chaos_settled_kholek
1	cai_region_hint_sub_area_eastern_chaos_wastes	wh3_combi_region_hint_policy_chaos_settled_kholek
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_chaos_settled_sigvald
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_chaos_settled_sigvald
2	cai_region_hint_sub_area_northern_naggarond	wh3_combi_region_hint_policy_chaos_settled_sigvald
1	cai_region_hint_sub_area_western_chaos_wastes	wh3_combi_region_hint_policy_chaos_settled_sigvald
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_chaos_settled_valkia
1	cai_region_hint_sub_area_northern_naggarond	wh3_combi_region_hint_policy_chaos_settled_valkia
2	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_chaos_settled_valkia
3	cai_region_hint_area_cathay	wh3_combi_region_hint_policy_chaos_settled_vilitch
1	cai_region_hint_sub_area_beyond_the_bastion	wh3_combi_region_hint_policy_chaos_settled_vilitch
1	cai_region_hint_sub_area_northern_cathay	wh3_combi_region_hint_policy_chaos_settled_vilitch
2	cai_region_hint_sub_area_northern_cathay	wh3_combi_region_hint_policy_chaos_settled_vilitch
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_daemon_prince
2	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_daemon_prince
1	cai_region_hint_sub_area_western_chaos_wastes	wh3_combi_region_hint_policy_daemon_prince
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_darkelf_hellebron
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_darkelf_hellebron
2	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_darkelf_hellebron
1	cai_region_hint_sub_area_northern_naggarond	wh3_combi_region_hint_policy_darkelf_hellebron
2	cai_region_hint_sub_area_northern_naggarond	wh3_combi_region_hint_policy_darkelf_hellebron
2	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_darkelf_hellebron
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_darkelf_malekith
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_darkelf_malekith
2	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_darkelf_malekith
2	cai_region_hint_sub_area_northern_naggarond	wh3_combi_region_hint_policy_darkelf_malekith
1	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_darkelf_malekith
2	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_darkelf_malekith
2	cai_region_hint_area_chaos_wastes	wh3_combi_region_hint_policy_darkelf_malus
3	cai_region_hint_area_chaos_wastes	wh3_combi_region_hint_policy_darkelf_malus
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_darkelf_malus
