key	adjust_height_to_terrain	is_vertical	material	max_subdivisions	spline_type	width
#custom_splines_tables;1;db/custom_splines_tables/data__						
ambush_withdraw_area	true	true	materials/ui/playable_area_generic.xml.material	512	battlefield_border	6.0
battlefield_border	true	true	materials/ui/playable_area_generic.xml.material	2048	battlefield_border	6.0
capture_location	true	false	materials/ui/grid_spline.xml.material	1024	firing_arc	2.0
casting_range_preview	true	false	materials/ui/battle_arrow_shaft_blue.xml.material	512	battlefield_border	2.0
deployment_area	true	true	materials/ui/deployment_zone_generic.xml.material	2048	deployment_border	6.0
fire_arc	true	false	materials/ui/grid_spline.xml.material	1024	firing_arc	2.0
inspiration_range	true	false	materials/ui/grid_spline.xml.material	1024	battlefield_border	2.0
reinforcement_spawn_zone	true	false	materials/ui/grid_spline.xml.material	1024	firing_arc	1.0
tutorial_arrow_body	true	false	materials/ui/battle_arrow_shaft_blue.xml.material	512	battlefield_border	6.0
tutorial_arrow_head	true	false	materials/ui/battle_arrow_head_blue.xml.material	64	battlefield_border	6.0
vortex_spline	true	true	materials/ui/deployment_zone_generic.xml.material	2048	deployment_border	6.0
