god_type	unit
#reign_of_chaos_units_to_god_types_tables;0;db/reign_of_chaos_units_to_god_types_tables/data__	
khorne	wh3_main_kho_cha_herald_of_khorne_0
khorne	wh3_main_kho_cha_herald_of_khorne_1
khorne	wh3_main_kho_cha_herald_of_khorne_2
nurgle	wh3_main_nur_cha_herald_of_nurgle_death_0
nurgle	wh3_main_nur_cha_herald_of_nurgle_death_1
nurgle	wh3_main_nur_cha_herald_of_nurgle_death_2
nurgle	wh3_main_nur_cha_herald_of_nurgle_nurgle_0
nurgle	wh3_main_nur_cha_herald_of_nurgle_nurgle_1
nurgle	wh3_main_nur_cha_herald_of_nurgle_nurgle_2
khorne	wh3_main_pro_kho_cha_herald_of_khorne_0
khorne	wh3_main_pro_kho_cha_herald_of_khorne_1
khorne	wh3_main_pro_kho_cha_herald_of_khorne_2
tzeentch	wh3_main_pro_tze_cha_herald_of_tzeentch_tzeentch_0
tzeentch	wh3_main_pro_tze_cha_herald_of_tzeentch_tzeentch_1
tzeentch	wh3_main_pro_tze_cha_herald_of_tzeentch_tzeentch_2
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_shadow_0
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_shadow_1
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_shadow_2
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_0
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_1
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_2
slaanesh	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_3
slaanesh	wh3_main_tze_cha_herald_of_tzeentch_metal_0
slaanesh	wh3_main_tze_cha_herald_of_tzeentch_metal_1
slaanesh	wh3_main_tze_cha_herald_of_tzeentch_metal_2
tzeentch	wh3_main_tze_cha_herald_of_tzeentch_tzeentch_0
tzeentch	wh3_main_tze_cha_herald_of_tzeentch_tzeentch_1
tzeentch	wh3_main_tze_cha_herald_of_tzeentch_tzeentch_2
