deal_component	personality_component	best_friends_value	bitter_enemies_value	friendly_value	neutral_value	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	opponent_treachery_modifier	opponent_respect_modifier	main_threat	have_common_threat	long_distance_penalty_min	long_distance_penalty_max	main_threat_ally	diplomatic_score_bound_lower	diplomatic_score_bound_upper	same_subculture_modifier	war_losses_multiplier	war_losses_value_cap	existing_treaties_multiplier	recent_ultimatum_penalty_modifier	recent_ultimatum_penalty_max_turns	vassal_master_strength_multiplier
#cai_personality_deal_evaluation_deal_component_values_tables;15;db/cai_personality_deal_evaluation_deal_component_values_tables/data__																														
BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_beastmen	-55.0	45.0	-5.0	16.0	15.0	20.0	25.0	-30.0	35.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_MILITARY_ALLIANCE	wh3_deal_eval_beastmen	-55.0	60.0	32.0	35.0	15.0	20.0	40.0	-30.0	50.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_beastmen	-40.0	25.0	-2.0	4.0	15.0	20.0	12.0	-15.0	18.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-10.0	0.0	0.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_CLIENT_STATE	wh3_deal_eval_beastmen	-55.0	25.0	-30.0	-15.0	25.0	30.0	5.0	-35.0	10.0	15.0	15.0	15.0	-0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_MILITARY_ACCESS	wh3_deal_eval_beastmen	-50.0	43.0	-25.0	14.0	15.0	20.0	23.0	-30.0	33.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-10.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_TRADE_AGREEMENT	wh3_deal_eval_beastmen	-35.0	27.0	-10.0	4.0	15.0	20.0	14.0	-20.0	20.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	0.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_VASSALAGE	wh3_deal_eval_beastmen	-40.0	25.0	-20.0	-10.0	25.0	30.0	0.0	-30.0	15.0	15.0	15.0	15.0	-0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
DEFENSIVE_ALLIANCE	wh3_deal_eval_beastmen	-11.0	-300.0	-23.0	-35.0	25.0	25.0	-45.0	-15.0	-60.0	25.0	20.0	20.0	0.3	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
MILITARY_ACCESS	wh3_deal_eval_beastmen	-10.0	-300.0	-19.0	-30.0	25.0	25.0	-40.0	-14.0	-60.0	25.0	15.0	15.0	1.0	1.0	1.0	-4.0	5.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
MILITARY_ALLIANCE	wh3_deal_eval_beastmen	-22.0	-500.0	-36.0	-58.0	32.0	35.0	-65.0	-27.0	-200.0	23.0	23.0	23.0	1.0	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
NON_AGGRESSION_PACT	wh3_deal_eval_beastmen	-2.0	-40.0	-3.0	-4.0	12.0	14.0	-7.0	-2.0	-14.0	8.0	8.0	8.0	0.25	1.0	1.0	-2.0	5.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_beastmen	-55.0	35.0	-5.0	10.0	20.0	20.0	20.0	-30.0	25.0	15.0	15.0	15.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_MILITARY_ALLIANCE	wh3_deal_eval_beastmen	-55.0	35.0	-5.0	10.0	20.0	20.0	20.0	-30.0	25.0	15.0	15.0	15.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_beastmen	-40.0	25.0	-2.0	5.0	5.0	5.0	15.0	-15.0	20.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_CLIENT_STATE	wh3_deal_eval_beastmen	-55.0	25.0	-30.0	-15.0	20.0	20.0	5.0	-35.0	10.0	15.0	15.0	15.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_TRADE_AGREEMENT	wh3_deal_eval_beastmen	-35.0	30.0	-10.0	5.0	5.0	5.0	18.0	-20.0	25.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_VASSALAGE	wh3_deal_eval_beastmen	-40.0	25.0	-20.0	-10.0	20.0	20.0	0.0	-30.0	15.0	15.0	15.0	15.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CLIENT_STATE	wh3_deal_eval_beastmen	-80.0	-65.0	-70.0	-65.0	20.0	30.0	-65.0	-75.0	-65.0	10.0	5.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DECLARE_WAR	wh3_deal_eval_beastmen	-45.0	-2.0	-25.0	-19.0	-30.0	-35.0	-14.0	-30.0	-9.0	-14.0	15.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DIPLOMATIC_MARRIAGE	wh3_deal_eval_beastmen	-3.0	-40.0	-5.0	-10.0	4.0	5.0	-15.0	-5.0	-25.0	3.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_GIFT	wh3_deal_eval_beastmen	3.0	-50.0	1.0	-7.0	1.0	1.0	-10.0	2.0	-20.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_JOIN_WAR	wh3_deal_eval_beastmen	-45.0	-2.0	-25.0	-19.0	-30.0	-35.0	-14.0	-30.0	-9.0	-14.0	15.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_VASSALAGE	wh3_deal_eval_beastmen	-75.0	-60.0	-70.0	-70.0	45.0	50.0	-70.0	-75.0	-65.0	40.0	35.0	35.0	0.0	1.0	1.0	-12.0	8.0	0.0	-10.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
PEACE	wh3_deal_eval_beastmen	-5.0	-40.0	-9.0	-16.0	40.0	50.0	-25.0	-7.0	-35.0	17.0	10.0	5.0	2.0	1.0	1.0	-6.0	12.0	0.0	-7.0	0.0	-5.0	5.0	0.0	0.00040000002	15.0	0.0	0.0	0	1.0
REQUEST_BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_beastmen	-12.0	4.0	-3.0	0.0	40.0	50.0	1.0	-6.0	2.0	30.0	20.0	10.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_CLIENT_STATE	wh3_deal_eval_beastmen	-10.0	-10.0	-10.0	-10.0	40.0	50.0	-10.0	-10.0	-10.0	30.0	20.0	10.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_DECLARE_WAR	wh3_deal_eval_beastmen	-3.0	-1.0	-3.0	-2.0	10.0	10.0	-2.0	-3.0	-1.0	8.0	6.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
