pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/data__				
grn_salvage_tech	greenskin_technology	-50	absolute	default
nor_progress_crow_events	nor_dilemma_crow	12	absolute	default
nor_progress_eagle_events	nor_dilemma_crow	-4	absolute	default
nor_progress_hound_events	nor_dilemma_crow	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_crow	-4	absolute	default
nor_progress_crow_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_eagle	12	absolute	default
nor_progress_hound_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_crow_events	nor_dilemma_hound	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_hound	-4	absolute	default
nor_progress_hound_events	nor_dilemma_hound	12	absolute	default
nor_progress_serpent_events	nor_dilemma_hound	-4	absolute	default
nor_progress_crow_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_hound_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_serpent	12	absolute	default
nor_progress_crow_razing	nor_raze_crow	6	absolute	default
nor_progress_eagle_razing	nor_raze_crow	-2	absolute	default
nor_progress_hound_razing	nor_raze_crow	-2	absolute	default
nor_progress_serpent_razing	nor_raze_crow	-2	absolute	default
nor_progress_crow_razing	nor_raze_eagle	-2	absolute	default
nor_progress_eagle_razing	nor_raze_eagle	6	absolute	default
nor_progress_hound_razing	nor_raze_eagle	-2	absolute	default
nor_progress_serpent_razing	nor_raze_eagle	-2	absolute	default
nor_progress_crow_razing	nor_raze_hound	-2	absolute	default
nor_progress_eagle_razing	nor_raze_hound	-2	absolute	default
nor_progress_hound_razing	nor_raze_hound	6	absolute	default
nor_progress_serpent_razing	nor_raze_hound	-2	absolute	default
nor_progress_crow_razing	nor_raze_serpent	-2	absolute	default
nor_progress_eagle_razing	nor_raze_serpent	-2	absolute	default
nor_progress_hound_razing	nor_raze_serpent	-2	absolute	default
nor_progress_serpent_razing	nor_raze_serpent	6	absolute	default
canopic_jars_harvest_organs	wh2_dlc09_resource_cost_tmb_harvest_organs	30	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_army_capacity	-800	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_carrion	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_necropolis_knights	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	-250	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	-100	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_agent_unlock	-100	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_follower_unlock	-150	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_tomb_king_unlock	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_cb	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_da	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_db	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_ecb	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_eda	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_edb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fca	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fcb	-300	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fda	-300	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_forgeproven_gromril_armour	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_heavy_gromril_armour	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_a	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_b	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_ca	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_cb	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_da	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_db	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_eca	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_ecb	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_eda	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_edb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fca	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fcb	-300	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fda	-300	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_a	-30	absolute	default
