faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set
#units_custom_battle_permissions_tables;10;db/units_custom_battle_permissions_tables/data__									
wh2_main_skv_skaven	true	wh2_dlc09_skv_cha_tretch_craventail	true	true	ui/portraits/portholes/wh2_main_skv_skaven/skv_tretch_craventail_0.png		wh2_dlc09_skv_cha_tretch_craventail	false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_art_casket_of_souls_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_hexwraiths	true	true				true	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_necropolis_knights_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_necropolis_knights_1	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_necropolis_knights_ror	true	true				true	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	true	true				true	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	true	true				false	
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_0	false	
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_1	false	
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_2	false	
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khalida_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_0	false	
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khalida_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_1	false	
