ritual	ritual_check_type	logical_operator
#cai_ritual_ritual_check_type_junctions_tables;1;db/cai_ritual_ritual_check_type_junctions_tables/data__		
wh2_dlc09_ritual_skv_thirteen_rictus	faction_check_if_have_one_agent	and
wh2_dlc09_ritual_tmb_geheb	check_is_not_needed	and
wh2_dlc09_ritual_tmb_khsar	faction_check_if_one_enemy_army_present_in_regions	and
wh2_dlc09_ritual_tmb_ptra	check_is_not_needed	and
wh2_dlc09_ritual_tmb_tahoth	check_is_not_needed	and
wh2_dlc14_ritual_def_warmaster	spawnable_force_check_free_army_upkeep	and
wh2_dlc14_ritual_def_witch_king	check_is_not_needed	and
wh2_dlc14_ritual_eshin_sudden_kill	faction_check_if_one_enemy_army_present_in_regions	and
wh2_dlc14_ritual_skv_pestilence_pestilens	check_is_not_needed	and
wh2_main_ritual_def_atharti	check_is_not_needed	and
wh2_main_ritual_def_hekarti	campaign_effect_bundle_check_have_bonused_characters	and
wh2_main_ritual_def_khaine	check_is_not_needed	and
wh2_main_ritual_def_mathlann	faction_check_if_have_one_port_settlement_and_no_black_ark_in_recruitment_pool	and
wh2_main_ritual_hef_asuryan	check_is_not_needed	and
wh2_main_ritual_hef_hoeth	campaign_effect_bundle_check_have_bonused_characters	and
wh2_main_ritual_hef_isha	faction_check_corruption	and
wh2_main_ritual_hef_vaul	campaign_effect_bundle_check_bonused_available_units	and
wh2_main_ritual_lzd_awakening	check_is_not_needed	and
wh2_main_ritual_lzd_ferocity	check_is_not_needed	and
wh2_main_ritual_lzd_primeval_glory	spawnable_force_check_free_army_upkeep	and
wh2_main_ritual_lzd_sotek	faction_check_if_one_enemy_army_present_in_regions	and
wh2_main_ritual_skv_ascendancy	check_is_not_needed	and
wh2_main_ritual_skv_doooom	check_is_not_needed	and
wh2_main_ritual_skv_pestilence	check_is_not_needed	and
wh2_main_ritual_skv_thirteen_eshin	faction_check_if_have_one_agent	and
wh2_main_ritual_skv_thirteen_mors	faction_check_if_have_one_agent	and
wh2_main_ritual_skv_thirteen_moulder	faction_check_if_have_one_agent	and
wh2_main_ritual_skv_thirteen_pestilens	faction_check_if_have_one_agent	and
wh2_main_ritual_skv_thirteen_skryre	faction_check_if_have_one_agent	and
