effect_bundle	payload	duration
#campaign_payload_effect_bundles_tables;0;db/campaign_payload_effect_bundles_tables/data__		
wh3_dlc20_payload_eye_of_the_gods_cataclysm_death	wh3_dlc20_payload_eye_of_the_gods_cataclysm_death	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_fire	wh3_dlc20_payload_eye_of_the_gods_cataclysm_fire	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_kho	wh3_dlc20_payload_eye_of_the_gods_cataclysm_kho	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_metal	wh3_dlc20_payload_eye_of_the_gods_cataclysm_metal	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_shadows	wh3_dlc20_payload_eye_of_the_gods_cataclysm_shadows	5
wh3_dlc20_payload_eye_of_the_gods_char_xp_all	wh3_dlc20_payload_eye_of_the_gods_char_xp_all	5
wh3_dlc20_payload_eye_of_the_gods_character_attack_defence	wh3_dlc20_payload_eye_of_the_gods_character_attack_defence	5
wh3_dlc20_payload_eye_of_the_gods_character_recruit	wh3_dlc20_payload_eye_of_the_gods_character_recruit	5
wh3_dlc20_payload_eye_of_the_gods_character_upgrade	wh3_dlc20_payload_eye_of_the_gods_character_upgrade	5
wh3_dlc20_payload_eye_of_the_gods_features_nur	wh3_dlc20_payload_eye_of_the_gods_features_nur	5
wh3_dlc20_payload_eye_of_the_gods_features_sla	wh3_dlc20_payload_eye_of_the_gods_features_sla	5
wh3_dlc20_payload_eye_of_the_gods_features_tze	wh3_dlc20_payload_eye_of_the_gods_features_tze	5
wh3_dlc20_payload_eye_of_the_gods_gifts_cost	wh3_dlc20_payload_eye_of_the_gods_gifts_cost	5
wh3_dlc20_payload_eye_of_the_gods_healing_nur	wh3_dlc20_payload_eye_of_the_gods_healing_nur	5
wh3_dlc20_payload_eye_of_the_gods_immortality	wh3_dlc20_payload_eye_of_the_gods_immortality	10
wh3_dlc20_payload_eye_of_the_gods_kho_recruit	wh3_dlc20_payload_eye_of_the_gods_kho_recruit	5
wh3_dlc20_payload_eye_of_the_gods_magic	wh3_dlc20_payload_eye_of_the_gods_magic	5
wh3_dlc20_payload_eye_of_the_gods_marauders	wh3_dlc20_payload_eye_of_the_gods_marauders	5
wh3_dlc20_payload_eye_of_the_gods_movement_kho	wh3_dlc20_payload_eye_of_the_gods_movement_kho	5
wh3_dlc20_payload_eye_of_the_gods_movement_sla	wh3_dlc20_payload_eye_of_the_gods_movement_sla	5
wh3_dlc20_payload_eye_of_the_gods_nur_growth	wh3_dlc20_payload_eye_of_the_gods_nur_growth	5
wh3_dlc20_payload_eye_of_the_gods_sla_control	wh3_dlc20_payload_eye_of_the_gods_sla_control	5
wh3_dlc20_payload_eye_of_the_gods_sneak_tze	wh3_dlc20_payload_eye_of_the_gods_sneak_tze	5
wh3_dlc20_payload_eye_of_the_gods_spawn_frenzy	wh3_dlc20_payload_eye_of_the_gods_spawn_frenzy	5
wh3_dlc20_payload_eye_of_the_gods_spawn	wh3_dlc20_payload_eye_of_the_gods_spawn	5
wh3_dlc20_payload_eye_of_the_gods_trolls	wh3_dlc20_payload_eye_of_the_gods_trolls	5
wh3_dlc20_payload_eye_of_the_gods_tze_tech	wh3_dlc20_payload_eye_of_the_gods_tze_tech	5
wh3_dlc20_payload_eye_of_the_gods_unit_xp	wh3_dlc20_payload_eye_of_the_gods_unit_xp	5
wh3_dlc20_payload_eye_of_the_gods_war_coord	wh3_dlc20_payload_eye_of_the_gods_war_coord	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_construction_cost	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_construction_cost	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_income	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_income	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_souls	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_souls	5
wh3_dlc20_payload_vassal_dilemmas_melee_attack_armies	wh3_dlc20_payload_vassal_dilemmas_melee_attack_armies	5
wh3_dlc20_payload_vassal_dilemmas_vassal_income	wh3_dlc20_payload_vassal_dilemmas_vassal_income	5
wh3_dlc20_payload_vassal_dilemmas_warriors_income	wh3_dlc20_payload_vassal_dilemmas_warriors_income	5
wh3_dlc20_payload_vassal_dilemmas_winds_of_magic_reserve	wh3_dlc20_payload_vassal_dilemmas_winds_of_magic_reserve	5
wh3_dlc20_bundle_ritual_drained_magic	wh3_dlc20_ritual_tze_cotw_vilitch_drain_magic_self	4
wh3_dlc20_bundle_muddled_mind	wh3_dlc20_ritual_tze_cotw_vilitch_muddle_minds	5
wh3_main_dilemma_cth_harmony_yang	wh3_main_dilemma_cth_event_yang	0
wh3_main_dilemma_cth_harmony_yin	wh3_main_dilemma_cth_event_yin	0
wh_dlc08_bundle_god_bar_crow_allegiance	wh3_main_nor_dilemma_crow	0
wh_dlc08_bundle_god_bar_eagle_allegiance	wh3_main_nor_dilemma_eagle	0
wh_dlc08_bundle_god_bar_hound_allegiance	wh3_main_nor_dilemma_hound	0
wh_dlc08_bundle_god_bar_serpent_allegiance	wh3_main_nor_dilemma_serpent	0
