shared_state_key	default_bool	max_value	min_value	ui_template_type	default_min_value	default_max_value	order	slider_step_size
#end_game_settings_tables;2;db/end_game_settings_tables/data__								
endgame_difficulty_mod	true	200.0	25.0	SLIDER_VALUE	100.0	0.0	1	25
endgame_early_warning_delay	true	25.0	0.0	SLIDER_VALUE	10.0	0.0	2	1
endgame_grudge_too_far	true	0.0	0.0	CHECKBOX	0.0	0.0	12	1
endgame_pyramid_of_nagash	true	0.0	0.0	CHECKBOX	0.0	0.0	11	1
endgame_turn_trigger	true	0.0	0.0	CHECKBOX	0.0	0.0	3	1
endgame_turn_trigger_range	true	500.0	10.0	SLIDER_RANGE	100.0	150.0	4	25
endgame_vampires_rise	true	0.0	0.0	CHECKBOX	0.0	0.0	15	1
endgame_victory_trigger	true	0.0	0.0	CHECKBOX	0.0	0.0	5	1
endgame_waaagh	true	0.0	0.0	CHECKBOX	0.0	0.0	13	1
endgame_wild_hunt	true	0.0	0.0	CHECKBOX	0.0	0.0	14	1
